[01-00] "Qui Erik il Vichingo giace, a Valhalla ora combatte, così assai gli piace."
[B3-05] "Ti sono grato per averci liberato, straniero. Non ti serbo rancore, contrariamente a molti altri."
[B4-05] "Sei tu, vero? Sei l'indegno truffatore di cui mi ha parlato mia madre!"
[B5-05] "Aspetta! Non dirmelo! Devi essere quell'immonda peste di cui ho sentito tanto parlare."
[B6-05] "Nessuno è mai quello che gli altri credono. Accetta il mio consiglio, gioca d'astuzia; si tratta di conoscere bene qualcuno e poi decidere che tipo di persona è."
[B7-05] "Ooooof!"
[B8-05] "Ahahahaha!"
[B9-05] "Dimenticati dei loro cuori e delle loro menti e pensa alle tue gonadi. Certe persone hanno il meraviglioso dono di vedere un uomo per quello che è veramente."
[BA-05] "Al diavolo, truffatore."
[BB-05] "Il Bardo giunse davanti ad un edificio sorvegliato da due imponenti Vichinghi.  Persino il Bardo riuscì a giungere alla conclusione che nell'edificio dovesse trovarsi qualcosa di valore, soprattutto adesso che l'ho detto chiaro e tondo."
[BC-05] "Da questa parte, amico! Abbiamo una sfida."
[BD-05] "Ehi? Karl? Va tutto bene, ragazzi?"
[BE-05] "Al momento non possono risponderti. Sono troppo occupati a morire dissanguati."
[BF-05] "Snorri? Sei tu? Ehi, apri! Ho comprato un po' di birra!"
[C0-05] "Entra, Bardo... Abbiamo molto altro in serbo per te!"
[C1-05] "Birra? Beh, ma perché non l'hai detto prima!"
[C2-05] "Dov'è la birra?  Ha ucciso Snorri e Karl!"
[C3-05] "Indietro! Lo voglio sbudellare."
[C4-05] "Col cavolo! Sono io che l'ho attirato qui!"
[C5-05] "Attirato!? Ma se è lui che ha fregato te! Tu volevi soltanto la birra!"
[C6-05] "Non è vero!"
[C7-05] "Pensi solo alla birra, tu."
[C8-05] "Non è vero! Gradisco un bel vino liquoroso ogni tanto, specialmente con un piatto di frutta..."
[C9-05] "Potete chiudere entrambi la bocca?!"
[CA-05] "E così... Io ti lascio libero di gironzolare per la mia città e tu mi ripaghi liberando gli ostaggi."
[CB-05] "E così... Io ti lascio libero di gironzolare per la mia città e tu mi ripaghi rubandomi il bottino e uccidendo i miei uomini."
[CC-05] "E' il mio bottino, Snotbeard. Tu e le tue ragazze lo stavate soltanto sorvegliando per me."
[CD-05] "Questa ragazza sta per sbudellarti dall'inguine alla bocca."
[CE-05] "E così... tu sei il Bardo. Non ti capisco, amico. Prima liberi il Drago così che noi possiamo radere al suolo questa città e adesso vieni qui a portare guai?"
[CF-05] "Non so nulla su questo drago e non ti conosco, ma se vuoi iniziare con i guai sarò più che felice di portarli al termine."
[D0-05] "Qualsiasi uomo che si approfitta dei deboli e degli innocenti merita una morte rapida!"
[D1-05] "Farò in modo che tu abbia una morte lenta, stanne certo!"
[D2-05] "Prendi, furfante!"
[D3-05] "Credo che persino durante un'inondazione ci sia qualcuno che ringrazia il cielo per la pioggia. Ti ringrazio per aver fatto la cosa giusta e per averci tirato fuori da questo disastro."
[D4-05] "Vediamo se capisco il tuo ragionamento.  Se ti pugnalassi, tu mi ringrazieresti per aver estratto la lama e aver posto fine alle tue sofferenze? Giusto? Concetto interessante. Magari ci fosse più gente stupida come te."
[D5-05] "Se ricevessi un pezzo d'argento ogni volta che mi si ringrazia per qualcosa che non ricordo di aver fatto, sarei un uomo ricco."
[D6-05] "Prima ci hai resi degli schiavi liberando il drago; poi reagisci male dopo che a malincuore ti ho ringraziato. Non tornare mai più da noi. Possa la regina oscura dei morti tormentare i tuoi viaggi."
[D7-05] "Basta che sia un bel bocconcino. Sai cosa intendo, no?"
[D8-05] "E coraggiosamente il nostro Bardo tornò alla ben nota Finstown..."
[D9-05] "Ehi tu! Apri i cancelli!"
[DA-05] "Non hai fatto già abbastanza danni!?"
[DB-05] "Vi ho salvato dai vichinghi, vecchio sciocco!"
[DC-05] "Salvati? Ci hai mandato il drago!"
[DD-05] "Per l'ultima volta... D'accordo, senti.  Forse, una volta, tanto tempo fa posso aver rotto il sigillo del cancello e liberato quel drago infernale. Ma ti giuro che non sapevo che dentro c'era un drago. E anche se l'avessi saputo, non l'ho mai visto."
[DE-05] "Ah! Lo ammetti!  Sei stato tu!"
[DF-05] "Forse. Ora, mi lasci entrare o no?"
[E0-05] "No."
[E1-05] "E coraggiosamente il nostro Bardo si ritirò dalla ben nota Finstown, per non farci più ritorno. Grazie al cielo."
[30-0A] "Guarda Karl, è il Bardo."
[31-0A] "Credevo fosse più alto."
[32-0A] "Faresti meglio ad andartene, Bardo: qui non puoi entrare."
[33-0A] "Non obbligarci a farti del male."
[71-0A] "Sono impressionato, ti batti bene.  Forse liberare il drago non è stato un semplice colpo di fortuna."
[72-0A] "Parli come un Vichingo!  E' un peccato che ti debba sventrare."
[73-0A] "Mi piace il tuo modo di vedere le cose! Mi toglieresti un peso dalla coscienza se mi permettessi di offrirti un goccio per bagnarti la gola, prima di spargerti in giro per il mio villaggio."
[74-0A] "Ah, davvero rinfrescante! Continuiamo da dove avevamo lasciato."
[75-0A] "Un colpo di fortuna? Un colpo di fortuna è stato imbattermi nel più sciocco Vichingo al mondo. Tua madre ti ha fatto sbattere la testa, da piccolo?"
[76-0A] "A dir la verità ero sbronzo."
[77-0A] "E' uguale. Vuoi mandar giù una birra, prima della tua morte prematura?"
[3F-0B] "Hai ricevuto il Manto di Ossian"
[40-0B] "Hai ricevuto il Liuto di Finn"
[41-0B] "Hai ricevuto 175 monete d'Argento"
[4B-0B] "Il Pub di Trowie"
[4C-0B] "Sta' indietro! Non obbligarci ad ucciderti!"
[54-0B] "Ho con me una buona selezione di armature. Con una di queste meraviglie, anche i codardi possono fare bella figura."
[55-0B] "Quando si parla di veri guerrieri, è l'arma corpo a corpo ad uscire vittoriosa. Tutte queste armi renderebbero fiero anche il più sanguinario dei vichinghi."
[56-0B] "Archi. Non sono tra le armi più onorevoli, ma sono un buon mezzo per catturare l'attenzione di uno smidollato furfante che batte rapido in ritirata."
[57-0B] "Benvenuto,  amico. Come posso sostenere la tua causa?"
[B6-0B] "Volentieri."
[B7-0B] "E' veramente un peccato doverti uccidere."
[B8-0B] "Ti dirò ciò che farò per te..."
[B9-0B] "...Ti taglierò la testa e la pianterò su un lungo palo..."
[BA-0B] "...ti userò come mio stendardo! Più immortalato di così!"
[BB-0B] "Non dire che non ho mai fatto niente per te! Oste, un altro giro!"
[ED-0C] "Tutti gli oggetti li ho ottenuti a mio rischio e pericolo, sei libero di dare un'occhiata."
[EE-0C] "E' un peccato."
[F0-0C] "Ho appena finito di saccheggiare."
[F1-0C] "Stai cercando qualcosa di raro e speciale, eh?"
[F3-0C] "Sei stato generoso con la tua donazione. Ho un regalo per te."
[77-0E] "Cosa diavolo vuoi?"
[78-0E] "Cosa c'è?"
[79-0E] "Una delle bevande che questi vichinghi hanno portato con loro. Proviene da uno dei villaggi lungo la costa. Ho sentito dire che non è male, ma non l'ho mai provata."
[7A-0E] "E' un miscuglio molto gustoso, ma non adatto ai deboli di cuore. E' l'orgoglio e la gioia di Finstown, fatta seguendo una vecchia ricetta di famiglia da un uomo che viveva proprio accanto a questo pub. Ovviamente è stato costretto a scappare insieme a tutti gli altri da un certo Bardo che ha fatto entrare un'orda di vichinghi."
[7B-0E] "Questa è una bevanda che rende giustizia al suo nome. Non so cosa usi Silkbeard per prepararla e francamente non lo voglio sapere!"
[7C-0E] "È una delle nostre bevande preferite, qui a Finstown. Speravo di ordinarne di più, ma l'uomo che la prepara è stato cacciato da Houton per qualche ragione."
[7D-0E] "Finalmente."
[7E-0E] "Spero che ti ci strozzi."
[7F-0E] "La prossima volta porta i tuoi affari altrove."
[89-0E] "E così sei tu il responsabile di tutto questo massacro e distruzione. Ah, beh... Metterci una pietra sopra è il mio motto. L'importante è fare una donazione per ottenere un po' di perdono."
[23-13] "Canzone Vichinga"
[26-13] "Finalmente!"
[27-13] "Non ti perdoneremo mai, Bardo!"
[28-13] "Non tornarci più, a Finstown!"
[29-13] "Non pensare che questo significhi che ti lasciamo andare."
[BE-13] "Venite qua attorno, bastardi, andiamo; a 'sto scemo un brindisi facciamo. Dell'inferno ha liberato le fiamme, lasciando che facessero gran bailamme. Un brindisi al Bardo e al suo cervello bacato. Un brindisi al Drago che tutto ha devastato. La città è un incendio, il cancello è aperto; a noi il bottino, la fama a te di certo. Alcuni torturammo, è vero, e molto provammo, ma con le pive nel sacco sempre tornammo. Il drago imponente nel cielo alto volò e in un cumulo di cenere il villaggio trasformò. Un brindisi al Bardo e al suo cervello contorto. Un brindisi ad Orkney, al fumo e a chi è morto. La città è un incendio, il cancello è aperto; a noi il bottino, la fama a te di certo. Un brindisi al Bardo che ci ha aperto una breccia. Un brindisi alla Bestia e al resto di voi, feccia. La città è un incendio, il cancello è aperto; a noi il bottino, la fama a te di certo."
[B9-14] ""
[D3-14] ""
[34-15] ""
