[00-00] "!MissingString!"
[AF-00] "Beviti la tua birra!"
[B0-00] "Cosa sei? Il beone del villaggio? Compratela!"
[B1-00] "Molto semplice. (Guarda in cagnesco il cliente) Tocca di nuovo la mia birra e sei morto!"
[B2-00] "Ti avevo avvertito, amico."
[B4-05] "Sei tu, vero? Sei l'indegno truffatore di cui mi ha parlato mia madre!"
[34-06] "Cos'hai?"
[57-08] "Vieni qui, verme strisciante!"
[58-08] "Ketill! Piantala di nasconderti lassù, roditore codardo che non sei altro! Vieni fuori e combatti!"
[59-08] "Ah, tua madre è un Firbolg e il tuo vecchio un Trow!"
[5A-08] "Farai meglio a non costringermi a venire lassù!"
[6B-09] "Angus"
[6C-09] "Bannafeet"
[6D-09] "la donna urlante"
[6E-09] "Darraud"
[6F-09] "Ketill"
[70-09] "la guardia Trow Kunal"
[71-09] "Mary"
[72-09] "Madre di Ogan"
[73-09] "il cliente del bar"
[74-09] "il cliente del bar"
[75-09] "il cliente del bar"
[76-09] "il sacerdote"
[77-09] "il cucciolo"
[78-09] "Rory"
[79-09] "Sceriffo Rucky"
[7A-09] "il vecchio misterioso"
[7B-09] "Il Vecchio Vinters"
[7C-09] "la valchiria"
[7D-09] "Gower"
[7E-09] "Dolyn"
[7F-09] "Hrafn"
[80-09] "Cathbad"
[81-09] "gli ubriaconi"
[82-09] "il paesano"
[83-09] "Seamus"
[84-09] "Il Bugbear"
[85-09] "il baule"
[86-09] "Pugnale"
[87-09] "Pugnale d'Argento"
[88-09] "Pugnale d'Acciaio Serpentino"
[89-09] "Basluath"
[8A-09] "Spada"
[8B-09] "Spadone"
[8C-09] "Excalibur"
[8D-09] "Casgair"
[8E-09] "Spadone di Mercurio"
[8F-09] "Spadone di Acciaio Corvino"
[90-09] "Mazzafrusto"
[91-09] "Crannderg"
[92-09] "Mazzafrusto di Granito"
[93-09] "Mazzafrusto d'Onice"
[94-09] "Occhio di Balor"
[95-09] "Claymore"
[96-09] "Claidheamh Soluis"
[97-09] "Ascia Lochaber"
[98-09] "Frecraid"
[99-09] "Arco Lungo"
[9A-09] "Arco Grande"
[9B-09] "Glaisne"
[9C-09] "Arco di Elderwood"
[9D-09] "Arco Blackthorm"
[9E-09] "Arco Grande Blackthorn"
[9F-09] "Arco di Bile Dathi"
[A0-09] "Argento (moneta)"
[A1-09] "Ddraig Goch"
[A2-09] "Ascia a due mani"
[A3-09] "Martello a due mani"
[A4-09] "Spada a due mani"
[A5-09] "Ametista"
[A6-09] "Ascia Vichinga"
[A7-09] "Perla Nera"
[A8-09] "Pelle di Cinghiale"
[A9-09] "Zanna di Cinghiale"
[AA-09] "Anello d'Ottone"
[AB-09] "Calice di Rame"
[AC-09] "Pelle di Cu sith"
[AD-09] "Diamante"
[AE-09] "Smeraldo"
[AF-09] "Haggis"
[B0-09] "Martello Vichingo"
[B1-09] "Bracciale Prezioso"
[B2-09] "Cintura Pesopiuma"
[B3-09] "Cuore di Nuckelavee"
[B4-09] "Perla"
[B5-09] "Ossa Lucide"
[B6-09] "Rubino"
[B7-09] "Baccello di Semi"
[B8-09] "Candelabro d'Argento"
[B9-09] "Spada Vichinga"
[BA-09] "Ascia da lancio"
[BB-09] "Martello da lancio"
[BC-09] "Spada Trow"
[BD-09] "Lancia Trow"
[BE-09] "Pelle di lupo"
[BF-09] "la porta"
[C0-09] "rumori dell'altopiano"
[C1-09] "Culainn"
[C2-09] "Bannock"
[C3-09] "Olav"
[C4-09] "il minatore firbolg"
[CB-09] "il minatore firbolg"
[CC-09] "il minatore firbolg"
[CD-09] "il minatore firbolg"
[CE-09] "il minatore firbolg"
[CF-09] "il minatore firbolg"
[D0-09] "il minatore firbolg"
[D1-09] "la figlia del contadino"
[D2-09] "Bodb"
[D3-09] "Bodb"
[D4-09] "Bodb"
[D5-09] "Bodb"
[D6-09] "Bodb"
[D7-09] "Conner"
[D8-09] "Contadino Finn"
[D9-09] "il negoziante snob"
[DA-09] "Caleigh"
[DB-09] "la leva"
[DC-09] "Premi [7D-00] per tirare [02-26]."
[DD-09] "Drott"
[DE-09] "Gauk"
[DF-09] "Hatcher"
[E0-09] "il trow"
[E1-09] "Thorvald il Folle"
[F0-09] "Gregor"
[F1-09] "Dirk"
[F2-09] "Silkbeard"
[F3-09] "il vichingo"
[F4-09] "il vichingo"
[F5-09] "il cliente del bar"
[F6-09] "il cliente del bar"
[F7-09] "il cliente del bar"
[F8-09] "L'Anziano del villaggio"
[F9-09] "il ragazzo"
[FA-09] "Herne"
[FC-09] "l'arciere"
[FD-09] "l'arciere"
[FE-09] "l'arciere"
[FF-09] "l'arciere"
[01-0A] "Premi [7D-00] per lasciare la zona chiamata "[26-26]"."
[02-0A] "Il bar"
[03-0A] "Premi [7D-00] per entrare nella zona chiamata "[26-26]"."
[04-0A] "Questo è il racconto di Nuckelavee..."
[05-0A] "Premi [7D-00] per ascoltare [3A-26]."
[07-0A] "Cotta di maglia"
[08-0A] "Maglia di Scaglie"
[09-0A] "Cotta di Scathach"
[0A-0A] "Cotta di Bronzo Bianco"
[0B-0A] "Scudo"
[0C-0A] "Scudo Tondo in Bronzo Bianco"
[0D-0A] "Il Liuto di Finn"
[2A-0A] "il rifugiato"
[34-0A] "Flauto Antico"
[35-0A] "Maglia di Scaglie di Bronzo Bianco"
[36-0A] "Scudo di Bronzo Bianco"
[4D-0A] "Piskey"
[4E-0A] "Chubnik"
[4F-0A] "Fnarf"
[50-0A] "Ogan"
[51-0A] "Mackray"
[52-0A] "MacRath"
[53-0A] "attraversa il fiume con"
[54-0A] "Premi [7D-00] per aumentare di livello."
[55-0A] "Premi [7D-00] per attraversare [02-26]."
[56-0A] "il barile"
[57-0A] "il fiume"
[58-0A] "Neversdale"
[59-0A] "Greenlands, Pianura Settentrionale"
[5A-0A] "Segrete di MacRath"
[5B-0A] "Interni di Dounby"
[5C-0A] "Dounby Est"
[5D-0A] "La Foresta di Finn"
[5E-0A] "Finstown"
[5F-0A] "Torre dell'isola"
[60-0A] "Torre dell'isola, Livello 1"
[61-0A] "Torre dell'isola, Livello 2"
[62-0A] "Il Negozio"
[63-0A] "Tumulo di pietra"
[64-0A] "Il pozzo"
[66-0A] "Ochain"
[6F-0A] "Quartier Generale di Silkbeard"
[70-0A] "L'armeria di Finstown"
[78-0A] "Argento"
[80-0A] "Zampa di coniglio"
[81-0A] "Ferro di Cavallo d'Argento"
[82-0A] "Quadrifoglio"
[83-0A] "Guanti in Pelle di Tasso"
[84-0A] "Cintura di Quercia"
[85-0A] "Bracciali Firbolg"
[86-0A] "Emblema del Vento"
[87-0A] "Stivali delle Sette Leghe"
[88-0A] "Pietra del Fulmine"
[89-0A] "Collare d'Argento"
[8A-0A] "Diadema Dorato"
[8B-0A] "Manto d'Ossian"
[8C-0A] "Talismano di Findruine"
[8D-0A] "Medaglione di Fae"
[8E-0A] "Fiala di Medb"
[8F-0A] "Talismano dell'Aquila"
[90-0A] "Anello di Tara"
[91-0A] "Calice di Cormac"
[92-0A] "Mercenario"
[93-0A] "Cavaliere"
[94-0A] "Guerriera"
[95-0A] "Bruto"
[96-0A] "Elementale"
[97-0A] "Colosso"
[98-0A] "Ragno del Tuono"
[99-0A] "Knocker"
[9A-0A] "Fattucchiera"
[9B-0A] "Incantatrice"
[9C-0A] "Guardia del Corpo"
[9D-0A] "Brigante"
[9E-0A] "Esploratore"
[9F-0A] "Imbroglione"
[A0-0A] "Fata di Luce"
[A8-0A] "Mell"
[A9-0A] "Liuto Decorato"
[AA-0A] "Dugan"
[B5-0A] "Ascia dell'Ombra"
[B6-0A] "lo zombie"
[B7-0A] "Pietra della Vipera"
[B8-0A] "Cosa vendi?"
[B9-0A] "Ci vediamo, vecchio."
[BA-0A] "Me ne vado."
[BB-0A] "Dimmi che armature hai."
[BC-0A] "Mi serve un'arma assassina."
[BD-0A] "Archi?"
[BE-0A] "Cosa abbiamo qui?"
[BF-0A] "Affare fatto!"
[C0-0A] "Armature"
[C1-0A] "Armi"
[C2-0A] "Archi"
[C3-0A] "Altro..."
[C4-0A] "Ripeti"
[C5-0A] "Indietro"
[C6-0A] "Esci"
[C7-0A] "Armatura di Cuoio"
[C8-0A] "Cuoio Borchiato"
[D9-0A] "Compra"
[DA-0A] "Scegli"
[DC-0A] "la chiesa"
[DD-0A] "l'ufficio dello sceriffo"
[DE-0A] "Campana Magica"
[DF-0A] "Sì, certo..."
[E0-0A] ""
[E1-0A] "Che importa?"
[E2-0A] "Interessante."
[E3-0A] "Capisco."
[E4-0A] "Non credi?"
[E5-0A] "Spazzatura."
[E6-0A] "Di nessun valore"
[E7-0A] "Hmph."
[E8-0A] "Bello."
[E9-0A] "Decente."
[EA-0A] "Di' qualcosa."
[F2-0A] "Lo comprerei, se solo avessi il denaro."
[F3-0A] "Non posso permettermelo."
[F4-0A] "E' decisamente fuori dalla mia portata."
[F5-0A] "Armatura di Llyr"
[F6-0A] "Forgiato dai Firbolg con del Granito Rosso."
[F7-0A] "Una mappa che conduce a tesori incredibili e ad incredibili pericoli."
[F8-0A] ","
[F9-0A] "Danno"
[FA-0A] "Veleno"
[FB-0A] "Succhiavita"
[FC-0A] "Colpo Stordente"
[FD-0A] "Tempo Rimasto"
[FE-0A] "Aria Rimasta"
[FF-0A] "Escavazione"
[00-0B] "Aura Magica"
[01-0B] "Esplosione del Mana"
[02-0B] "Colpo Supersonico"
[03-0B] "Lama Elettrica"
[04-0B] "Tempesta di Fulmini"
[05-0B] "Frecce di Fuoco"
[06-0B] "Frecce Esplosive"
[07-0B] "Frecce del Dragone"
[08-0B] "Scudo Guaritore"
[09-0B] "La *lama* Succhiavita cura chi la brandisce con metà del danno inflitto al nemico"
[0A-0B] "Armatura Imbottita"
[0B-0B] "Armatura di Quercia"
[0C-0B] "Scudo Rotondo"
[0D-0B] "Scudo Tondo"
[0E-0B] "Dubgilla"
[0F-0B] "Spada dell'Ego"
[10-0B] "Sostituti"
[11-0B] "Secondi"
[12-0B] "Probabilità"
[13-0B] "Liuto"
[14-0B] "Arpa"
[15-0B] "Flauto Prezioso"
[16-0B] "Arpa d'Argento"
[17-0B] "Arpa delle Ere"
[18-0B] "Flauto di Gnimh"
[19-0B] "Liuto di Ossian"
[1C-0B] "il passo della montagna"
[1D-0B] "le tombe ghiacciate"
[1E-0B] "le camere di sepoltura"
[1F-0B] "le miniere dei firbolg"
[20-0B] "il fiume sotterraneo"
[21-0B] "Caverne Finfolk"
[22-0B] "il pezzo di ghiaccio"
[23-0B] "la zattera"
[28-0B] "Puoi ripetere?"
[2C-0B] "il bottaio"
[31-0B] "Gallo Cedrone"
[3A-0B] "Bracciali Firbolg"
[42-0B] "Attacco di Panico di Mell"
[43-0B] "La Fata di Luce è diventata più potente."
[44-0B] "Maeve"
[45-0B] "Slevin"
[46-0B] "Mackay"
[48-0B] "Colpo Terrorizzante"
[49-0B] "Torre della Foresta, Livello 2"
[4A-0B] "Torre della Foresta, Livello 3"
[53-0B] "la leva"
[58-0B] "Questa porta si direbbe chiusa a chiave..."
[5A-0B] "Caitir"
[5B-0B] "Il Tamburo Aiken"
[5C-0B] "Dounby Ovest"
[77-0B] "la torcia"
[78-0B] "Premi [7D-00] per accendere [02-26]."
[C0-0B] "Ho sentito!"
[EA-0B] "William"
[EB-0B] ""
[EC-0B] ""
[ED-0B] ""
[EE-0B] ""
[EF-0B] ""
[F0-0B] ""
[F1-0B] ""
[F2-0B] ""
[F3-0B] ""
[F4-0B] ""
[F5-0B] ""
[F6-0B] ""
[F7-0B] ""
[F8-0B] ""
[F9-0B] ""
[FA-0B] ""
[FB-0B] ""
[FC-0B] ""
[FD-0B] ""
[FE-0B] ""
[FF-0B] ""
[00-0C] ""
[01-0C] ""
[02-0C] ""
[03-0C] ""
[04-0C] ""
[05-0C] ""
[06-0C] ""
[07-0C] ""
[08-0C] ""
[09-0C] ""
[0A-0C] ""
[0B-0C] ""
[0C-0C] ""
[0D-0C] ""
[0E-0C] ""
[0F-0C] ""
[10-0C] ""
[11-0C] ""
[12-0C] ""
[13-0C] ""
[14-0C] ""
[15-0C] ""
[16-0C] ""
[17-0C] ""
[18-0C] ""
[19-0C] ""
[1A-0C] ""
[1B-0C] ""
[1C-0C] ""
[1D-0C] ""
[1E-0C] ""
[1F-0C] ""
[20-0C] ""
[21-0C] ""
[22-0C] ""
[23-0C] ""
[24-0C] ""
[25-0C] ""
[26-0C] ""
[27-0C] ""
[28-0C] ""
[29-0C] ""
[2A-0C] ""
[2B-0C] ""
[2C-0C] ""
[2D-0C] ""
[2E-0C] ""
[2F-0C] ""
[30-0C] ""
[31-0C] ""
[32-0C] ""
[33-0C] ""
[34-0C] ""
[35-0C] ""
[36-0C] ""
[37-0C] ""
[38-0C] ""
[39-0C] ""
[3A-0C] ""
[3B-0C] ""
[3C-0C] ""
[3D-0C] ""
[3E-0C] ""
[3F-0C] ""
[40-0C] ""
[41-0C] ""
[42-0C] ""
[43-0C] ""
[44-0C] ""
[45-0C] ""
[46-0C] ""
[47-0C] ""
[48-0C] ""
[49-0C] ""
[4A-0C] ""
[4B-0C] ""
[4C-0C] ""
[4D-0C] ""
[4E-0C] ""
[4F-0C] ""
[50-0C] ""
[51-0C] ""
[52-0C] ""
[53-0C] ""
[54-0C] ""
[55-0C] ""
[56-0C] ""
[57-0C] ""
[58-0C] ""
[59-0C] ""
[5A-0C] ""
[5B-0C] ""
[5C-0C] ""
[5D-0C] ""
[5E-0C] ""
[5F-0C] ""
[60-0C] ""
[61-0C] ""
[62-0C] ""
[63-0C] ""
[64-0C] ""
[65-0C] ""
[66-0C] ""
[67-0C] ""
[68-0C] ""
[69-0C] ""
[6A-0C] ""
[6B-0C] ""
[6C-0C] ""
[6D-0C] ""
[6E-0C] ""
[6F-0C] ""
[70-0C] ""
[71-0C] ""
[72-0C] ""
[73-0C] ""
[74-0C] ""
[75-0C] ""
[76-0C] ""
[77-0C] ""
[78-0C] ""
[79-0C] ""
[7A-0C] ""
[7B-0C] ""
[7C-0C] ""
[7D-0C] ""
[7E-0C] ""
[7F-0C] ""
[80-0C] ""
[81-0C] ""
[82-0C] ""
[83-0C] ""
[84-0C] ""
[85-0C] ""
[86-0C] ""
[87-0C] ""
[88-0C] ""
[89-0C] ""
[8A-0C] ""
[AF-0C] "la lapide"
[B0-0C] "Premi [7D-00] per osservare [02-26]."
[35-0D] "Stromness è comparsa sulla Mappa Principale."
[36-0D] "La Torre della Montagna è comparsa sulla Mappa Principale."
[37-0D] "La Torre dell'Isola è comparsa sulla Mappa Principale."
[38-0D] "Le Greenlands sono comparse sulla Mappa Principale."
[39-0D] "Il Parco dell'Altipiano e' comparso sulla Mappa Principale."
[3A-0D] "Dounby è comparsa sulla Mappa Principale."
[3C-0D] "il portale."
[3E-0D] "Kirkwall"
[74-0D] "A me!"
[75-0D] "Venite Qui!"
[76-0D] "All'attacco!"
[77-0D] "Carica!"
[78-0D] "State lì!"
[79-0D] "Indietro!"
[7A-0D] "Mantenere la posizione!"
[7B-0D] "Restate dove siete!"
[7C-0D] "Okay, okay... proprio qui."
[7D-0D] "Wahoooo!"
[7E-0D] "Indietreggiare non è nel mio stile!"
[7F-0D] "Stare qui? Se proprio insisti!"
[80-0D] "Verso il Bardo!"
[81-0D] "Carica!"
[82-0D] "Attenzione!"
[83-0D] "Mantenere la posizione!"
[84-0D] "Sto facendo più in fretta che posso, abbi pazienza!"
[85-0D] "Esploro!"
[86-0D] "Ti starò vicino."
[87-0D] "Phew, avrei bisogno di un po' di riposo."
[88-0D] "Che noia... meglio sloggiare!"
[89-0D] "Vieni al dunque!"
[8A-0D] "Roba vecchia..."
[8B-0D] "Avanti!"
[8C-0D] "Taglia corto!"
[8D-0D] "Prendi questo!"
[8E-0D] "Un'altra vittoria per me!"
[8F-0D] "Sono in gamba, eh?!"
[90-0D] "Sembrava davvero doloroso!"
[91-0D] "Deve fare davvero male!"
[92-0D] "Rinfrescante!"
[93-0D] "Ci voleva proprio!"
[94-0D] "Ah, ne avevo bisogno."
[95-0D] "Niente male!"
[96-0D] "Un eccellente bouquet, si merita almeno 4 stelle."
[97-0D] "Bravo ragazzo!"
[98-0D] "Come ho fatto ad andare avanti fino ad adesso senza un cane?"
[99-0D] "Bravo cane!"
[9A-0D] "Io e te andiamo proprio d'accordo, Cane!"
[9B-0D] "Mana insufficiente."
[9C-0D] "Adesso non posso farlo."
[9D-0D] "Energia terminata"
[9E-0D] "Il gruppo è al completo."
[9F-0D] "Devo congedare qualcuno prima di evocarne altri."
[A0-0D] "Spazio insufficiente"
[A1-0D] "Non so come."
[A2-0D] "Non so come farlo."
[A3-0D] "Non qui!"
[A4-0D] "Qui non posso farlo."
[A5-0D] "Ho finito le pietre!"
[A6-0D] "Pietre insufficienti"
[A7-0D] "Diamo un po' un'occhiata alle tue armature."
[A8-0D] "Un po' di protezione mi farebbe comodo."
[A9-0D] "Cos'hai da offrire per quel che riguarda scudi e armature?"
[AA-0D] "Mostrami le tue armature."
[AB-0D] "Mostrami le tue spade e le mazze."
[AC-0D] "Sono interessato allo scontro ravvicinato."
[AD-0D] "Credo sia meglio usare una nuova arma da mischia."
[AE-0D] "Cos'hai di interessante per colpire e pugnalare?"
[AF-0D] "Mi piacerebbe dare un'occhiata ai tuoi archi."
[B0-0D] "Mostrami i tuoi archi."
[B1-0D] "Se parliamo di archi... cos'hai fa offrirmi?"
[B2-0D] "Vediamo i tuoi archi."
[B3-0D] "Hai qualcosa di...insolito?"
[B4-0D] "Okay, okay... ma vuoi sapere una cosa?! Sto cercando qualcos di speciale. Hai capito cosa intendo, no?"
[B5-0D] "Per caso hai qualcosa fuori dall'ordinario?"
[B6-0D] "Sto cercando qualcosa di diverso..."
[B7-0D] "Vediamo qualcos'altro."
[B8-0D] "Che altro hai?"
[B9-0D] "Non mi interessa."
[BA-0D] "Non sono interessato."
[BB-0D] "Cosa?"
[BC-0D] "Puoi ripetere?"
[BD-0D] "Cosa stavi dicendo?"
[BE-0D] "Potresti ripetere?"
[BF-0D] "Sono incuriosito."
[C0-0D] "Cosa puoi dirmi di questo?"
[C1-0D] "Fammi dare un'occhiata."
[C2-0D] "Sembra interessante."
[C3-0D] "Ah... A quanto pare ho dimenticato i soldi negli altri pantaloni..."
[C4-0D] "Non vorrei quella robaccia neanche se potessi permettermela!"
[C5-0D] "Dammi il tempo di racimolare qualche moneta e sono di ritorno."
[C6-0D] "Troppo caro per le mie tasche."
[C7-0D] "Affare fatto!"
[C8-0D] "Proprio quello che stavo cercando!"
[C9-0D] "Lo prendo direttamente dalle tue mani"
[CA-0D] "Lo prendo!"
[CB-0D] "Dannazione..."
[CC-0D] "Non può essere..."
[CD-0D] "Inconcepibile..."
[CE-0D] ""
[CF-0D] ""
[D0-0D] ""
[D1-0D] ""
[D2-0D] ""
[D3-0D] ""
[D4-0D] ""
[D5-0D] ""
[D6-0D] ""
[D7-0D] ""
[D8-0D] ""
[D9-0D] ""
[DA-0D] ""
[DB-0D] ""
[DC-0D] ""
[DD-0D] ""
[DE-0D] ""
[DF-0D] ""
[E0-0D] ""
[E1-0D] ""
[E2-0D] ""
[E3-0D] ""
[E4-0D] ""
[E5-0D] ""
[E6-0D] ""
[E7-0D] ""
[E8-0D] ""
[E9-0D] ""
[EA-0D] ""
[EB-0D] ""
[EC-0D] ""
[ED-0D] ""
[EE-0D] ""
[EF-0D] ""
[F0-0D] ""
[F1-0D] ""
[F2-0D] ""
[F3-0D] ""
[F4-0D] ""
[F5-0D] ""
[F6-0D] ""
[F7-0D] ""
[F8-0D] ""
[F9-0D] ""
[FA-0D] ""
[FB-0D] ""
[FC-0D] ""
[FD-0D] ""
[FE-0D] ""
[FF-0D] ""
[00-0E] ""
[01-0E] ""
[02-0E] ""
[03-0E] ""
[04-0E] ""
[05-0E] ""
[06-0E] ""
[07-0E] ""
[08-0E] ""
[09-0E] ""
[0A-0E] ""
[0B-0E] ""
[0C-0E] ""
[0D-0E] ""
[0E-0E] ""
[0F-0E] ""
[10-0E] ""
[11-0E] ""
[12-0E] ""
[13-0E] ""
[14-0E] ""
[15-0E] ""
[16-0E] ""
[17-0E] ""
[18-0E] ""
[19-0E] ""
[1A-0E] ""
[1B-0E] ""
[1C-0E] ""
[1D-0E] ""
[1E-0E] ""
[1F-0E] ""
[20-0E] ""
[21-0E] ""
[22-0E] ""
[23-0E] ""
[24-0E] ""
[25-0E] ""
[26-0E] ""
[27-0E] ""
[28-0E] ""
[29-0E] ""
[2A-0E] ""
[2B-0E] ""
[2C-0E] ""
[2D-0E] ""
[2E-0E] ""
[2F-0E] ""
[30-0E] ""
[31-0E] ""
[32-0E] ""
[33-0E] ""
[34-0E] ""
[35-0E] ""
[36-0E] ""
[37-0E] ""
[38-0E] ""
[39-0E] ""
[3A-0E] ""
[3B-0E] ""
[3C-0E] ""
[3D-0E] ""
[3E-0E] ""
[3F-0E] ""
[40-0E] ""
[43-0E] "La Città Vecchia"
[44-0E] "Caleigh"
[45-0E] "Fionnaoch"
[46-0E] "Consiglio"
[47-0E] "Fuori di qui"
[49-0E] "Cervogia Nera di Bodb"
[4A-0E] "Birra Scura di Stromness"
[4B-0E] "Birra di Findley"
[4C-0E] "Brodaglia di Silkbeard"
[4D-0E] "Riserva del Capitano Fargo"
[4E-0E] "Idromele di Porco"
[4F-0E] "Birra Leggera di Bugbear"
[50-0E] "Vino della Vedova"
[51-0E] "il barista"
[52-0E] "Premi [7D-00] per salvare la partita."
[53-0E] "Partita"
[54-0E] "Donazione piccola"
[55-0E] "Donazione"
[56-0E] "Donazione generosa"
[59-0E] "Buono."
[5A-0E] "Devo averne uno anche io."
[5B-0E] "Dammene uno"
[5C-0E] "Suona orribile"
[5D-0E] "Penso che passerò."
[5E-0E] "Cosa ne dici di uno di questi?"
[5F-0E] "Che mi dici di questo?"
[60-0E] "Ecco qua."
[61-0E] "Un po' di fortuna mi farebbe comodo."
[8B-0E] "Continua il Gioco"
[BE-0E] "Ho un brutto presentimento."
[E8-0E] "Sono al verde. Mi dispiace."
[E9-0E] "Ho già donato tutti i miei averi ad una famiglia di orfani. Mi dispiace."
[02-0F] "Così termina la Novella del Bardo..."
[03-0F] "E fu così che il Bardo incontrò il suo inevitabile e alquanto meritato destino."
