[01-00] "Qui Erik il Vichingo giace, a Valhalla ora combatte, così assai gli piace."
[3B-03] "Oh, amore mio, abbiamo una vita intera di ricordi da raccontarci. Mio padre sarà così contento... Devi venire con me alla fattoria per incontrarlo. Sono certa che ti vorrà bene proprio come me."
[3C-03] "Più di quanto io meriti, sicuramente. Ma, ahimè, devo lasciarti per andare in cerca di regali per te e tuo padre. Saprai presto quanto il mio cuore ti desideri, te lo prometto."
[3D-03] "A presto, mio tesoro."
[3E-03] "Ed eccoci alla scappatoia."
[3F-03] "Mai, in tutta la mia vita, sono stata insultata così."
[40-03] "Pensaci bene, sono sicuro di sì"
[41-03] "Quando mio padre lo scoprirà, avrai quel che ti meriti. Non sei altro che un... un... una bestia!"
[42-03] "Non sembra che questo ti sia dispiaciuto, l'ultima volta."
[43-03] "La pagherai! Ti giuro che la pagherai!"
[44-03] "L'ho già fatto. Dovrei trovarmi una cintura di castità, per evitare certe seccature così sgradevoli."
[45-03] "Faresti un favore al mondo intero buttando la chiave."
[46-03] "Non avvicinarti alla fattoria del vecchio Finn. Porta sempre con sè una balestra, e non vede l'ora di usarla."
[47-03] "Non so te, ma di questi Firbolgs non sono sicuro. Voglio dire, non sono neanche umani!"
[48-03] "Quel bottegaio mi ha cacciato dal suo negozio quando gli ho chiesto se potevo comprare qualcosa senza pagare."
[49-03] "Ho visto uno strano uomo incappucciato fuori dal villaggio l'altro giorno, stava vagando in cerca di qualcosa vicino a quella vecchia torre."
[4A-03] "Povero Conner! Dovrebbe ritenersi fortunato che non sia interessata a lui."
[4B-03] "Mio cugino è un esploratore, l'ultima volta che l'ho visto era in cerca di una tomba su per le montagne. Spero stia bene, sono un pò preoccupato per lui."
[4C-03] "Un ragazzino mi ha appena colpito con un bastone, ha detto che era il prescelto e che stava per uccidermi. Ti sembro per caso un mostro?"
[4D-03] "Scusa, sai per caso dove posso trovare un certo Bodb?"
[4E-03] "Si, sono io Bodb. E tu chi sei?"
[4F-03] "Sono io quello che fa le domande qui. Vengo da Houton, uno dei tuoi fratelli mi ha mandato da te. Hai della musica per me?"
[50-03] "Sono un viandante stanco che ha bisogno di un piccolo favore. Uno dei tuoi fratelli mi ha mandato qui da Houton. Mi è stato detto che avresti della musica che potrebbe interessarmi."
[51-03] "Qualcuno qui si è svegliato con il piede sbagliato questa mattina. Come faccio a sapere se mi posso fidare di te?"
[52-03] "Sarà un piacere aiutarti. Ma prima di tutto, come faccio a sapere se vieni veramente da Houton?"
[53-03] "Ho un'idea: conta fino a tre, e se non sei morto, puoi fidarti di me."
[54-03] "Devi credermi sulla parola."
[55-03] "Un uomo che convince, questo posso rispettarlo. Ascolta, mio buon amico, il mio nome è Bodb, ma tu cerchi un altro Bodb. Sarò felice di portarti da lui."
[56-03] "Come se avessi una scelta."
[57-03] "Il Bardo e Bodb si incamminarono insieme alla ricerca di un altro Bodb."
[58-03] "Ok, ecco quello che devi fare. Vai avanti per questa strada e troverai il vero Bodb."
[59-03] "Il tuo nome non è Bodb?"
[5A-03] "Certo che lo è, perchè dovrei mentirti?"
[5B-03] "Ma hai detto..."
[5C-03] "Sono Bodb, ma non sono il Bodb che vuoi tu. Purtroppo non ho l'esclusiva sul nome Bodb."
[5D-03] "Non mi piace il tuo modo di fare."
[5E-03] "Bene, vuol dire che mi sono fatto capire. Ora vai nella direzione che ti ho indicato, e troverai chi cerchi. Chiedi di Bodb, e digli che ti ha mandato Bodb."
[5F-03] "Scusa, per caso sei Bodb?"
[60-03] "E chi lo chiede?"
[61-03] "Salve, Bodb."
[62-03] "Oh, buon giorno, Bodb. Come sta Agnus?"
[63-03] "Bene, bene. E la tua Agnus?"
[64-03] "Sta benissimo. E i gemelli?"
[65-03] "Avete finito, voi due?"
[66-03] "E questo chi è?"
[67-03] "Sono quello che riduce il numero di Bodb, qui, se non mi dici quello che ho bisogno di sapere."
[68-03] "Solo un semplice e confuso viandante che è stato mandato qui per chiedere il tuo aiuto."
[69-03] "No, buon uomo, non c'è bisogno di minacciare. Capirai presto che non puoi conoscere tutti i Bodb. Ti assicuro che siamo qui per aiutarti."
[6A-03] "Oh, ma non siamo qui per confondere, ti assicuro. Dimmi solo cosa hai bisogno."
[6B-03] "Mi aiuteresti di più ciarlando di meno. Insegnami semplicemente questa magia e continuerò per la mia strada, e il tuo naso rimarrà nel mezzo della tua faccia."
[6C-03] "Grazie al cielo. Insegnami semplicemente la magia che conosci, te ne sarò grato e così potrò continuare per la mia strada."
[6D-03] "Devo confessarti che mi piace dov'è, il mio naso. Detto ciò, se mi avessi detto che cercavi il Bodb Magico, potevamo risparmiare un pò di tempo."
[6E-03] "Vuoi dire che c'è un ALTRO Bodb?"
[6F-03] "Certo. Se solo fossi stato più specifico... Seguimi, ti porto da lui."
[70-03] "Spero per te che la terza volta sia quella buona."
[71-03] "Oooohhhh... Tu vuoi il Bodb MAGICO. E perchè non l'hai detto subito?"
[72-03] "E' meglio che non scherzi con me."
[73-03] "Niente di tutto ciò, amico mio. Vorrei poterti aiutare, ma tu cerchi il Bodb in fondo alla strada. Cerca di essere più preciso la prossima volta."
[74-03] "Forse la mia spada può essere più precisa."
[75-03] "Ora non arrabbiarti con me, è colpa della tua incapacità di farti capire. Ora vai, Bodb sta aspettando. E digli che Bodb lo saluta."
[76-03] "Con piacere."
[77-03] "E così, in un momento di dejavu, il Bardo si incamminò per incontrare Bodb con un senso di dejavu il Bardo si incamminò per incontrare Bodb..."
[78-03] "Simpatico, davvero."
[79-03] "Ho quasi paura a chiederlo, ma ti chiami Bodb per caso?"
[7A-03] "Si, è il mio nome. E tu chi sei?"
[7B-03] "Il tuo peggior incubo, se non mi dai quello che cerco."
[7C-03] "Chiamami frustrato. Ma tu forse puoi porre fine a questo circolo vizioso in cui mi trovo."
[7D-03] "In effetti, se fossi nei miei sogni mi sveglierei con i sudori freddi. Qualsiasi cosa possa fare per tenerti lontano dai miei sogni, chiedi."
[7E-03] "Poveretto. Se solo avessi il più piccolo briciolo di simpatia per uno straniero stanco e frustrato che ruba il mio tempo prezioso. Ma forse posso concederti una domanda."
[7F-03] "A meno che tu non voglia restare per sempre nel mondo dei sogni, dammi la melodia magica per cui sono venuto."
[80-03] "Se non ti è troppo di disturbo, mi è stato detto che potevi insegnarmi una melodia magica."
[81-03] "Se mi mandi permanentemente nel mondo dei sogni, come posso portarti dal Bodb che può aiutarti? La magia che io conosco è basilare. Illusioni, giochi con le carte, lettura del palmo della mano. Ora ti porto dal Bodb che conosce le melodie magiche. Seguimi, amico mio."
[82-03] "Melodie magiche? Ah, ora capisco. Beh, amico mio, l'unica magia che potrei mostrarti richiederebbe un mazzo di carte, che, ironicamente, ho perso in una partita a poker. Se cerchi melodie magiche, allora cerchi il mio buon amico Bodb. Lo trovi proseguendo lungo questa strada. Buona giornata."
[83-03] "Benissimo, ecco la mia domanda. Preferisci morire pugnalato o strangolato?"
[84-03] "Sul serio?"
[85-03] "Preferirei di vecchiaia. Altrimenti come potrei portarti dal Bodb che può davvero aiutarti? La magia che conosco è basilare. Illusioni, giochi con le carte, lettura del palmo della mano. Ora ti porto dal Bodb che conosce le melodie magiche. Seguimi."
[86-03] "Ma certo. Quella era una domanda eccellente. Sei più sveglio di quanto sembri. Così sveglio che sono sicuro che puoi trovare il mio amico Bodb continuando per questa strada. Ha un debole per i sempliciotti come te. Assicurati di dirgli che lo saluto."
[87-03] "Bodb?"
[88-03] "Si."
[89-03] "Oh, bene, vediamo se riesco a essere succinto. Dammi quello che voglio o ti uccido. Sono stato abbastanza chiaro?"
[8A-03] "Ti prego, ti prego, aiutami!"
[8B-03] "Chiarissimo."
[8C-03] "Mi spiace, le leggi qui proibiscono di fare elemosina. Forse uno dei miei amici può darti una briciola o due di pane. Ora vattene."
[8D-03] "Questi Bodb avevano davvero la lingua lunga. Il vecchio adagio "se non puoi batterli, unisciti a loro" era una perla di saggezza che il nostro eroe avrebbe fatto meglio a ricordare."
[8E-03] "Vai da questa parte."
[8F-03] "Vai da questa parte."
[90-03] "Vai da questa parte."
[91-03] "Vai da questa parte."
[92-03] "Questa è la direzione giusta, amico mio"
[93-03] "Questa è la direzione giusta, amico mio"
[94-03] "Questa è la direzione giusta, amico mio"
[95-03] "Questa è la direzione giusta, amico mio"
[96-03] "Da questa parte."
[97-03] "Da questa parte."
[98-03] "Da questa parte."
[99-03] "Da questa parte."
[9A-03] "Questa è la direzione da prendere."
[9B-03] "Questa è la direzione da prendere."
[9C-03] "Questa è la direzione da prendere."
[9D-03] "Questa è la direzione da prendere."
[9E-03] ""
[9F-03] "No, no, non da quella parte."
[A0-03] "No, no, non da quella parte."
[A1-03] "No, no, non da quella parte."
[A2-03] "Non è da quella parte."
[A3-03] "Non è da quella parte."
[A4-03] "Non è da quella parte."
[A5-03] "Non è da quella parte."
[A6-03] "Ma non eri attento? Non da quella parte."
[A7-03] "Ma non eri attento? Non da quella parte."
[A8-03] "Ma non eri attento? Non da quella parte."
[A9-03] "Ma non eri attento? Non da quella parte."
[AA-03] "Sai bene che non sono qui a indicarti la via per divertirmi."
[AB-03] "Sai bene che non sono qui a indicarti la via per divertirmi."
[AC-03] "Sai bene che non sono qui a indicarti la via per divertirmi."
[AD-03] "Sai bene che non sono qui a indicarti la via per divertirmi."
[AE-03] "Forse potresti provare ad aprire gli occhi."
[AF-03] "La la la la la la la la la laaa."
[B0-03] "Forse potresti provare ad aprire gli occhi."
[B1-03] "Forse potresti provare ad aprire gli occhi."
[B2-03] "La la la la la la la la la laaa."
[B3-03] "La la la la la la la la la laaa."
[B4-03] "La la la la la la la la la laaa."
[B5-03] "La la la la la la la la la laaa."
[B6-03] "La la la la la la la la la laaa."
[B7-03] "Ho detto qualcosa di male? Torna qui."
[B8-03] "La la la la la la la la la laaa."
[B9-03] "La la la la la la la la la laaa."
[BA-03] "Ehi, non ho tutto il giorno!"
[BB-03] "Ehi, non ho tutto il giorno!"
[BC-03] "Ehi, non ho tutto il giorno!"
[BD-03] "Ehi, non ho tutto il giorno!"
[BE-03] "Ho altre cose da fare nella mia vita, oltre che aspettare i tipi come te."
[BF-03] "Ho altre cose da fare nella mia vita, oltre che aspettare i tipi come te."
[C0-03] "Ho altre cose da fare nella mia vita, oltre che aspettare i tipi come te."
[C1-03] "Ho altre cose da fare nella mia vita, oltre che aspettare i tipi come te."
[C2-03] "Ehi, non sai quanto è divertente aspettarti girando i pollici."
[C3-03] "Ehi, non sai quanto è divertente aspettarti girando i pollici."
[C4-03] "Ehi, non sai quanto è divertente aspettarti girando i pollici."
[C5-03] "Non sai quanto è divertente aspettarti girando i pollici."
[C6-03] "Ehi, mentre spreco il mio tempo ad aspettarti, posso lavarti i vestiti o risolare le tue scarpe?"
[C7-03] "Ehi, mentre spreco il mio tempo ad aspettarti, posso lavarti i vestiti o risolare le tue scarpe?"
[C8-03] "Ehi, mentre spreco il mio tempo ad aspettarti, posso lavarti i vestiti o risolare le tue scarpe?"
[C9-03] "Mentre spreco il mio tempo ad aspettarti, posso lavarti i vestiti o risolare le tue scarpe?"
[CA-03] "Spero tu mi abbia comprato qualcosa, dato che ti ho aspettato qui per tutto questo tempo."
[CB-03] "Spero tu mi abbia comprato qualcosa, dato che ti ho aspettato qui per tutto questo tempo."
[CC-03] "Spero tu mi abbia comprato qualcosa, dato che ti ho aspettato qui per tutto questo tempo."
[CD-03] "Spero tu mi abbia comprato qualcosa, dato che ti ho aspettato qui per tutto questo tempo."
[CE-03] "E' bello rivederti. Mi sei mancato."
[CF-03] "Già, e tra un po' ti mancheranno anche un braccio o due, se continuo a girare in tondo."
[D0-03] "Ora puoi aiutarmi?"
[D1-03] "Dato che ci tengo alle mie appendici, credo di poterti aiutare a trovare la tua strada."
[D2-03] "Ovviamente no. Buona giornata."
[D3-03] "Allora, ti piace la nostra bella città?"
[D4-03] "In realtà, no. Vorrei registrare una lamentela, con la mia spada."
[D5-03] "Di certo ne ho già vista abbastanza. Vuoi mostrarmi qualcos'altro?"
[D6-03] "Mmmm, capisco. Beh, amico mio, lascia che ti accompagni all'ufficio reclami."
[D7-03] "Mi dispiace, i tour ci sono solo due volte alla settimana. Torna domani."
[D8-03] "Oh, ancora tu. Devono piacerti le punizioni."
[D9-03] "In realtà, preferisco distribuirle. Vuoi che inizi con te?"
[DA-03] "Non proprio. Quello che mi piacerebbe è una risposta sincera."
[DB-03] "Ti sei deciso, finalmente. Seguimi, amico mio, ti mostro dove devi andare."
[DC-03] "Non appena me ne viene in mente una sarai il primo a saperlo. Arrivederci."
[DD-03] "Vedo che non hai ancora capito come vanno le cose. Sei sempre così lento?"
[DE-03] "Dipende da quanto vuoi che sia dolorosa la tua morte. Adesso come adesso, una morte lenta sembra davvero appropriata."
[DF-03] "In giorni così, si. Magari se puoi essere abbastanza gentile da velocizzare le cose..."
[E0-03] "Capisco. Tortura o aiuto sembrano essere le mie due uniche opzioni. E visto che posso sopportare l'umiliazione meglio del dolore, ti aiuterò."
[E1-03] "Certo. E forse un giorno tutti impareranno a volare. Buona giornata, straniero."
[E2-03] "Fai agli altri quello che gli altri fanno a te sembrava una regola appropriata da seguire per il nostro eroe."
[E3-03] "Non lo sai che quelli gentili finiscono sempre ultimi?"
[E4-03] "E quelli gentili con grandi spade e poco senso dell'umorismo?"
[E5-03] "Non puoi aiutarmi, per favore?"
[E6-03] "Oh, ci siamo! Sarò felice di aiutarti."
[E7-03] "No, mi dispiace."
[E8-03] "Ancora tu? Te lo dico chiaramente: non aiuterò mai un altro perdente che non sa cavarsela da solo."
[E9-03] "E se ti faccio perdere i sensi giusto per divertimento?"
[EA-03] "Mi è stato detto che mi potevi aiutare."
[EB-03] "Oh, ci siamo! Andiamo a cercare Bodb."
[EC-03] "Non sono responsabile di quello che ti è stato detto. Sei davvero patetico, lo sai?"
[ED-03] "Non capirai mai perchè ti stiamo facendo girare in tondo. Questa perseveranza deve essere ricompensata, andiamo."
[EE-03] "Cercavamo di temprarti, ma è chiaro che non sta funzionando... andiamo."
[EF-03] "Beh? Perchè non sono stato invitato alla festa?"
[F0-03] "Beh? Perchè non sono stato invitato alla festa?"
[F1-03] "Beh? Perchè non sono stato invitato alla festa?"
[F2-03] "Beh? Perchè non sono stato invitato alla festa?"
[F3-03] "Credetemi, questa non è una festa. Ho perso la pazienza con voi."
[F4-03] "E' un peccato, perchè senza noi quattro, ho paura che non troverai nessun aiuto."
[F5-03] "E' un peccato, perchè senza noi quattro, ho paura che non troverai nessun aiuto."
[F6-03] "E' un peccato, perchè senza noi quattro, ho paura che non troverai nessun aiuto."
[F7-03] "E' un peccato, perchè senza noi quattro, ho paura che non troverai nessun aiuto."
[F8-03] "Come dico sempre, più si è più ci si diverte. Un Bodb in più non farà male. Andiamo."
[F9-03] "Il Bardo e i quattro Bodb si incamminarono insieme. E' incredibile la velocità con cui persone simili si attraggono."
[FA-03] "Anche se passò più tempo del necessario, il Bardo e i quattro Bodb finalmente si incamminarono insieme. Un esempio perfetto di attrazione tra simili."
[FB-03] "Anche se passò più tempo del necessario, molto molto più tempo del necessario, il Bardo e i quattro Bodb finalmente si incamminarono insieme.  Un esempio perfetto di attrazione tra simili."
[FC-03] "Una volta dentro, percorri il labirinto finchè non trovi quattro botti. Dietro a queste botti c'è un passaggio che porta in un posto esterno. Lì troverai un nostro carissimo amico che ti mostrerà la via."
[FD-03] "Perchè ho la sensazione che questo girotondo è ben lontano dall'essere finito?"
[FE-03] "Abbi fiducia, amico mio. Questo è un buon metodo per diventare pazzi."
[FF-03] "Sono sicuro che lo sia, ma non siete obbligati a coinvolgere anche me."
[00-04] "Dopo un lungo annaspare nell'oscurità, e con l'aiuto del suo nuovo compagno, il nostro eroe trovò il passaggio verso l'esterno."
[01-04] "Ti stavo aspettando. Lascia che mi presenti. Il mio nome è..."
[02-04] "Devo avvertirti che il tuo futuro diventerà incerto se ora dici Bodb."
[03-04] "Come desideri. Non ho nessuna voglia di accorciare il mio futuro."
[04-04] "Dimmi solo se sei veramente chi cerco. E sottilineo "veramente"."
[05-04] "Io sono colui che cerchi. Per precauzione, puoi chiamarmi... beh... chiamami come ti pare."
[06-04] "Allora scelgo "homely", ti calza a pennello."
[07-04] "Come desideri. Posso anche ballare, se può servire a tenere quella spada lontana dalla mia pancia."
[08-04] "Ne ho abbastanza di canzoni e danze per oggi. Allora, Homely, spiegami perchè sono stato invitato in questo schifo di città."
[09-04] "Non sei stato invitato, amico mio, sei stato scelto. Ed è un grande onore, devo aggiungere, perchè solo i più forti e coraggiosi vengono scelti dalla bellissima principessa Caleigh."
[0A-04] "Bellissima principessa? Sono tutt'orecchi."
[0B-04] "Già, la principessa Caleigh è la più bella in tutto il paese. Ed è un dolore per il mio cuore pensare alla sua situazione."
[0C-04] "Se mi dici un'altra volta che sono stato prescelto, finisci male. Ora, senza usare la parola che inizia con la "P", spiega di che diavolo stai parlando."
[0D-04] "Errmm... beh... come stavo dicendo, sei stato... mandato qui dall'incantevole principessa Caleigh, che il signore la benedica."
[0E-04] "Continua... non che non sappia dove vuoi andare a parare."
[0F-04] "La nostra bella principessa è prigioniera in una vecchia torre. Forze oscure la tengono rinchiusa in una prigione mistica. Solo lei..."
[10-04] "Sigh. Perchè capita sempre a me? Beh, continua, sputa il rospo, per amor del cielo."
[11-04] "Come lo sai? E' straordinario!"
[12-04] "Lasciami indovinare... solo lei può sconfiggere il male? Sempre in cima ad una torre, eh? Nessuno ormai tiene prigioni al piano terra."
[13-04] "Io... voglio dire... beh, hai già detto tutto."
[14-04] "Certo, certo, solo lei puo sconfiggere il male. Ti prego, ti prego, puoi rischiare la vita per salvarla? Bla bla bla, eccetera eccetera. Tutto già sentito e risentito. Tutto qua?"
[15-04] "Aspetta! Ti ho per caso detto che è tanto bella quanto ricca?"
[16-04] "Scusa amico, non sono interessato, i salvataggi delle principesse finiscono sempre male. L'ultima principessa che ho cercato di salvare... beh, diciamo che l'orco era disposto a morire pur di mandarla via."
[17-04] "Con in mente solo soldi, sottane e spargimenti di sangue, il Bardo e il suo nuovo amico si incamminarono per incontrare la misteriosa principessa Caleigh."
[18-04] "Siamo arrivati, amico mio."
[19-04] "Non vedo torri qui. Pensavo mi portassi da questa principessa."
[1A-04] "Infatti parlerai con lei, solo che lei non sarà qui in carne e ossa."
[1B-04] "Ma prima o poi vedrò della carne, vero?"
[1C-04] "Al momento giusto, mio impaziente amico. Al momento giusto."
[1D-04] "Ti ricordi dei miei fratelli?"
[1E-04] "Si, ma non sono bravo a ricordare i nomi..."
[1F-04] "Bodb!"
[20-04] "Bodb!"
[21-04] "Bodb!"
[22-04] "Bodb!"
[23-04] "Ora ricordo. Possiamo continuare, ora? Se non vedo subito la principessa, finite tutti male."
[24-04] "Come desideri. Come ti ho già detto, la principessa Caleigh è in una torre impenetrabile."
[25-04] "Non ricordo di averti sentito menzionare la parola "impenetrabile"."
[26-04] "No? Beh, è perchè è impenetrabile solo a quelli come noi. Un tipo robusto come te non dovrebbe aver problemi."
[27-04] "Come no! Continua."
[28-04] "L'unico modo per comunicare con la nostra adorata principessa è invocare un'immagine di lei, abbiamo questo rituale che..."
[29-04] "Basta parlare, vediamo un pò di azione."
[2A-04] "Molto bene. Siete pronti, amici?"
[2B-04] "Se questo fosse uno spettacolo, prenderesti i pomodori in faccia."
[2C-04] "Ora, Bodb... la campana!"
[2D-04] "Bodb! Ora o la perderemo!"
[2E-04] "SUONALA!!  ORA!!"
[2F-04] "Ding?"
[30-04] "Quella era...lei? Mi sembrava di averla già vista."
[31-04] "Dov'è la campana?"
[32-04] "Era lei la principessa Calico?"
[33-04] "Caleigh. Bodb, la campana?"
[34-04] "Veramente non ce l'ho."
[35-04] "E' quella che appare quando uso questo ciondolo."
[36-04] "E chi ce l'ha?"
[37-04] "Finn il contadino."
[38-04] "Quindi lei è la principessa... E hai detto che è ricca, vero?"
[39-04] "Ancora scommesse!?"
[3A-04] "Mi dispiace, non riesco a resistere alla tentazione."
[3B-04] "Benvenuto nel club. A chi serve quella stupida campana? Non posso semplicemente andare a salvarla? Potrei partire subito. Hai un cavallo veloce?"
[3C-04] "Ho paura che sia impossibile salvarla senza le informazioni che solo la principessa può fornire."
[3D-04] "Beh, posso invocarla anche subito, appare quando uso questo ciondolo."
[3E-04] "Ah si, fammi dare un'occhiata... mmm è come pensavo. Dove l'hai preso?"
[3F-04] "L'ho avuto da quello che mi ha mandato da te."
[40-04] "Questo ciondolo contiene una parte della sua magica essenza. Un pò del suo spirito, se preferisci. Invoca i suoi poteri ma non permette di comunicare."
[41-04] "Benissimo, dimmi dove posso trovare questo contadino. Se non posso ricomprare la campana da lui, troverò un modo per estorcergliela."
[42-04] "E' chiaro che non posso fidarmi di Bodb per riaverla indietro. Ma devi sbrigarti, il tempo stringe. Trova quella campana, e riportala qui più in fretta che puoi."
[43-04] "E poi posso andare a salvare la principessa, giusto? Niente più girotondi."
[44-04] "Già, e lei ti ripagherà molte volte."
[45-04] "E spero anche in tanti modi. Sarò di ritorno prima che tu lo sappia."
[46-04] "E così il nostro valoroso Bardo si incamminò per incontrare il contadino, con la fortuna dalla sua e in testa immagini della principessa che faceva cose di cui non oso entrare nei dettagli."
[47-04] "Fuori dalla mia terra, vagabondo! Non sei il benvenuto qui!"
[48-04] "Abbassa la balestra, vecchio, sono solo di passaggio."
[49-04] "Ti ha mandato Conner? Se è così digli che gli restituirò i suoi soldi e il matrimonio è ancora annullato. Mia figlia non vuole avere niente a che fare con lui. Torna da lui e riferisci!"
[4A-04] "Non conosco nessun Conner. Ora, perchè non metti giù quella balestra e parliamo come persone civili."
[4B-04] "Fuori dalla mia terra ora, cane infame!"
[4C-04] "Attento, vecchio, rischi di colpirmi!"
[4D-04] "Fuori dalla mia terra!"
[4E-04] "Oh, perfetto! Un bifolco dal grilletto facile. Beh, proprio quello che desideravo."
[4F-04] "Credevo di averti detto di stare lontano dalla mia terra, straccione!"
[50-04] "Non sforzarti troppo, vecchio. Sono venuto qui per reclamare un artefatto importante."
[51-04] "Non ci sono artefatti in questa terra, idiota, solo polli. Ti ha mandato Conner? Se è così digli che gli restituirò i suoi soldi e il matrimonio è ancora annullato. Mia figlia non vuole avere niente a che fare con lui. Torna da lui e riferisci!"
[52-04] "Non conosco nessun Conner. Sei proprio un vecchio testardo, eh?"
[53-04] "Hai dieci secondi.  1, 2, 3, 4...uh, 5,......6....7.....8..."
[54-04] "Dannazione, dov'ero?"
[55-04] "3"
[56-04] "Ah sì, 3.   3.......4....uh, 5,......6...7....8..."
[57-04] "Per fortuna del bardo e per mia costernazione, il contadino aveva qualche difficoltà a raggiungere il 10."
[58-04] "No no, continua, non ho fretta. Ma non sforzarti, non vorrei che svenissi per la troppa fatica prima che possa avere quello che voglio da te."
[59-04] "Non sono un intruso, sono stato mandato qui da Bodb, e non chiedermi quale, per recuperare una campana che ha perso scommettendo con te."
[5A-04] "Questo non è per niente cortese, straniero... e questo mi piace! Non sento qualcosa di intelligente da queste parti da quando... beh, deve essere stato il quarto anno della seconda era... Kyle, il pronipote del vecchio McGilicutty, fu lui che ci provò. Ma non finì bene per lui, se la mia memoria è ancora buona..."
[5B-04] "E ne dubito fortemente alla tua età."
[5C-04] "... comunque è stato tanto tempo fa."
[5D-04] "Cercerò di essere conciso così non ti dimentichi. Sono qui per la campana che hai vinto a Bodb."
[5E-04] "Sto cercando di metter le mani sulla campana che Bodb, e non chiedermi quale, ha perso scommettendo con te. Non ce l'hai, per caso?"
[5F-04] "Sei davvero un tipo scontroso, lo sai?"
[60-04] "Scontroso? Questo è il mio comportamento migliore. Non divento scontroso finchè non ho quello che voglio."
[61-04] "Mi dispiace, vecchio, non volevo essere scontroso. Volevo solo mettere le mani sulla campana che Bodb ha perso scommettendo con te. Ce l'hai?"
[62-04] "Mi piaci, figliolo, sei irritabile proprio come me. Tutto ciò mi rincuora. E visto che mi hai fatto sentire meglio, ti darò questa campana che cerchi così tanto. Che ne dici?"
[63-04] "Dev'esserci sotto qualcosa."
[64-04] "Non ti fidi, eh? Non ti sto imbrogliando, puoi davvero avere questa campana, solo non dire a Conner che te l'ho data. Non voglio che si sappia che sono generoso, specialmente quando sono in debito di così tanti soldi."
[65-04] "Conner?"
[66-04] "Già, mi ha lasciato in mutande al gioco d'azzardo... ho dovuto promettergli la mano di mia mia figlia in matrimonio per sdebitarmi."
[67-04] "Quella campana che cerchi non è in vendita, ma forse c'è qualcosa che puoi fare per me in cambio della campana."
[68-04] "Nessun problema, vecchio. Di cosa hai bisogno? Devo mungere i polli? Devo spennare le mucche?"
[69-04] "Non proprio. Vieni con me."
[6A-04] "Questi maledetti corvi mi stanno mangiando tutto il raccolto. Liberatene, e avrai la tua campana."
[6B-04] "Uccelli? Tutto qui? Uccido qualche uccello e ho la campana. Troppo facile, vecchio, cosa c'è sotto?"
[6C-04] "Vuoi la campana, uccidi gli uccelli.  Sono vecchio e il tempo è prezioso per me. Abbiamo un accordo o no?"
[6D-04] "E' difficile associarti alla parola prezioso, ma sì, abbiamo un accordo."
[6E-04] "Buona fortuna. Quando hai finito, vieni a cercarmi vicino alla casa."
[6F-04] "Il mio talento è sprecato. Mi hai fatto venire qui per questo?"
[70-04] "Questo è parlare! Un combattimento vero!"
[71-04] "Quindi se uccido il contadino, gli faccio un favore, altro che peccato. Quello può morire da un momento all'altro."
[72-04] "Qualche problema con i corvi?"
[73-04] "No, ma una ritoccatina a questi spaventapasseri sarebbe utile."
[74-04] "Fastidiosi, eh? Non solo attraggono i corvi, ma tutte le volte in cui me ne sono sbarazzato, mi hanno mangiato metà del raccolto. E' l'ultima volta che compro uno spaventapasseri da un Trow."
