[01-00] "Qui Erik il Vichingo giace, a Valhalla ora combatte, così assai gli piace."
[FB-07] "Ah, il pugnale. Buona scelta. Torna quando vuoi."
[FC-07] "Hai visto lo spadone di Acciaio Corvino nelle mani di grandi guerrieri, grandi re, e uomini leggendari. Bene, ora puoi smettere di ammirare quest'arma straordinaria nelle mani di altri e averne una tua... oggi! Te la offro a un prezzo folle, valido solo per oggi!"
[FD-07] "Lo spadone, ottima scelta. E ricorda, se la trovi a un prezzo più basso, allora è una pazzia."
[FE-07] "Fermo! Non cercare oltre! Lo vedi, lo cerchi, lo vuoi! Avrai l'invidia di tutti con questo mazzafrusto modello d'Onice. Saprà permeare e irradiare, quindi non esitare! Compralo ora!"
[FF-07] "Il mazzafrusto, eccellente scelta, amico mio. Vendiamo anche estensioni della garanzia se sei interessato."
[00-08] "Fende. Affetta. E può essere tua, amico. Frecraid, la spada dei re... No, no, no, no, la spada degli dei! E' bilanciata perfettamente, e le dame acclameranno te insieme alla tua spada! Le dimensioni contano!"
[01-08] "Fai attenzione, con lo spadone."
[02-08] "Vuoi gittata? Vuoi precisione? Abbiamo perso la ragione? Beh, deve essere così, se vendiamo un tale arco a questo prezzo pazzo, pazzo!"
[03-08] "Ogni volta che usi questo arco lungo, ricordati che i tuoi soldi sono stati ben spesi qui da Thorvald."
[04-08] "Thump! Thump! Thump! Cos'è questo rumore? Thump! Thump! Thump! Ma sono le frecce del tuo arco nuovo di zecca, che trapassano il petto dei tuoi più grandi nemici! Che saranno fieri, anche se agonizzanti, di essere stati uccisi da una così bell'arma."
[05-08] "Per favore, dì ai tuoi amici che hai avuto quell'arco ad un insano prezzo!"
[06-08] "Pensi di avere tutto, proprio tutto? Beh, credimi, non hai niente fin quando non compri quest'arco. Intagliato dal leggendario albero Bile Dathi, è flessibile, è potente, e può essere tuo ad un prezzo assolutamente pazzesco!"
[07-08] "Si, il leggendario e unico Arco di Bile Dathi! Io ne possiedo tre."
[08-08] "Questo articolo non lo trovi a Houton, nè a Finstown. Lo trovi solo qui! Perchè? Perchè sono diventato pazzo e ho comprato tutti gli esemplari dai negozi di tutto il mondo!"
[09-08] "Indossa questa cotta di maglia con fierezza, amico mio."
[0A-08] "Non muoverti! Non respirare! Ammira questa meravigliosa cotta di maglia. Chiudi gli occhi. Toccala! Immaginala! Ora comprala!"
[0B-08] "Quella cotta potrebbe essere di bronzo, ma da Thorvald puoi sempre portarti a casa dell'argento."
[0C-08] "Para con stile! Para con grazia! E diventa il primo ad usare il nuovissimo Scudo Tondo! Perchè usare il modello di quest'anno, quando puoi avere quello degli anni a venire... subito! Vivi il futuro baby, oggi!"
[0D-08] "Quello scudo bloccherà i fendenti dei tuoi nemici proprio come noi blocchiamo i prezzi qui da Thorvald!"
[0E-08] "Sarai sulla bocca di tutto la città, amico! Ma che dico? Sulla bocca dell'intero paese con questo scudo! E se lo compri entro i prossimi dieci minuti, il pugnale è gratuito! Sono impazzito o cosa?"
[0F-08] "Non troverai da nessun altra parte un affare migliore! Pensaci, un pugnale gratuito..."
[10-08] "Solo per oggi, svendita musicale qui da Thorvald. Compra questo strumento oggi, e la casa offre gratis questo frammento di musica trovato sul cadavere di un ragazzino capitato in città non troppo tempo fa. Proprio così, per questo prezzo ridicolo hai sia il corno che questa melodia! Come puoi vivere un altro giorno senza questo straordinario strumento?"
[11-08] "Goditi lo strumento, e la musica, e non dimenticarti di dire ai tuoi amici di far provviste qui da Thorvald il pazzo."
[12-08] "Buon giorno a te, amico mio. Ti devi essere perso, per essere finito in questa città dimenticata da Dio. Sembra che i morti non abbiano proprio voglia di rimanere morti, oggi."
[13-08] "La tua conoscenza profonda dell'ovvio è incredibile. Non saprei come fare senza il tuo aiuto."
[14-08] "Non preoccuparti, amico mio, non rimarrò qui a lungo. La mia missione è altrove."
[15-08] "Non preoccuparti, caro il mio sarcastico. Il mio aiuto puoi solo dimenticarlo."
[16-08] "Oh, una missione! Che cosa eccitante! Forse ti posso aiutare con una melodia magica, se pensi di essere abbastanza esperto."
[17-08] "E' meglio che tu non sappia se sono esperto o meno. Nei miei viaggi anche avversari più forti di te hanno fatto una brutta fine."
[18-08] "Esperto o meno, potrebbe essere utile. Se sei così gentile, saprei bene come usare il tuo aiuto."
[19-08] "Ascolta, trow, abbiamo chiacchierato abbastanza, oggi. Se hai qualcosa che mi può servire, dammela."
[1A-08] "Se ti ho offeso, mi dispiace. Il viaggio è stato lungo e difficile. Guarda, se hai qualcosa che può semplificarmi la vita, ti sarei davvero riconoscente."
[1B-08] "Mi spiace, non penso di poterti aiutare, ma ti darò qualche consiglio. Vicino alla chiesa puoi trovare mio fratello. Potrebbe essere disposto ad aiutare un tipo sarcastico come te. Ora levati dai piedi, lasciami solo con la mia musica."
[1C-08] "Sarebbe un piacere ed un onore aiutare un gentiluomo come te. Lascia che ti insegni questa melodia, spero ti possa essere utile nel tuo viaggio."
[1D-08] "Non appena il Bardo e il suo miglior amico, padre, fratello e marito si avvicinarono alla fattoria, tutto divenne misteriosamente calmo. Ma il Bardo presto scoprì cosa aveva spinto Hatcher a rinunciare alla fattoria. Non solo gli esseri umani tornavano alla vita: questi animali sembravano piuttosto irritati per il trattamento ricevuto dal macellaio. C'era di che diventare vegetariani."
[1E-08] "Ho qualcosa che può aiutarti! Il vecchio arco di papà! Da questa parte, fratello!"
[1F-08] "Siamo tornati al "fratello" eh? Beh, sempre meglio di Hilde, suppongo."
[20-08] "Strano posto. Cosa diavolo hai seppellito qui, fratello?"
[21-08] "Ahimè! Qui era dove sotterravo le parti di animali che non mi servivano."
[22-08] "Sai...non mi suona molto bene sentirtelo dire..."
[23-08] "Detto francamente, neppure a me."
[24-08] "Haggis per tutti!"
[25-08] "Ok, vecchio, mi piacerebbe rimanere per il barbecue di famiglia, ma prima devo visitare le miniere, ok?"
[26-08] "Ma certo, padre, ma certo."
[27-08] "Padre, eh? Sempre più in alto nella gerarchia... femmi strada, figlio mio."
[28-08] "Certo."
[29-08] "Perchè non dai a me quell'arma...dopo tutto è mia, no?"
[2A-08] "Naturalmente padre, immaginavo che un giorno o l'altro l'avresti rivoluta indietro."
[2B-08] "Benissimo, ora alle miniere."
[2C-08] "Come promesso, il nuovo discendente del Bardo lo condusse alle miniere dei Firbolg. Mi si spezza il cuore nel veder separarsi per sempre dei parenti così prossimi."
[2D-08] "Arrivederci, vecchio... E se posso darti un consiglio, datti all'agricoltura!"
[2E-08] "Addio, Hilde!"
[2F-08] "Dopo questo, il Bardo si addentrò nelle miniere dei Firbolg. Ogni passo lo avvicinava al suo destino, e nello stesso tempo lo allontanava da quel legame speciale che aveva trovato con il suo amato macellaio..."
[30-08] "Alcune volte così odioso!"
[E2-09] "Da questa parte, fratello!"
[E3-09] "Nonnina! Andiamo, Nonnina, sbuccia quelle cipolle, già già."
[E4-09] "Hilde, da questa parte!"
[E5-09] "Oooo! Sento ancora il profumo delle torte di Misty! Il miglior panificio in città!"
[E6-09] "Assomigli molto al trow con cui ho appena finito di parlare..."
[E7-09] "Cosa? Oh, deve essere mio fratello... Ti assicuro che non ci siamo mai visti. Parola d'onore di Trow."
[E8-09] "Questa suona davvero come una contraddizione."
[E9-09] "Signore, mi ferite così."
[EA-09] "Lo vedremo..."
[EB-09] "Devi essere molto coraggioso o molto stupido per vagare in questa città maledetta."
[EC-09] "Non c'è bisogno di quel tono prepotente, ragazzo, sono un tuo amico e un amico è cosa rara in una città dove i morti resuscitano dalle tombe."
[ED-09] "Vuoi un'armatura o vuoi un'armatura? Se vuoi un'armatura io ho un'armatura! Ho delle armature pazze a prezzi follemente bassi!"
[EE-09] "Spade! Mazzafruste! Pugnali! Devi essere fuori di testa se esci da qui senza una delle mie armi da corpo a corpo in mano!"
[EF-09] "Il corpo a corpo non ti va a genio? Devi essere pazzo se non compri uno dei miei archi!"
[2B-0A] "Garret, dove sei stato? Andiamo a casa!"
[2C-0A] "Il vecchio McMorty viveva in questa casa. Si dice che suo figlio era un prescelto, proprio come te."
[2D-0A] "Questo è l'albero da cui sono caduto rompendomi un polso."
[2E-0A] "Ci siamo, Garret. Qui è dove trovai il corpo del vecchio Toradil Jones. Mi vengono i brividi. Non avevo mai visto un cadavere prima. Spero che a te non capiti mai di vederne uno."
[2F-0A] "William, riunisci tutti i tuoi amici. Mangiamo i dolci e poi apriamo i regali."
[DB-0A] "Hatcher è stato ucciso."
[ED-0A] "Padre, come vorrei che tu e il tuo grande arco foste qui a difenderci adesso."
[EE-0A] "Ok zuccherino, ma ricordati il nostro patto. Ogni volta che fai aquisti, devi sfilare per me una volta tornati a casa!"
[EF-0A] "Povera Bessy Mae! Ricordo quando è morta...non c'era abbastanza legno per fargli la bara."
[F0-0A] "E non lasciarti sfuggire questi magnifici saldi!"
[F1-0A] "Io ho finito, tesoro. Ti dispiace se passiamo per le miniere dei Firbolg prima di tornare a casa?"
[24-0B] "Hai qualcosa di appuntito e tagliente?"
[25-0B] "Thorvald il pazzo sa che è importante avere sangue freddo. E per averlo, cosa c'è di meglio di armature di qualità a prezzi bassissimi?"
[26-0B] "Sia che tu debba infilzare un Kunal Trow, sia che tu debba aprirti la strada nella boscaglia, questi oggetti fanno al caso tuo!"
[27-0B] "Beh, sono pazzo, ma non sono stupido. E credo che valga lo stesso per te. Questi oggetti fanno il loro lavoro a distanza. Un lavoro pulito e senza difficoltà."
[29-0B] "Il Colosso è stato migliorato."
[2A-0B] "Il Gouger è stato migliorato."
[2B-0B] "Le miniere dei Firbolg sono ora visibili sulla Mappa del Mondo."
[2D-0B] "Fortuna che non era il tuo collo."
[2E-0B] "Credo che i miei "amici" non siano per niente interessati ai dolci."
[2F-0B] "Davvero? E come è andata a finire?"
[30-0B] "Il Draugr l'ha tagliato come un pomodoro maturo."
[D5-0C] "Non muovo un passo fino a quando il mio William non è di ritorno. E' andato alla ricerca dell'Ascia dell'Ombra nelle Greenlands."
[D6-0C] "Mi spiace dirtelo, ma non credo tornerà. Il mondo sta sprofondando nell'inferno, nel caso tu non l'abbia notato."
[D7-0C] "Ritornerà! Lui è il prescelto."
[E9-0C] "Bentornato da Thorvald il pazzo!"
[EA-0C] "Prezzi pazzi, affari folli da Thorvald il pazzo!"
[EB-0C] "La mancanza di inventario mi sta facendo impazzire! Mi spiace, siamo chiusi... per oggi."
[EC-0C] "I miei prezzi sono speciali quanto i miei articoli!"
[EF-0C] "Torna quando puoi permetterti i miei prezzi follemente bassi."
[48-0E] "E' bell'e morto."
[BC-0E] "William, è la tua fattoria, ora. Qui c'è la chiave... prenditi cura di... Hilde per... me..."
[BD-0E] "Il Bardo era addolorato per la morte del suo caro amico. Talmente addolorato che si dimenticò di raccogliere la chiave caduta dalle mano senza vita di Hatcher."
[44-12] "Mostro di Haggis"
[2A-13] "Aggggh! Mi hanno colpito... figlio mio..."
[2B-13] "Il Bardo combattè valorosamente per proteggere il macellaio dalla orda di Draugr... O per lo meno è quello che avrebbe dovuto fare."
[0A-15] "l'ingresso per la Fattoria di Hatcher"
[18-15] "Il Bardo tornò alle miniere dei Firbolg per scoprire che l'entrata era stata sbarrata. I Firbolg avevano deciso di isolarsi dal mondo esterno e da tutti i suoi problemi."
[56-15] ""
[57-15] ""
[58-15] ""
[9B-15] "Una porta chiusa impediva al Bardo di proseguire. Forse il nostro eroe avrebbe trovato in questo villaggio condannato qualche sopravvissuto in grado di aiutarlo."
[9C-15] "Con Hatcher morto, il Bardo avrebbe dovuto cercare l'entrata delle miniere dei Firbold da solo."
[9D-15] "Il Bardo doveva seguire Hatcher e proteggerlo. Il macellaio impazzito era la chiave per trovare le Miniere dei Firbolg."
