[01-00] "Qui Erik il Vichingo giace, a Valhalla ora combatte, così assai gli piace."
[D5-02] "Già, già, scavare non è proprio il mio forte... posso aiutare in qualche altro modo?"
[D6-02] "Problemi in vista. Vieni con me!"
[D7-02] "Vedo che la mia missione qui è finita. Ora credo che sia giusto parlare di qualche moneta di argento extra per il mio duro lavoro."
[D8-02] "Ne dubito molto, solo una cosa mi interessa più delle monete di argento, e non trovo minimamente attraenti i Firbolg.  Niente di personale."
[D9-02] "Non molte cose mi interessano più delle monete di argento, ma sto ascoltando."
[DA-02] "Una magica spada che canta? Certo. Molto probabilmente è una sorta d'imbroglio, e anche se fosse vero, una spada che canta non è esattamente ciò che mi interessa, non ho bisogno di competizione. Preferisco le monete di argento per piacere."
[DB-02] "Non essere frettoloso, una spada magica suona proprio come qualcosa che fa per me."
[DC-02] "Oh, felice di esserti stato utile. Ora parlando di ricompense..."
[DD-02] "Mi sembri abbastanza familiare. oh dio, sei per caso rimasto intrappolato in altre caverne?"
[DE-02] "Io dico che mi dovete molto di più."
[DF-02] "Vi garantisco che vi state completamente sbagliando."
[E0-02] "Dacci un taglio!"
[E1-02] "Lascio a te dare una svolta negativa a tutto."
[E2-02] "Così come io vivo e respiro, è vero... tu parli! Prego solo che la tua lama sia affilata quanto la tua lingua. Spero mi servirai meglio di quanto hai fatto col tuo precedente padrone."
[E3-02] "Resterai sorpreso su questo, io credo. Ora stai zitto, abbiamo uomini pesce da infilzare!"
[E4-02] "Ho una buona domanda. Perchè i Vichinghi sono tutti così dannatamente brutti?  Voglio dire...è ovviamente ereditario, ma è una mia impressione oppure peggiorano con il tempo?  Ah caro... per quanto riguarda la tua seconda domanda, dirò il mio nome quando avrò saputo il vostro"
[E5-02] "Bhe, sono davvero un semplice viaggiatore, un cantore di poesie e narratore di storie, ora posso chiedere chi sei tu?"
[E6-02] "Odio interrompere ma..."
[E7-02] "Puoi stare un pò zitto?"
[E8-02] "Per favore chidi la bocca."
[E9-02] "Taci una maledetta volta e arriviamo al punto!"
[EA-02] "Interessante."
[EB-02] "Capisco."
[EC-02] "Continua..."
[ED-02] "Affascinante."
[EE-02] "Sei abile ad usare con efficacia le parole... molto meno con i contenuti."
[EF-02] "Sai davvero come ispirare fiducia, non è vero?"
[F0-02] "C'è qualcuno?"
[F1-02] "Chiunque siate fareste meglio ad uscire da là dietro. Se devo preoccuparmi delle persone tendo a diventare molto nervoso... e spesso capita che quelle persone finiscono sotto terra."
[F2-02] "Sto perdendo la mia pazienza! Ho una principessa da salvare e se continui a farmi perdere tempo ti dò in pasto agli uomini pesce!"
[F3-02] "Esci prima che conti fino a 3."
[F4-02] "1...2..."
[F5-02] "Non ho mai voluto farti del male, ma non gradisco quando le persone stanno nascoste."
[F6-02] "Esci amico, non voglio farti del male."
[F7-02] "Non ho visto nessun Vichingo, ma senza dubbio ho visto una grande quantità di uomini pesce."
[F8-02] "Ah già, il Vichingo. Si ho avuto il piacere di incontrarlo. Non sò per quale ragione ma quello ti vuole morto."
[F9-02] "Sarò felice di guidarti fuori da questo posto ma, uhh, come certo sai le buone guide non sono economiche."
[FA-02] "Posso portarti alla scialuppa con la quale sono venuto, seguimi."
[FB-02] "Ecco. Il lavoro sporco è fatto."
[FC-02] "Grazie, ora...non hai una qualche ricompensa per me?"
[FD-02] "Basta con questa storia, raccontami ciò che sai."
[FE-02] "Eravamo un gruppo di lavoratori. Un giorno fummo attaccati da un branco di uomini pesce. Durante la lotta questa galleria crollò e molti dei minatori rimasero intrappolati."
[FF-02] "Adesso non ho tempo di chiacchierare! Stanno terminando l'aria, aiutami a tirali fuori!"
[00-03] "Qui c'erano molti minatori ma ci siamo sparpagliati durante l'attacco. Se riesci a trovarli e portarli qui, potrebbero aiutarmi a scavare. Saprò come ricompensarti se mi darai una mano."
[01-03] "Bah! Che approfittatore... argh... ma non ho scelta. C'erano altri minatori con me ma ci siamo dispersi durante l'attacco. Portateli qui per aiutarmi a scavare. Prendi questo per cominciare e ce ne saranno di più se riusciremo a salvarli."
[02-03] "In realtà, avrei qualcosa che ti può interessare molto più delle monete di argento."
[03-03] "Fai come ti pare, tanto sono certo che una spada magica non è cosa per te."
[04-03] "Abbiamo trovato questa strana spada mentre stavamo scavando, sembra che... ebbene, essa canti."
[05-03] "Ok ragazzi al lavoro. Occorre liberare quelle gallerie verso est."
[06-03] "Dannazione... non siamo stati veloci abbastanza."
[07-03] "Liberiamo le gallerie ad est... ci occorre posto per seppellirli."
[08-03] "Hehe, si l'ho fatto io e voi mi avete nuovamente tirato fuori. Vi devo ringraziare."
[09-03] "Sempre a scherzare, da ciò che vedo. Parli da duro, ma dentro sei un romanticone."
[0A-03] "Non prendermi in giro! Anche se sò che rifiuterai qualunque ricompensa temo di dover insistere."
[0B-03] "Ecco qui. Buona fortuna amico mio!"
[0C-03] "Oh, per amor di Dio, non avete un aspetto molto rassicurante. In realtà, non avete l'aspetto di niente di buono. Spero solo facciate meglio del mio padrone precedente."
[0D-03] "Il mio antico padrone aveva perso la testa! Continuava a ripetere che era l'eletto, se riuscite a credere a queste schiocchezze. In verità voi non sembrate molto meglio."
[0E-03] "Adesso non posso parlare. Sono impegnato a scavare."
[0F-03] "Attenzione qui in giro ci sono gli uomini pesce."
[10-03] "Vattene sono occupato."
[11-03] "Mi servirebbe una pausa."
[12-03] "Ti seguo."
[13-03] "Bello vedere una faccia amichevole. Fai strada."
[14-03] "Andiamo."
[15-03] "Fai strada."
[16-03] "Il Bardo si ritrovò in un luogo senza giorno ne notte, privo del calore del sole, e pregno di un aria che rendeva difficoltoso persino respirare. Dentro a queste gallerie che più si adattano ai Firbolg e agli Uomini pesce il Bardo coraggiosamente procedette a grandi passi, deciso a completare la sua nobile impresa... il rischio di una morte certa lo attendeva dietro ogni angolo... una morte violenta per mano di qualche schifoso mostro sotterraneo."
[17-03] "E così, avendo fallito il salvataggio dei Minatori intrappolati, il Bardo continuò il suo viaggio... mentre i Firbolg seppellivano i loro morti."
[18-03] "Un saggio disse una volta, colui che lotta e scappa, non trova i sui intestini sparsi per terra. Meglio trovare un rifugio sicuro, amico mio."
[19-03] "E poi sono io quello noioso nei discorsi."
[1A-03] "Mentre il Bardo proseguì l'esplorazione delle caverne, la vista di bruciature a terra destò la sua preoccupazione.  Aspetta... non è così vero? Perchè tutto ciò avrebbe dovuto preoccuparlo."
[1B-03] "Ancora una volta, lasciando dietro di se una scia di morte e distruzione, il Bardo continuò ad avanzare verso la torre dell'Isola alla ricerca della bella fanciulla Caleigh. Forse vi state chiedendo cosa gli  passasse per la mente? Al fardello di dover salvare il mondo? Alle vite che ha spezzato? Agli amici che ha perso? Oppure fantasticava su come fosse la principessa senza veli? Sono sicuro che la risposta è penosamente ovvia."
[1C-03] "Solo un momento, straniero. Noto che non sei né un uomo pesce e né un Firbolg.  Chi sei dunque, e soprattutto, che cosa ci fai qui?"
[1D-03] "Mi chiamano Olav. Sono un Vichingo di Stromness, riguardo il perchè mi sono perso qui, è abbastanza ovvio."
[1E-03] "Dopo che i firbolg scavarono fino a qui e trovarono quelle gallerie allagate, io e mio fratello Erik siamo scesi con una guida firbolg. Ora...qual'era il suo nome... vediamo.. era baleock o qualcosa del genere, ma questo non è importante, riparleremo più tardi di quel cane traditore."
[1F-03] "Comunque siamo scesi qui per esplorare, sai...per vedere se c'erano dei tesori da fregare e chissà una bella vena d'oro. Così abbiamo portato un piccola scialuppa con noi, ti ho detto che sono un maestro d'ascia abbastanza decente?"
[20-03] "Bhe quando eravamo più giovani mio fratello era sempre il migliore dei due a costruire le cose, io sono stato sempre bravo a fracassarle, sai già cosa intendo, naturalmente che razza di Vichingo è quello che non sà badare alla sua barca?"
[21-03] "Così passai parecchi anni nello Jordland studiando con il vecchio Skeggi, il più grande dei maestri d'ascia, sicuramente ne hai sentito parlare! Di sicuro è cosi, tutti lo conoscono... era sua la nave Draugrimmer che conduceva la flotta di Kolskegg il sanguinario nelle sue famose incursioni sulla costa nera."
[22-03] "Così stavo dicendo che portiamo la scialuppa qui e mentre navighiamo in queste gallerie ci capita di incontrare un pò di terra ferma. Erik ed io tirammo la scialuppa fuori dall'acqua portandola al riparo dall'altra parte, pronti a rimetterla in acqua quando notammo che mancava il firbolg."
[23-03] "Così andammo a cercarlo, lo sentiamo che ci chiama da uno dei passaggi laterali ad est e ci salta addosso un'orda intera di uomini pesce!"
[24-03] "Gli uomini pesce, come saprai, sono famosi per l'uso della magia, e si da il caso che quand'ero giovane ho appreso un piccolo trucco per affrontare queste cose, sai tutto iniziò quando il vecchio Thorvald l'armiere mi parlò di quest'isola che aveva visto quando non era altro che un ragazzino e mi ha detto: Olav disse, sei il miglior marinaio che abbia mai visto e se qualcuno può andare e trovare quell'isola, quello sei tu."
[25-03] "Naturalmente a questo punto mi gonfiai d'orgoglio perchè Thorvald fù al servizio con alcuni dei migliori grandi marinai, come senza dubbio non devo raccontarti, c'è il grande Bjornulf barba rossa, Arnor Ketilson, Ketil Arnorson, e Ranulf Ildharson tra gli altri."
[26-03] "Cosicchè in ogni caso salpo da quest'isola con mio fratello Erik ti ricordi che ti ho parlato di lui? Poveraccio non ha mai avuto una possibilità contro gli uomini pesce, ho cercato di salvarlo ma era troppo tardi... quel traditore firbolg ci ha fatto cadere in una trappola, ha ucciso mio fratello e mi ha lasciato arenato qui."
[27-03] "Scusa, a volte dimentico che non riesco a stare zitto un minuto, brevemente mi farebbe piacere che uccidessi quel firbolg per me, sta nelle caverne ad est. In cambio, condividerò con te il segreto della dispersione magica. Mi basta semplicemente la prova della sua morte."
[28-03] "E questa è la mia triste storia, non ti fa piangere? Già vedo la terribile angoscia nei tuoi occhi. Sei un bravo ragazzo, lascia parlare un vecchio uomo che non sta zitto un minuto come me. Prendi questa pietra, l'ho trovata qui e a me non serve. E ti dico, se uccidi il firbolg, ti insegnerò come disperdere la magia, può aiutarti a vincere gli uomini pesce. Si nasconde nelle caverne all'est di qui, portami la prova che è morto."
[29-03] "Mi piacerebbe condividere i miei segreti con te ma devi portarmi la prova dell'uccisione del firbolg."
[2A-03] "Bè hai finito con la tua missioncina?"
[2B-03] "Il suo braccialetto, eh? Sì, sì è buona la prova. Stava sempre a vantarsi di quanto grande era suo padre e di come questo era il suo avere più prezioso, non lo avrebbe mai ceduto. Non ho bisogno di questo dannatissimo bracciale, tienitelo."
[2C-03] "La ricompensa? Oh si, si. Ho imparato questo segreto quand'ero giovane... era sull'Isola degli alati..."
[2D-03] "Naturalmente, non serve diventare violenti..."
[1A-07] "AAAAAAHHHHHHHHHH!!!!!"
[C5-09] "È tanto tempo che non riceviamo notizie dagli abitanti di Stromness, mi domando se non gli sia accaduto qualcosa?"
[C6-09] "Abbiamo inviato un messaggero per chiedere ai vichinghi aiuto contro gli uomini pesce, ma non è ritornato."
[C7-09] "Non ho mai voluto veramente essere un minatore, ho sentito che il boscaiolo è molto più divertente."
[C8-09] "Andiamo!"
[C9-09] "Dobbiamo sbrigarci!"
[CA-09] "Sarò proprio dietro di te."
[31-0B] "Brontolone"
[32-0B] "Per favore...vi prego..."
[33-0B] "Sembrava che questo firbolg indifeso avesse un grande bisogno di un eroe coraggioso, il tipo di uomo pronto ad affrontare innumerevoli pericoli per salvare gli innocenti."
[34-0B] "Oh, questa è buona! E dove pensi di trovarlo qualcuno così idiota?"
[35-0B] "Mi stavo riferendo a te!"
[36-0B] "Ho notato di essere più produttivo se mi concentro su una SINGOLA missione per volta. Inoltre, questo firbolg non è proprio il mio tipo."
[37-0B] "Hai mai pensato di andare in terapia?"
[38-0B] "E perchè? Non sento certo delle voci accondiscendenti nella mia testa..."
[39-0B] "Ok, ok, lo salverò, lo salverò, però, questa è l'ultima volta che salvo una persona disgustosa."
[3B-0B] "Ricevi il Simbolo di Falstone."
[3C-0B] "Ricevi i Braccialetti Firbolg."
[3D-0B] "La Guardia del Corpo è stata migliorata."
[3E-0B] "Ricevi la Spada dell'Ego."
[A3-0B] "Non rimane altro che sognare."
[A4-0B] "Spero francamente che state esagerando."
[A5-0B] "Simpatico."
[A6-0B] "Ricordati che l'estremità appuntita va dentro il nemico, babbeo."
[A7-0B] "Questo è semplicemente meraviglioso. Ora chiudi la tua... qualunque cosa sia."
[A8-0B] "E fù così che il Bardo trovò il perfetto corrispettivo della sua affascinante personalità."
[A9-0B] "Bhe, sono una spada bastarda, lo sai."
[41-0E] "Salve. Non sto interrompendo niente, vero?"
[8C-0E] "Posso farcela. Sono il prescelto... Posso facela... Sono il prescelto."
[8D-0E] "Salve. Non sto interrompendo niente, vero?"
[8E-0E] "Chi sei? Non sembri uno di quei Druidi... ti manda Dugan per aiutarmi?"
[8F-0E] "Se mi invia Dungan? Si, in un certo senso... così tu sei il Prescelto?"
[90-0E] "Oh, ne sei al corrente... si io sono il Prescelto!"
[91-0E] "Bhe, forse potresti essere UN prescelto ma non sei \"IL\" Prescelto."
[92-0E] "Il Prescelto, eh? E come mai hai questa convinzione?"
[93-0E] "Che cosa vuoi dire? Tutti mi hanno detto che sono io il Prescelto!"
[94-0E] "Bhe... tutto iniziò a casa, mio Padre era andato a trovare i vicini per..."
[95-0E] "Tuo padre? Vuoi dire che non sei un orfano?"
[96-0E] "Bhe... in realtà sono orfano. Chiamo l'uomo che mi ha allevato Padre... ma tu come lo sai?"
[97-0E] "Ho solo indovinato, continua con la tua storia."
[98-0E] "Quindi lui andò dai vicini ed io andai a cercarlo. Ma mi persi lungo la strada e incontrai questo uomo misterioso fuori nella foresta... fù lui il primo che inizio a parlarmi della principessa e di come io fossi il Prescelto."
[99-0E] "Così qualcuno ti dice che sei il Prescelto e tu gli credi? Non hai per caso notato gli altri prescelti che gironzolano in giro? Quelli scelti-dalla-morte?"
[9A-0E] "Ascolta ragazzo, non sò come hai fatto ad arrivare così lontano ma ho incontrato tanti prescelti finora e tu sei l'unico che ancora è nelle condizioni di parlare. Afferri ciò che voglio dire?"
[9B-0E] "Questo vuol dire che LORO non erano IL vero Prescelto. Sono io il Prescelto e lo dimostrerò."
[9C-0E] "Potrà anche essere difficoltoso, ma se credo in me stesso posso fare qualsiasi cosa. Se credo di essere il Prescelto allora posso adempiere al mio destino e tornare indietro tutto intero."
[9D-0E] "Mi piacerebbe crederlo, davvero."
[9E-0E] "Cattiva scelta prescelto... almeno per te."
[9F-0E] "Puoi fare quello che vuoi, naturalmente, ma se fossi in te non metterei piede in questa sala."
[A0-0E] "Cosa? E perchè no?"
[A1-0E] "Perchè no!? Perchè è una maledetta sala piena di dannata lava, idiota! Non faresti due passi dentro questa sala prima di andare in fiamme e morire di una morte tanto dolorosa quanto inutile."
[A2-0E] "Io... suppongo che tu abbia ragione, ma che cosa dovrei fare? Non riesco ad oltrepassare quegli uomini pesce, sono bloccato."
[A3-0E] "Bhe, aspettami qui, e resta al sicuro, penserò a qualcosa per evitare gli uomini pesce. Dimmi, non avresti qualcosa con te che possa aiutarmi nell'impresa?"
[A4-0E] "Non saprei...  che genere di cosa intendi?"
[A5-0E] "Oh nulla in particolare... uno strano incantesimo trow, una vecchia pergamena, spade magiche... questo genere di cose... dato che non ne avrai più bisogno."
[A6-0E] "Certo... Ho qualcosa del genere. Tieni... Io aspetterò qui, presumo..."
[A7-0E] "Così...se non sono IL prescelto, chi lo è? Forse tu?"
[A8-0E] "Qui non ci sono eletti, ragazzo, ho visto abbastanza del mondo per capire che non ci sono grandi piani per tutto."
[A9-0E] "Ma allora chi salverà la principessa e il mondo?"
[AA-0E] "Mi occuperò io della principessa e del mondo... Bhe, il mondo è grande abbastanza per badare a se stesso."
[AB-0E] "Sono così confuso... Ho bisogno di riflettere."
[6C-13] "Premi [7D-00] per lanciare la zattera."
[84-14] "Una barriera magica sbarrava la strada del nostro Eroe. Se soltanto avesse un mezzo per neutralizzare la magia."
[85-14] "Con la sua Guardia del Corpo capace di assorbire la magia, il Bardo avrebbe dovuto essere in grado di passare la barriera degli uomini pesce con facilità."
[BA-14] ""
[C0-14] ""
[C1-14] ""
[C2-14] ""
[C3-14] ""
[E2-14] "Oh, è una sfortuna esser te.  Un prescelto fra molti cosa nuova non è.  Quando pensi d'esser fortunato na mazzata nelle palle riceverai.  Oh, è una sfortuna esser te.  Ti sei imbattuto in un giovan sicuro di se.  Aumenta l'ansia è il momento di valutar le possibilità.  Provò a chiarir le sue insulse ragioni ma la sua logica senso non ha.  Oh, che sfortuna esser te.  Mai si avvererà la profezia.  In salamoia sarai cotto, tipico di chi ha paura di uno schiocco.  Oh, che sfortuna esser te.  La sua sete di avventur non sè placata.  Una mano di aiuto è tutto quello che avresti provato a prestar.  Il tesoro t'ha attirato e sei finito a esser garbato.  Da probabile fine lo hai salvato.  Oh, che sfortuna esser te.  Non pensar neanche un secondo che non sian vero.  Quando pazzo omicida diventerai vedrai che bastardo sarai.  Che gran sfortuna esser te, davvero una sfortuna e nessuno può dir il contrario, dannatamente garantito è, che sfortuna esser te!  Diddly doo."
[E3-14] "Oh, è una sfortuna esser te.  Un prescelto fra molti cosa nuova non è.  Quando pensi d'esser fortunato na mazzata nelle palle riceverai.  Oh, è una sfortuna esser te.  Ti sei imbattuto in un giovan sicuro di se.  Aumenta l'ansia è il momento di valutar le possibilità.  Provò a chiarir le sue insulse ragioni ma la sua logica senso non ha.  Oh, che sfortuna esser te.  Mai si avvererà la profezia.  In salamoia sarai cotto, tipico di chi ha paura di uno schiocco.  Oh, che sfortuna esser te.  Sentiva veramente d'esser unico. Tesori e avventure egli cercava.  A tutti costi volevan dimostrar che avevi torto e così adesso cantiam questa canzon.  I suoi piani futuri sembran molto squallidi.  Oh, è una sfortuna esser te.  Non pensar neanche un secondo che non sian vero.  Quando pazzo omicida diventerai vedrai che bastardo sarai.  Oh, che gran sfortuna esser te, davvero una sfortuna e nessuno può dir il contrario, dannatamente garantito è, che sfortuna esser te!  Diddly doo."
[1C-15] "Mostro Marino."
[9E-15] "Il Bardo doveva portare ad Olav la prova che il Firbolg non poteva più procuragli dei guai."
[9F-15] "Il Firbolg cercava una uscita dalle miniere mentre il Bardo doveva trovare la prova che il Firbolg non avrebbe più infastidito Olav."
[34-17] "AAAAHHHHHHHHHHH"
[35-17] "AAAAHHHHHHHHHHH"
[3A-17] "YAAAAAAAAAAAY!"
[92-17] "Premi [7D-00] per lanciare la zattera."
