[01-00] "Here lies Erik the Viking, He fights in Valhalla now, Much to his liking."
[14-08] "Don't worry my friend, I won't be staying long, my quest lies elsewhere."
[15-08] "Don't worry my sarcastic friend; my help is something you'll not be getting any time soon."
[16-08] "Oh, a quest!  How exciting! Perhaps I can help you with a magical tune, if you think you're worthy."
[17-08] "I don't think you really want to test my worthiness, in my travels I have bettered many a foe who was stronger than you."
[18-08] "I don't know how worthy I am, but I do know I could use the help.  If you'd be so kind, I can use all the help I can get."
[19-08] "Listen here trow, I've had just about enough of all the double talk today.  If you have something that will help me hand it over."
[1A-08] "I'm sorry if I offended you, my journey has been long and hard.  Look, if you have something that would make it easier for me, it would be most appreciated."
[1B-08] "Sorry, I don't think I can help you, but I'll give you some advice. I have a brother who hangs out near the Kirk. He might be inclined to help a sarcastic lad like yourself.  Now off with you, leave me to my music"
[1C-08] "It'd be my pleasure and honor to help a nice lad such as yourself. Please let me teach you this tune, I hope it'll help you on your journey."
[1D-08] "As the Bard and his best friend, father, brother and husband approached the farm, things were eerily quiet.  Soon however, the Bard witnessed the sight that had driven Hatcher from his farm.  People weren't the only things rising from the dead, and these hacked up animals were quite annoyed at how they had been treated by the butcher. There was a strong case here for a vegetarian lifestyle."
[1E-08] "I have something that will help! Father's old bow! This way brother!"
[1F-08] "Back to brother is it? Better than Hilde I suppose."
[20-08] "Hello, this can't be good. What on earth did you bury here brother?"
[21-08] "Oh my!  That's where I buried all the animal parts I didn't need."
[22-08] "You know, I really don't like the sound of that."
[23-08] "Quite Frankly, I don't like the looks of it either."
[24-08] "Haggis for everyone!"
[25-08] "Ok old man, I'd love to stay for the family barbeque and all, but first I think I need to see the mines, ok?"
[26-08] "Oh of course Father, of course."
[27-08] "Father eh? I'm moving up in the world... lead on my son."
[28-08] "Of course."
[29-08] "How about giving me that weapon you have there, Isn't that mine anyways?"
[2A-08] "Of course father I thought you might want it back some day."
[2B-08] "Great, now to the mines."
[2C-08] "As promised, the Bard's new relative lead him to the Firbolg mines. It brings a tear to the eye that these close family members must part ways forever."
[2D-08] "See you old man... And may I suggest you go into the flower growing business."
[2E-08] "Farewell Hilde!"
[2F-08] "With that, the Bard walked into the Firbolg mines. Each footfall brought him one step closer to his destiny, but one step further from the very special bond he had formed with his beloved butcher."
[30-08] "Sometimes I really hate you!"
[E2-09] "This way brother!"
[E3-09] "Grannie! Come on, Grannie, bust those bunions would ya."
[E4-09] "Hilde, come this way!"
[E5-09] "Oooo! I can still smell Misty's sweet buns! Best bakery in town."
[E6-09] "You look a lot like the trow I just talked to..."
[E7-09] "What? Oh you must mean my brother... I assure you we've never met before, Trow's honor."
[E8-09] "That's a contradiction if ever I heard one."
[E9-09] "Sir, you wound me."
[EA-09] "We'll see about that..."
[EB-09] "I can see that yer either very brave or very stupid to be stumbling around this accursed town."
[EC-09] "No need for such fierce talk lad, I'm yer friend and you could use a friend in this town for the dead be rising from their graves of late."
[ED-09] "You want armor or you want amor? If you want armor I've got armor! I've got crazy armor at insanely low prices!"
[EE-09] "Swords! Flails! Dirks! And you gotta be out of your mind to go out of here without one of my melee weapons at your side!"
[EF-09] "Melee combat not working out for you? Why you would be insane not to consider picking up one of my bows!"
[2B-0A] "Garret where have you been? Let's go home!"
[2C-0A] "Old man McMorty lived in this house. Heard his son was a chosen one, just like you."
[2D-0A] "This is the tree that I fell out of and broke my wrist."
[2E-0A] "This is the spot, Garret. Were I found  the body of ole Toradil Jones. Gives me a shiver. Never seen a real dead body before. Hopefully, you'll never have to."
[2F-0A] "William, gather all your friends for cake and pie, then we'll open gifts."
[DB-0A] "Hatcher has been slain."
[ED-0A] "Papa, I wish you and your mighty bow could defend us right now."
[EE-0A] "Okay love muffin, but remember our deal.  Whatever you buy, you have to model for me when we get home!"
[EF-0A] "Poor Bessy Mae!  I remembered when she died there wasn't enough wood to build her coffin."
[F0-0A] "And miss out on all the glorious sales!"
[F1-0A] "I'm finished sweetheart. Do you mind if we swing by the firbolg mines on the way home?"
[24-0B] "What do you have that's pointy and stabby?"
[25-0B] "Crazy Thorvald understands the importance of keeping one's head. And what better way to do that than with some quality armor at insanely cheap prices!"
[26-0B] "Whether you're looking to cut down Kunal Trow or cutting down hedges these items can do the trick!"
[27-0B] "Well I'm crazy, but I'm not stupid. And I see you're the same. These items will do the deed from a distance. Little mess means easy clean up."
[29-0B] "Behemoth has been upgraded."
[2A-0B] "Gouger has been upgraded."
[2B-0B] "The Firbolg Mines have revealed on the World Map."
[2D-0B] "Aren't we lucky it wasn't your neck."
[2E-0B] "I have a feeling my 'friends' are not interested in cake or pie."
[2F-0B] "Really how did he fair?"
[30-0B] "The Draugr split him like a ripe tomato."
[D5-0C] "I'm not leaving this spot until my boy William returns. He went off to Greenlands after the Shadow Axe."
[D6-0C] "I hate to break it to you but he may not return. The world's going to hell in a handbasket in case you hadn't noticed."
[D7-0C] "He's got to return, he's the chosen one."
[E9-0C] "Welcome back to Crazy Thorvalds!"
[EA-0C] "Insane prices, mad deals at Crazy Thorvalds!"
[EB-0C] "My lack of inventory is making me crazy!  Sorry, we're closed... for the day."
[EC-0C] "We have crazy specials on specialty items!"
[EF-0C] "You come back when you can afford my insanely low prices."
[48-0E] "He's as good as dead."
[BC-0E] "William, its your farm now. Here's the key... take care of... Hilde for...me..."
[BD-0E] "The Bard was overcome with grief at the Death of his dear friend. So overcome in fact that he forgot to pick up the key that dropped from Hatcher's lifeless fingers."
[44-12] "Haggis Monster"
[2A-13] "Aggggh! They got me... Son..."
[2B-13] "The Bard fought valiantly to protect the Butcher from the horde of Draugr... Or at least that's what he should have been doing."
[0A-15] "the gate to Hatcher's Farm"
[18-15] "The Bard returned to the Firbolg Mines to find that the entrance had been blocked. The Firbolgs had decided to seal themselves away from the outside world and all its troubles."
[56-15] ""
[57-15] ""
[58-15] ""
[9B-15] "A locked gate impeded the Bard's progress, perhaps our hero could find survivors in the doomed village who might be able to help him."
[9C-15] "With Hatcher slain, the Bard needed to find the entrance to the Firbolg Mines on his own."
[9D-15] "The Bard needed to follow Hatcher and keep him safe. The crazed butcher was the key to finding the Firbolg Mines."
