[01-00] "Here lies Erik the Viking, He fights in Valhalla now, Much to his liking."
[C6-03] "Hey, as long as I'm waiting around for you wasting my time, can I launder your shirts or resole your shoes?"
[C7-03] "Hey, as long as I'm waiting around for you wasting my time, can I launder your shirts or resole your shoes?"
[C8-03] "Hey, as long as I'm waiting around for you wasting my time, can I launder your shirts or resole your shoes?"
[C9-03] "As long as I'm waiting around for you wasting my time, can I launder your shirts or resole your shoes?"
[CA-03] "I hope you brought me something for waiting around for you all this time."
[CB-03] "I hope you brought me something for waiting around for you all this time."
[CC-03] "I hope you brought me something for waiting around for you all this time."
[CD-03] "I hope you brought me something for waiting around for you all this time."
[CE-03] "How nice to see you again.  I've missed you."
[CF-03] "Aye, and you shall be missing a limb or two if this run around continues."
[D0-03] "Enough to help me?"
[D1-03] "As I am fond of all my appendages, then I guess I can help you get where you need to go."
[D2-03] "Of course not. Have a nice day."
[D3-03] "Are you enjoying our fair town?"
[D4-03] "No actually. I'd like to register a complaint, with my sword."
[D5-03] "I'm sure seeing enough of it.  Care to show me more?"
[D6-03] "Hmmm, I see. Well my friend, let me take you to the complaint department."
[D7-03] "I'm sorry, tours are only twice weekly.  Come back tomorrow."
[D8-03] "Oh you again. You must be fond of punishment."
[D9-03] "Actually, I'm more fond of dispensing it.  Should I start with you?"
[DA-03] "Not particularly. What I would be fond of is a straight answer."
[DB-03] "It's about time you stood up to me. Come on my friend, I'll take you where you need to go."
[DC-03] "As soon as I have one you'll be the first to know.  Move along."
[DD-03] "Still haven't figured things out I see. Are you always this slow?"
[DE-03] "That depends on how painful I want your death to be, and a slow death seems very appropriate at the moment."
[DF-03] "On days like this, yes. Maybe you will be kind enough to help speed things up."
[E0-03] "I see, torture or help seem to be my only two options.  Since I can handle humiliation better than pain, I'll help you."
[E1-03] "Of course. And maybe someday people will be able to fly. Good day, stranger."
[E2-03] "Do unto others as they do unto you seemed like an appropriate code for our hero to live by."
[E3-03] "Don't you know that nice guys finish last?"
[E4-03] "What about nice guys with big swords and short tempers?"
[E5-03] "Won't you please help me?"
[E6-03] "That's more like it!  I'll be happy to help you."
[E7-03] "Sorry but no."
[E8-03] "You again?  Let me spell it out for you, I'm not going to help another loser who can't stand up for himself."
[E9-03] "How about I beat you senseless just for my own amusement?"
[EA-03] "I was told you would help me."
[EB-03] "That's more like it! Let's go find Bodb."
[EC-03] "I'm not responsible for what you were told, you really are pathetic aren't you?"
[ED-03] "You're never going to figure out why we're giving you the run around are you? Persistance does count for something I suppose, let's go."
[EE-03] "We were trying to toughen you up, but clearly it's not working... let's go."
[EF-03] "Well why wasn't I invited to the party?"
[F0-03] "Well why wasn't I invited to the party?"
[F1-03] "Well why wasn't I invited to the party?"
[F2-03] "Well why wasn't I invited to the party?"
[F3-03] "Believe me, this is no party. I've no more patience with any of you."
[F4-03] "Well that's a shame, without the four of us, I'm afraid you can't be helped."
[F5-03] "Well that's a shame, without the four of us, I'm afraid you can't be helped."
[F6-03] "Well that's a shame, without the four of us, I'm afraid you can't be helped."
[F7-03] "Well that's a shame, without the four of us, I'm afraid you can't be helped."
[F8-03] "Like I always say, the more the merrier. What's one more Bodb gonna hurt. Come along."
[F9-03] "The Bard and the four Bodb's ventured forth. How quickly the rude are attracted to the rude."
[FA-03] "Though it had taken longer than expected, the Bard and the four Bodb's ventured forth. A prime example of the rude leading the rude."
[FB-03] "Though it had taken longer than expected, much much longer than expected. The Bard and the four Bodb's ventured forth. A prime example of the rude leading the rude."
[FC-03] "Once you're inside, work yourself through the maze until you find four barrels. Behind those barrels is a passage that will lead you atop the bluff.  There you'll meet a very good friend of ours who'll show you the way."
[FD-03] "Why do I have the feeling that this little run-around is far from over?"
[FE-03] "Believe us my friend, there is a method to our madness."
[FF-03] "I'm sure there is, but no reason to take me down with you."
[00-04] "After stumbling around in the dark, and with the help of his newfound companion, our hero found the secret passage to the top of the bluff."
[01-04] "I've been expecting you.  Allow me to introduce myself.  My name is..."
[02-04] "I must say your future will become very bleak if you say Bodb right now."
[03-04] "As you wish. Far be it for me to shorten my own future."
[04-04] "Just tell me, are you the one I seek?  And I emphasize the word the."
[05-04] "I am he whom you seek. For safety sake, you may call me... well... whatever you'd like actually."
[06-04] "Then I'll call you homely, for that's an apt description."
[07-04] "As you wish. I'll even dance if it keeps that sword out of my belly."
[08-04] "I've seen enough song and dance for one day.  So Homely, why have I been summoned to this armpit of a town."
[09-04] "You've not been summoned my friend, you have been chosen. Quite an honor I might add, for only the strongest and most courageous in all the land would have been chosen by the beautiful Princess Caleigh."
[0A-04] "Beautiful Princess? Let's hear more."
[0B-04] "Aye Princess Caleigh is the lovliest lass in all the land. It makes me weep to think of her plight."
[0C-04] "If you tell me that I've been chosen again, I'll run you through. Now, without using the \"C\" word, explain what the hell you're on about."
[0D-04] "Errmm... Yes, well... as I was saying, you were... asked to come here by the fair Princess Caleigh, the good lord bless her."
[0E-04] "Continue... not that I know where this is going."
[0F-04] "Our fair princess is being held captive atop an ancient tower. Dark forces keep her locked away in a mystical prison. Only she..."
[10-04] "Sigh. Why does this always happen to me? Oh go ahead and spit it out, for God's sake."
[11-04] "How did you know? That's astonishing!"
[12-04] "Let me guess... only she can defeat the evil? Always a tower isn't it? Nobody's ever held at ground level anymore."
[13-04] "I... that is... well, you pretty much covered it."
[14-04] "Yeah, yeah only she can defeat the evil. Please, oh please, could you risk your neck to save her? Blah, blah, blah...etcetera, etcetera. I've heard it all before. That all you've got?"
[15-04] "Wait! Did I mention that she's as rich as she is beautiful?"
[16-04] "Sorry friend, not interested, these princess rescues always turn sour. The last princess I tried to rescue... well let's just say the ogre was dying to give her back."
[17-04] "With visions of coin, cleavage, and carnage jiggling in his head, the Bard and his new found friend head off to be in the presence of the mysterious Princess Caleigh."
[18-04] "Here we are my friend."
[19-04] "I see no tower here. I thought you were taking me to see this princess."
[1A-04] "Aye, and you shall speak with her, just not in the flesh."
[1B-04] "But eventually I do see flesh, right?"
[1C-04] "In due time my impatient friend. In due time."
[1D-04] "You remember my brothers?"
[1E-04] "Yes, but I'm so bad with names."
[1F-04] "Bodb!"
[20-04] "Bodb!"
[21-04] "Bodb!"
[22-04] "Bodb!"
[23-04] "Now I remember. Can we get on with this? If I don't see this princess soon, believe me Bodbs will roll."
[24-04] "As you wish.  As I mentioned to you before, Princess Caleigh is in an impenetrable tower."
[25-04] "I don't remember you mentioning the word impenetrable."
[26-04] "I didn't? Well, that's because it's only impenetrable to the likes of us. A strapping fellow such as yourself should have no problem."
[27-04] "Nice try. Go on."
[28-04] "The only way we can communicate with our beloved princess is by summoning an image of her, we have this ritual that..."
[29-04] "Enough words, let's see some action, some action."
[2A-04] "Very well. Are we ready my friends?"
[2B-04] "If this were a stage, I'd boo you off."
[2C-04] "Now Bodb... The bell!"
[2D-04] "Bodb!  Now or we'll lose her!"
[2E-04] "RING IT!!  NOW!!"
[2F-04] "Ding?"
[30-04] "Was that her? She looked familiar."
[31-04] "Where's the bell?"
[32-04] "Was that princess Calico?"
[33-04] "Caleigh. Bodb, the bell?"
[34-04] "I don't exactly have it."
[35-04] "She's the one who appears when I use this pendant."
[36-04] "Who does exactly have it?"
[37-04] "Farmer Finn."
[38-04] "So she's the Princess... And she's rich you say?"
[39-04] "Gambling again?"
[3A-04] "I'm sorry, I'm weak when it comes to temptation."
[3B-04] "Join the club. Who needs the stinking bell. Can't I just go and rescue her?  I could leave right now. Do you have a fast horse?"
[3C-04] "I'm afraid a rescue is impossible without information which only the princess can provide."
[3D-04] "Well I can summon her right now, she comes when I use this pendant."
[3E-04] "Aye let me see that... hmmmm it is as I thought. Where did you get this?"
[3F-04] "From the guy that sent me to you."
[40-04] "This pendant contains a  portion of her magical essence, a little bit of her spirit if you will. It'll invoke her power but does not allow for communication."
[41-04] "All right, so point me in the direction of this Farmer.  If I can't buy it back, I can find a way to con it out of him."
[42-04] "I obviously can't trust Bodb to go get it. But you must hurry, time is an issue. Get that bell, and bring it back here as soon as you can."
[43-04] "Then I can go get the princess, right?  No more run around."
[44-04] "Aye, and she'll repay you many times over."
[45-04] "And in many ways I hope.  I'll be back before you know it."
[46-04] "Our smitten Bard was on his way to see the farmer, with luck at his side and images in his head of the princess doing things I dare not mention."
[47-04] "Get off my land you filthy vagrant! You're not welcome here!"
[48-04] "No need for the crossbow old man, I'm just passing through."
[49-04] "Did Conner send you?  If so you tell him that I'll get him his money and the wedding is still off. My daughter doesn't want anything to do with him. You go back and tell him that!"
[4A-04] "I don't know any Conner. Now, why don't you just put down the crossbow and we can talk like civilized people."
[4B-04] "Get off my land now you wretched dog!"
[4C-04] "Hey watch out old man you might hit me!"
[4D-04] "Get off my land!"
[4E-04] "Oh perfect, Farmer Trigger Happy.  Well, I'm sure he's had a chance to cool down."
[4F-04] "I thought I told you to get off my land you filthy vagrant!"
[50-04] "Don't burst a blood vessel old man, I was sent here to reclaim an important artifact."
[51-04] "Ther're no artifacts on this land you idiot, mostly just chickens.  Did Conner send you? If so you can tell him that I'll get him his money and the wedding is still off. My daughter doesn't want anything to do with him. You go back and tell him that!"
[52-04] "I don't know any Conner and you're a bitter old coot aren't you?"
[53-04] "You have until I count to ten.  1, 2, 3, 4...uh, 5,......6....7.....8..."
[54-04] "Damn, where was I?"
[55-04] "3"
[56-04] "Right, 3.   3.......4....uh, 5,......6...7....8..."
[57-04] "The Farmer fortunately for the bard and much to my consternation had a difficult time reaching 10."
[58-04] "No no, keep goin, I have all day. But don't strain yourself; I can't have you passing out from exhaustion before I get what I want out of you."
[59-04] "I don't mean to trespass, I was sent here by Bodb, don't ask which one, to reacquire a bell that he had lost to you gambling."
[5A-04] "That is quite disrespectful stranger... I like it!  I haven't heard any wit in these parts since...well must have been the fourth year of the second age... Old man McGilicutty's great nephew Kyle, was he that tried it. Don't think it worked out that well for him though if my memory serves me..."
[5B-04] "Which at your age I hardly doubt."
[5C-04] ".. ..still, it has been a long time."
[5D-04] "I'll try to be brief so you won't forget. I'm here for the Bell you won from Bodb."
[5E-04] "I'm trying to get my hands on the bell that Bodb, don't ask which one, lost to you gambling. Do you have it by any chance?"
[5F-04] "You really are a nasty fellow aren't you."
[60-04] "Nasty? I thought I was on my best behavior. I don't get nasty until after I get what I want."
[61-04] "I am sorry old man, I don't mean to be nasty, I just want to get my hands on the bell that Bodb lost to you gambling.  Do you have it?"
[62-04] "I like you son, you're just as ornery as I am. That is refreshing.  I'll tell you what, since you cheered me up I'll just give you the bell you're after.  What d'ya think about that?"
[63-04] "There must be a catch."
[64-04] "Not too trusting eh?  I really do mean it, you can just take the bell, just don't tell Conner I gave it to you.  I don't want word to get out that I'm being generous, especially when I owe so much money."
[65-04] "Conner?"
[66-04] "Yeah, he wiped me out so badly gambling...  I had to trade him my daughter's hand in marriage to get out of debt."
[67-04] "That bell you're after, it's not for sale, but maybe there's something you can do for me and I could offer you the bell as payment."
[68-04] "Sure old man. What do you need, some chickens milked?  Some Cows plucked?"
[69-04] "Not quite, come with me."
[6A-04] "These pesky crows are eating all my crops,  if you can rid me of 'em, you walk away with the bell."
[6B-04] "That's it, birds?  Killing a few birds will square things up. Too easy old man, where's the catch?"
[6C-04] "You want the bell, kill the birds.  I'm old, time is precious.  Do we have a deal or not?"
[6D-04] "It's difficult to associate you with the word precious, but yes, we do have a deal."
[6E-04] "Good luck.  Meet me by the house when you're done."
[6F-04] "Talk about wasting my talents. You summoned me for this?"
[70-04] "Now we're talking! A real fight!"
[71-04] "So if I kill the Farmer, it's not as much a sin as it is a mercy killing. He's gonna most likely die any minute now anyways."
[72-04] "Any problem with the crows?"
[73-04] "No, but a heads-up on the scarecrows would have been nice."
[74-04] "Troublesome lot, aren't they.  Not only do they attract crows, but every time I tried to get rid of them, they took out half my crop. Last time I buy a scarecrow from a Trow."
[75-04] "That was more work than I figured, but I guess a trade is better than being in debt."
[76-04] "You said it!  Conner wiped me out so badly playing cards... that I had to trade him my daughter's hand in marriage to get out of debt."
[77-04] "I knew you were a despicable old man  but your own daughter to get out of debt, that's a nice twist."
[78-04] "You've got that right, but she ruined it by falling for some loser, now the wedding is off.  I feel sorry for Conner."
[79-04] "I feel sorry for the loser, but back to things that I actually care about.  If you hand over the bell now, we can finally be done with one other."
[7A-04] "The bell is yours. A deal's a deal."
[7B-04] "Tell your daughter I'm sorry I can't attend the wedding."
[7C-04] "Wedding, did I hear someone say Wedding?"
[7D-04] "Shoot him where he stands. You have some nerve burrowing your way onto our land, you scum."
[7E-04] "I see you've met my daughter."
[7F-04] "Uh oh."
[80-04] "This is the swine's behind I told you about."
[81-04] "I see you have your fathers wit. No wonder you traded her."
[82-04] "Daddy, this snake took advantage of me, then took off the next morning. You promised me marriage, and you broke my heart!"
[83-04] "Listen, lass..."
[84-04] "I believe our business is done here."
[85-04] "Couldn't agree with you more old man. And as I always say, if you just hand over the bell I'll be on my way."
[86-04] "One... Two..."
[87-04] "Please don't count again."
[88-04] "As you wish."
[89-04] "You hit my instrument!"
[8A-04] "Not the one I was aiming for. Now be gone with you and don't come back until you've made my daughter happy!"
[8B-04] "Our hero had once again been bitten in the behind due to his disrespect for women. Would he ever learn?"
[8C-04] "Who asked you? I obviously have two options here. Marry her, or find some poor fool to take my place.  Hmmm, let's make that one option.  I'll have to have a heart to heart with this Conner fellow."
[8D-04] "You've returned to me my love. Daddy, this is the man I was telling you about. We're getting married."
[8E-04] "Well welcome to the family... Loser."
[8F-04] "Thanks... Dad."
[90-04] "Would you like seven children, or an even eight? I think eight is enough for me. We'll be so happy together. And just think, someday this will all be yours."
[91-04] "Kinda brings a tear to your eye. Well, Dad, how about that bell?"
[92-04] "You're a cut-through-the-manure kinda guy, I see."
[93-04] "That's me."
[94-04] "You and I we think alike."
[95-04] "Like two Peas in a pod."
[96-04] "That's why I insist I give you the bell... on my daughters' wedding day."
[97-04] "I earned that bell fair and square."
[98-04] "Well It's all in the family now my son. To be honest, I'm glad it's you and not that good-for-nothing Conner. He hasn't the wit god gave my horse."
[99-04] "A wise man knows when he's beat. Let me go into town and spread the joyous news of our upcoming nuptials."
[9A-04] "Think of me while you're away beloved."
[9B-04] "Believe me, you're embedded in my brain. I just can't get you out of there. Until next time my love... Dad."
[9C-04] "Oh I know you'll be back."
[9D-04] "I can't wait to hear those wedding bell.."
[9E-04] "The Bard found himself engaged to none other than the farmer's daughter. It seemed our little hero was growing up. Get me a tissue."
[9F-04] "Who asked you? I obviously have two options here. Marry her, or find some poor fool to take my place.  Hmmm, let's make that one option. I'll have to have a heart to heart with this Conner fellow."
[A0-04] "Who the hell are you, get out of here. Leave me alone to wallow in sorrow."
[A1-04] "Sorry, I didn't know this was the ladies room."
[A2-04] "Please, please leave me alone. Try not to step on my heart on your way out."
[A3-04] "Don't you have the decency to leave a man alone with his sorrow?  Get out of here!"
[A4-04] "Unless you have a rope with you, you do me no good by being here. Leave me be!"
[A5-04] "Why must you continue to torture an already tortured soul?"
[A6-04] ""
[A7-04] "Let me guess, you're Conner..."
[A8-04] "How did you know?  Oh who am I kidding?  All of Kirkwall knows what a fool I am. Lend me your sword."
[A9-04] "My friend, no woman is worth taking your life over."
[AA-04] "What do you know of such matters?"
[AB-04] "I'd be afraid to lend my weapon to an oaf like you, you might snap off the blade while you're trying to stab yourself."
[AC-04] "How can she be longing for me when she dumped me for some low-life scoundrel?"
[AD-04] "I know the look of lost love because I recently came upon a woman suffering from that very affliction. It was Old Finn's daughter and she was pining for you."
[AE-04] "Not 'till the wedding night..."
[AF-04] "Low-life? I heard he's quite the stallion actually, but that's beside the point. You need to learn the way a woman works my friend."
[B0-04] "What kind of guy do you think I am?  I could never hit a girl."
[B1-04] "That's an image I didn't need in my head. What I mean is, she only dumped you for this guy so you would fight for her."
[B2-04] "You think?"
[B3-04] "Let me try again... And a little slower. A woman wants a man to chase after her, prove his love to her, and not take no for an answer.  She already loves you. You just need to show her that no man will stand between you."
[B4-04] "You know, you're right!"
[B5-04] "One of us has to. Now get out there and fight for her. Show her that no  man will stand in your way, no matter how impressive he is."
[B6-04] "I don't know who you are but you have a big mouth."
[B7-04] "Now go Conner, go and tell her you love her. Offer to marry her and don't take no for an answer!"
[B8-04] "You! I'll get you for that!"
[B9-04] "That's not all I have... y'see I'm the one who stole your woman away from you!"
[BA-04] "I'll do for you this time!"
[BB-04] "Ready to clean my boots with your face again?"
[BC-04] "Whatever you say love."
[BD-04] "I've had enough! I yield!"
[BE-04] "Nobody lies about my lady and gets away with it Bard."
[BF-04] "The Bard, hoping that his ploy had worked returned to Farmer Finn to find out if he could finally reclaim the bell."
[C0-04] "A rat! Someone do something!"
[C1-04] "Have no fear lass, a simple rat is no match for me!"
[C2-04] "Thank you kindly sir. Here's a little reward from me and the tavern."
[C3-04] "I've made your daughter happy Grandpa, so hand over the bell."
[C4-04] "I don't know how you did it son. I owe you thanks for getting her out of my hair."
[C5-04] "What's left of it."
[C6-04] "I'll miss these pleasant chats of ours. The bell is yours for the taking. There's an old horse out in the pasture, the bell is around his neck. Good luck."
[C7-04] "You chase the old nag around the pasture and grab the bell, and I won't slaughter all your chickens. How's that?"
[C8-04] "Well, me chasing that nag will do neither of us any good.  I'll drop dead, and you still won't have the bell."
[C9-04] "As much as I'd like that, I do need the bell."
[CA-04] "That old horse is possibly the meanest, nastiest creature I've ever known present company included. I put that bell on him so that I could hear him coming and get away as far as possible. If you get the bell off that horse you be sure and thank Bodb for providing a poor old man such amusement."
[CB-04] "Which one?"
[CC-04] "There's more than one?"
[CD-04] "Never mind."
[CE-04] "I see you're just as good with animals as you are with people..."
[CF-04] "He started it and I have the hoof marks to prove it..."
[D0-04] "Need help burying your horse?"
[D1-04] "Shh...don't call it my horse, I've never seen this animal before!  If the town elders see that you spilled the blood of my horse here we'll be stoned. They used to use this site for executions and sacrifices, back when we still did that sort of thing. I'm not about to be here when they decide to start again!"
