[00-00] "!MissingString!"
[BC-09] "Trow Sword"
[BD-09] "Trow Spear"
[BE-09] "Wolf Pelt"
[BF-09] "the door"
[C0-09] "highland coo"
[C1-09] "Culainn"
[C2-09] "Bannock"
[C3-09] "Olav"
[C4-09] "the firbolg miner"
[CB-09] "the firbolg miner"
[CC-09] "the firbolg miner"
[CD-09] "the firbolg miner"
[CE-09] "the firbolg miner"
[CF-09] "the firbolg miner"
[D0-09] "the firbolg miner"
[D1-09] "the farmer's daughter"
[D2-09] "Bodb"
[D3-09] "Bodb"
[D4-09] "Bodb"
[D5-09] "Bodb"
[D6-09] "Bodb"
[D7-09] "Conner"
[D8-09] "Farmer Finn"
[D9-09] "the snobby shop keeper"
[DA-09] "Caleigh"
[DB-09] "the switch"
[DC-09] "Press [7D-00] to pull [02-26]."
[DD-09] "Drott"
[DE-09] "Gauk"
[DF-09] "Hatcher"
[E0-09] "the trow"
[E1-09] "Crazy Thorvald"
[F0-09] "Gregor"
[F1-09] "Dirk"
[F2-09] "Silkbeard"
[F3-09] "the viking"
[F4-09] "the viking"
[F5-09] "the bar patron"
[F6-09] "the bar patron"
[F7-09] "the bar patron"
[F8-09] "The Village Elder"
[F9-09] "the kid"
[FA-09] "Herne"
[FC-09] "the archer"
[FD-09] "the archer"
[FE-09] "the archer"
[FF-09] "the archer"
[01-0A] "Press [7D-00] to leave [26-26]."
[02-0A] "the bar"
[03-0A] "Press [7D-00] to enter [26-26]."
[04-0A] "This is the tale of the Nuckelavee..."
[05-0A] "Press [7D-00] to listen to [3A-26]."
[07-0A] "Chainmail"
[08-0A] "Scalemail"
[09-0A] "Scathach's Mail"
[0A-0A] "White Bronze Chain Mail"
[0B-0A] "Kite Shield"
[0C-0A] "White Bronze Targ Shield"
[0D-0A] "Finn's Lute"
[2A-0A] "the refugee"
[34-0A] "Ancient Flute"
[35-0A] "White Bronze Scale Mail"
[36-0A] "White Bronze Kite Shield"
[4D-0A] "Piskey"
[4E-0A] "Chubnik"
[4F-0A] "Fnarf"
[50-0A] "Ogan"
[51-0A] "Mackray"
[52-0A] "MacRath"
[53-0A] "cross river with"
[54-0A] "Press [7D-00] to level up."
[55-0A] "Press [7D-00] to cross [02-26]."
[56-0A] "the barrel"
[57-0A] "the river"
[58-0A] "Neversdale"
[59-0A] "Greenlands, Northern Plains"
[5A-0A] "MacRath's Dungeon"
[5B-0A] "Dounby Interior"
[5C-0A] "East Dounby"
[5D-0A] "Finn's Forest"
[5E-0A] "Finstown"
[5F-0A] "Island Tower"
[60-0A] "Island Tower, Level 1"
[61-0A] "Island Tower, Level 2"
[62-0A] "the store"
[63-0A] "the broch"
[64-0A] "the well"
[66-0A] "Ochain"
[6F-0A] "Silkbeard's Headquarters"
[70-0A] "The Finstown Armory"
[78-0A] "Silver"
[80-0A] "Rabbit's Foot"
[81-0A] "Silver Horseshoe"
[82-0A] "Four Leaf Clover"
[83-0A] "Badger Hide Gloves"
[84-0A] "Belt of the Oak"
[85-0A] "Firbolg Armbands"
[86-0A] "Badge of the Wind"
[87-0A] "Boots of Quickening"
[88-0A] "Lightningstone"
[89-0A] "Silver Torc"
[8A-0A] "Golden Coronet"
[8B-0A] "Mantle of Ossian"
[8C-0A] "Findruine Charm"
[8D-0A] "Fae Locket"
[8E-0A] "Phial of Medb"
[8F-0A] "Eagle Charm"
[90-0A] "Ring of Tara"
[91-0A] "Cormac's Chalice"
[92-0A] "Mercenary"
[93-0A] "Knight"
[94-0A] "Heroine"
[95-0A] "Brute"
[96-0A] "Elemental"
[97-0A] "Behemoth"
[98-0A] "Thunder Spider"
[99-0A] "Knocker"
[9A-0A] "Crone"
[9B-0A] "Enchantress"
[9C-0A] "BodyGuard"
[9D-0A] "Rogue"
[9E-0A] "Explorer"
[9F-0A] "Gouger"
[A0-0A] "Light Fairy"
[A8-0A] "Mell"
[A9-0A] "OrnateLute"
[AA-0A] "Dugan"
[B5-0A] "Shadow Axe"
[B6-0A] "the zombie"
[B7-0A] "Adder Stone"
[B8-0A] "What are you Selling?"
[B9-0A] "See you old man."
[BA-0A] "I'm out of here."
[BB-0A] "Talk armor to me."
[BC-0A] "I need a murder weapon."
[BD-0A] "Bows?"
[BE-0A] "What have we here?"
[BF-0A] "I'll take it."
[C0-0A] "Armor"
[C1-0A] "Weapons"
[C2-0A] "Bows"
[C3-0A] "Other"
[C4-0A] "Repeat"
[C5-0A] "Back"
[C6-0A] "Exit"
[C7-0A] "Leather Armor"
[C8-0A] "Studded Leather"
[D9-0A] "Buy"
[DA-0A] "Select"
[DC-0A] "the kirk"
[DD-0A] "the sheriff's office"
[DE-0A] "Magic Bell"
[DF-0A] "Whatever."
[E0-0A] "Save it."
[E1-0A] "Who cares?"
[E2-0A] "Interesting."
[E3-0A] "I see."
[E4-0A] "You don't say?"
[E5-0A] "Junk."
[E6-0A] "Worthless."
[E7-0A] "Hmph."
[E8-0A] "Nice."
[E9-0A] "Decent."
[EA-0A] "Say something."
[F2-0A] "I'd buy this if I had the money."
[F3-0A] "I can't afford this."
[F4-0A] "This is out of my price range."
[F5-0A] "Armor of Llyr"
[F6-0A] "Forged by the Firbolg from blood granite."
[F7-0A] "A map to untold riches and untold danger."
[F8-0A] ","
[F9-0A] "Damage"
[FA-0A] "Poison"
[FB-0A] "Life Drain"
[FC-0A] "Stunning Blow"
[FD-0A] "Time Remaining"
[FE-0A] "Air Remaining"
[FF-0A] "Dig Progress"
[00-0B] "Magic Aura"
[01-0B] "Mana Burst"
[02-0B] "Sonic Slam"
[03-0B] "Electric Blade"
[04-0B] "Lightning Storm"
[05-0B] "Fire Arrows"
[06-0B] "Exploding Arrows"
[07-0B] "Dragon Arrows"
[08-0B] "Healing Shield"
[09-0B] "Life Drain heals wielder by half the damage inflicted on enemy."
[0A-0B] "Padded Armor"
[0B-0B] "Oak Leaf Armor"
[0C-0B] "Buckler"
[0D-0B] "Targ Shield"
[0E-0B] "Dubgilla"
[0F-0B] "Ego Sword"
[10-0B] "Replaces"
[11-0B] "Seconds"
[12-0B] "Chance"
[13-0B] "Lute"
[14-0B] "Harp"
[15-0B] "Jeweled Flute"
[16-0B] "Silver Harp"
[17-0B] "Harp of Ages"
[18-0B] "Gnimh's Flute"
[19-0B] "Ossian's Lute"
[1C-0B] "the mountain pass"
[1D-0B] "the frozen tombs"
[1E-0B] "the burial chambers"
[1F-0B] "the firbolg mines"
[20-0B] "the underground river"
[21-0B] "Finfolk Caverns"
[22-0B] "the ice chunk"
[23-0B] "the raft"
[28-0B] "Come again?"
[2C-0B] "the barrel maker"
[31-0B] "Grouse"
[3A-0B] "Firbolg Armbands"
[42-0B] "Mell's Fear Factor"
[43-0B] "Light Fairy has been upgraded."
[44-0B] "Maeve"
[45-0B] "Slevin"
[46-0B] "Mackay"
[48-0B] "Fear Strike"
[49-0B] "Forest Tower, Level 2"
[4A-0B] "Forest Tower, Level 3"
[53-0B] "the lever"
[58-0B] "This door seems to be locked."
[5A-0B] "Caitir"
[5B-0B] "The Aiken Drum"
[5C-0B] "West Dounby"
[77-0B] "the torch"
[78-0B] "Press [7D-00] to light [02-26]."
[C0-0B] "I heard that!"
[EA-0B] "William"
[EB-0B] ""
[EC-0B] ""
[ED-0B] ""
[EE-0B] ""
[EF-0B] ""
[F0-0B] ""
[F1-0B] ""
[F2-0B] ""
[F3-0B] ""
[F4-0B] ""
[F5-0B] ""
[F6-0B] ""
[F7-0B] ""
[F8-0B] ""
[F9-0B] ""
[FA-0B] ""
[FB-0B] ""
[FC-0B] ""
[FD-0B] ""
[FE-0B] ""
[FF-0B] ""
[00-0C] ""
[01-0C] ""
[02-0C] ""
[03-0C] ""
[04-0C] ""
[05-0C] ""
[06-0C] ""
[07-0C] ""
[08-0C] ""
[09-0C] ""
[0A-0C] ""
[0B-0C] ""
[0C-0C] ""
[0D-0C] ""
[0E-0C] ""
[0F-0C] ""
[10-0C] ""
[11-0C] ""
[12-0C] ""
[13-0C] ""
[14-0C] ""
[15-0C] ""
[16-0C] ""
[17-0C] ""
[18-0C] ""
[19-0C] ""
[1A-0C] ""
[1B-0C] ""
[1C-0C] ""
[1D-0C] ""
[1E-0C] ""
[1F-0C] ""
[20-0C] ""
[21-0C] ""
[22-0C] ""
[23-0C] ""
[24-0C] ""
[25-0C] ""
[26-0C] ""
[27-0C] ""
[28-0C] ""
[29-0C] ""
[2A-0C] ""
[2B-0C] ""
[2C-0C] ""
[2D-0C] ""
[2E-0C] ""
[2F-0C] ""
[30-0C] ""
[31-0C] ""
[32-0C] ""
[33-0C] ""
[34-0C] ""
[35-0C] ""
[36-0C] ""
[37-0C] ""
[38-0C] ""
[39-0C] ""
[3A-0C] ""
[3B-0C] ""
[3C-0C] ""
[3D-0C] ""
[3E-0C] ""
[3F-0C] ""
[40-0C] ""
[41-0C] ""
[42-0C] ""
[43-0C] ""
[44-0C] ""
[45-0C] ""
[46-0C] ""
[47-0C] ""
[48-0C] ""
[49-0C] ""
[4A-0C] ""
[4B-0C] ""
[4C-0C] ""
[4D-0C] ""
[4E-0C] ""
[4F-0C] ""
[50-0C] ""
[51-0C] ""
[52-0C] ""
[53-0C] ""
[54-0C] ""
[55-0C] ""
[56-0C] ""
[57-0C] ""
[58-0C] ""
[59-0C] ""
[5A-0C] ""
[5B-0C] ""
[5C-0C] ""
[5D-0C] ""
[5E-0C] ""
[5F-0C] ""
[60-0C] ""
[61-0C] ""
[62-0C] ""
[63-0C] ""
[64-0C] ""
[65-0C] ""
[66-0C] ""
[67-0C] ""
[68-0C] ""
[69-0C] ""
[6A-0C] ""
[6B-0C] ""
[6C-0C] ""
[6D-0C] ""
[6E-0C] ""
[6F-0C] ""
[70-0C] ""
[71-0C] ""
[72-0C] ""
[73-0C] ""
[74-0C] ""
[75-0C] ""
[76-0C] ""
[77-0C] ""
[78-0C] ""
[79-0C] ""
[7A-0C] ""
[7B-0C] ""
[7C-0C] ""
[7D-0C] ""
[7E-0C] ""
[7F-0C] ""
[80-0C] ""
[81-0C] ""
[82-0C] ""
[83-0C] ""
[84-0C] ""
[85-0C] ""
[86-0C] ""
[87-0C] ""
[88-0C] ""
[89-0C] ""
[8A-0C] ""
[AF-0C] "the grave stone"
[B0-0C] "Press [7D-00] to look at [02-26]."
[35-0D] "Stromness has been revealed on the World Map."
[36-0D] "The Mountain Tower has been revealed on the World Map."
[37-0D] "The Island Tower has been revealed on the World Map."
[38-0D] "The Greenlands has been revealed on the World Map."
[39-0D] "The Highland Park has been revealed on the World Map."
[3A-0D] "Dounby has been revealed on the World Map."
[3C-0D] "the portal"
[3E-0D] "Kirkwall"
[74-0D] "To me!"
[75-0D] "Over here!"
[76-0D] "Attack!"
[77-0D] "Charge!"
[78-0D] "Hold back!"
[79-0D] "Back off!"
[7A-0D] "Stand your ground!"
[7B-0D] "Stay where you are!"
[7C-0D] "Yeah, yeah be right there."
[7D-0D] "Wahoooo!"
[7E-0D] "Holding back isn't my style."
[7F-0D] "Stay here?? If you insist!"
[80-0D] "To the Bard!"
[81-0D] "Charge!"
[82-0D] "Be wary."
[83-0D] "Hold your ground!"
[84-0D] "Moving as fast as I can, have some patience."
[85-0D] "Exploring!"
[86-0D] "I'll stay close."
[87-0D] "Phew, I could use a rest."
[88-0D] "Boring...move along."
[89-0D] "Get to the good part."
[8A-0D] "Heard it already."
[8B-0D] "Next!"
[8C-0D] "Skip it!"
[8D-0D] "Take that!"
[8E-0D] "Another victory for me!"
[8F-0D] "Am I good or what?"
[90-0D] "That looked painful!"
[91-0D] "That had to hurt."
[92-0D] "Refreshing!"
[93-0D] "That hits the spot!"
[94-0D] "Ah, I needed that."
[95-0D] "Nice!"
[96-0D] "A fine bouquet, I give it 4 stars."
[97-0D] "Good boy!"
[98-0D] "I don't know why I didn't get a dog sooner."
[99-0D] "Good dog!"
[9A-0D] "You're a dog after my own heart."
[9B-0D] "Not enough mana."
[9C-0D] "I can't do that right now."
[9D-0D] "Out of power."
[9E-0D] "Party's full."
[9F-0D] "I need to dispel, before summoning more."
[A0-0D] "Out of room."
[A1-0D] "I don't know how to do that."
[A2-0D] "I can't do that... yet."
[A3-0D] "Not here!"
[A4-0D] "I can't do that here."
[A5-0D] "Out of stones!"
[A6-0D] "Not enough stones."
[A7-0D] "Let's have a look at your armor then."
[A8-0D] "I could use some protection."
[A9-0D] "What have you got in the way of shields and armor?"
[AA-0D] "Show me your armor."
[AB-0D] "Show me your swords and flails."
[AC-0D] "Let's talk about close quarters combat."
[AD-0D] "I could use a new melee weapon."
[AE-0D] "What have you got to stab and bash with?"
[AF-0D] "I'd like to see your bows."
[B0-0D] "Show me your bows."
[B1-0D] "What have you got in the way of bows."
[B2-0D] "Let me see your bows."
[B3-0D] "Got anything...unusual?"
[B4-0D] "Yeah, yeah, yeah but you know what? I'm looking for something special, know what I mean?"
[B5-0D] "What have you got that's out of the ordinary?"
[B6-0D] "I'm in the market for something different."
[B7-0D] "Let me see something else."
[B8-0D] "What else have you got?"
[B9-0D] "Not worth my time."
[BA-0D] "Not interested."
[BB-0D] "What was that?"
[BC-0D] "Come again?"
[BD-0D] "What were you saying?"
[BE-0D] "Could you repeat that?"
[BF-0D] "I'm intrigued."
[C0-0D] "What can you tell me about this?"
[C1-0D] "Let me have a closer look."
[C2-0D] "This looks interesting."
[C3-0D] "Ah... I seem to have left my money at home."
[C4-0D] "I wouldn't want that junk even if I could afford it!"
[C5-0D] "Let me go get some silver, I'll be right back."
[C6-0D] "Too rich for my blood."
[C7-0D] "I'll take it!"
[C8-0D] "Just what I was looking for."
[C9-0D] "I'll take that off your hands."
[CA-0D] "I'll buy it."
[CB-0D] "Damn..."
[CC-0D] "This can't be..."
[CD-0D] "Inconceivable..."
[CE-0D] ""
[CF-0D] ""
[D0-0D] ""
[D1-0D] ""
[D2-0D] ""
[D3-0D] ""
[D4-0D] ""
[D5-0D] ""
[D6-0D] ""
[D7-0D] ""
[D8-0D] ""
[D9-0D] ""
[DA-0D] ""
[DB-0D] ""
[DC-0D] ""
[DD-0D] ""
[DE-0D] ""
[DF-0D] ""
[E0-0D] ""
[E1-0D] ""
[E2-0D] ""
[E3-0D] ""
[E4-0D] ""
[E5-0D] ""
[E6-0D] ""
[E7-0D] ""
[E8-0D] ""
[E9-0D] ""
[EA-0D] ""
[EB-0D] ""
[EC-0D] ""
[ED-0D] ""
[EE-0D] ""
[EF-0D] ""
[F0-0D] ""
[F1-0D] ""
[F2-0D] ""
[F3-0D] ""
[F4-0D] ""
[F5-0D] ""
[F6-0D] ""
[F7-0D] ""
[F8-0D] ""
[F9-0D] ""
[FA-0D] ""
[FB-0D] ""
[FC-0D] ""
[FD-0D] ""
[FE-0D] ""
[FF-0D] ""
[00-0E] ""
[01-0E] ""
[02-0E] ""
[03-0E] ""
[04-0E] ""
[05-0E] ""
[06-0E] ""
[07-0E] ""
[08-0E] ""
[09-0E] ""
[0A-0E] ""
[0B-0E] ""
[0C-0E] ""
[0D-0E] ""
[0E-0E] ""
[0F-0E] ""
[10-0E] ""
[11-0E] ""
[12-0E] ""
[13-0E] ""
[14-0E] ""
[15-0E] ""
[16-0E] ""
[17-0E] ""
[18-0E] ""
[19-0E] ""
[1A-0E] ""
[1B-0E] ""
[1C-0E] ""
[1D-0E] ""
[1E-0E] ""
[1F-0E] ""
[20-0E] ""
[21-0E] ""
[22-0E] ""
[23-0E] ""
[24-0E] ""
[25-0E] ""
[26-0E] ""
[27-0E] ""
[28-0E] ""
[29-0E] ""
[2A-0E] ""
[2B-0E] ""
[2C-0E] ""
[2D-0E] ""
[2E-0E] ""
[2F-0E] ""
[30-0E] ""
[31-0E] ""
[32-0E] ""
[33-0E] ""
[34-0E] ""
[35-0E] ""
[36-0E] ""
[37-0E] ""
[38-0E] ""
[39-0E] ""
[3A-0E] ""
[3B-0E] ""
[3C-0E] ""
[3D-0E] ""
[3E-0E] ""
[3F-0E] ""
[40-0E] ""
[43-0E] "The Old City"
[44-0E] "Caleigh"
[45-0E] "Fionnaoch"
[46-0E] "Advice"
[47-0E] "Out of Here"
[49-0E] "Bodb's Black Ale"
[4A-0E] "Stromness Stout"
[4B-0E] "Findley's Brew"
[4C-0E] "Silkbeard's Swill"
[4D-0E] "Captain Fargo's Reserve"
[4E-0E] "Pig's Meade"
[4F-0E] "Bugbear's Light Brew"
[50-0E] "Widow's Wine"
[51-0E] "the bartender"
[52-0E] "Press [7D-00] to save game."
[53-0E] "Game"
[54-0E] "Small gift"
[55-0E] "Medium gift"
[56-0E] "Large gift"
[59-0E] "Nice."
[5A-0E] "I'll have one of those then."
[5B-0E] "Give me one of those."
[5C-0E] "Sounds horrible."
[5D-0E] "Think I'll pass on that one."
[5E-0E] "How about one of these."
[5F-0E] "What about this one?"
[60-0E] "Here you are."
[61-0E] "I could use a bit of good will."
[8B-0E] "Continue Game"
[BE-0E] "I've got a bad feeling about this."
[E8-0E] "I've run out of funds. Sorry."
[E9-0E] "I must've donated all of my money to that family of orphans. Sorry."
[02-0F] "Thus ends the Bard's Tale."
[03-0F] "And so the Bard met his inevitable and much deserved fate."
[04-0F] "Thus ends the Bard's Tale. Thank God that's finally over, I never want to read another word about that bloody Bard!"
[05-0F] "Thus ends the Bard's Tale. I think we could all see that one coming... Good riddance."
[06-0F] "And so ends our tale with the tragic death of our hero."
[07-0F] "And so ends our tale with the tragic death of our hero. I can't believe I said that with a straight face."
[08-0F] "Hahahahahaha. oh now that does make my day... ahem... Thus ends our tale."
[09-0F] "Thus ends our tale. Ah a happy ending like this always warms my heart."
[0A-0F] "I'll mark this spot in the book."
[0B-0F] "I'll make note of our progress."
[0C-0F] "Now let us see, where were we... oh yes..."
[0D-0F] "Now then... ah yes I remember where we were..."
[0E-0F] "Where were we... The Bard was making an ass of himself.. And then... ah yes here it is..."
[0F-0F] "You'd like to hear a new story? Oh, very well, where shall we begin?"
[10-0F] "You'd like to continue our tale?"
[11-0F] "And then there was a long period where nothing much happened."
[12-0F] "So the Bard settled down with the next peasant girl he met, took a job sweeping out the local stables, and raised six children..."
[13-0F] "Oh no I didn't! Stop with the make believe!"
[14-0F] "After a long period of idleness the Bard finally started to act like a proper hero and did something noble and self sacrificing..."
[15-0F] "As if anyone is going to believe that bit of fiction."
[16-0F] "And still nothing happened as the Bard stood around and did... nothing."
[17-0F] "And lo there did come a time when the Bard did... nothing."
[18-0F] ""
[19-0F] ""
[1A-0F] "Why do I always get stuck reading about this bloody idiot."
[1B-0F] "The Bard's Tale. Prologue..."
[1C-0F] "Chapter I: Houton"
[1D-0F] "Chapter II: Neversdale Forest"
[1E-0F] "Chapter III: Kirkwall"
[1F-0F] "Chapter IV: Highland Park"
[20-0F] "Chapter V: The Forest Tower"
[21-0F] "Chapter VI: The Mountain Pass"
[22-0F] "Chapter VII: The Mountain Tower"
[23-0F] "Chapter VIII: Dounby"
[24-0F] "Chapter IX: Finstown"
[25-0F] "Chapter X: Greenlands"
[26-0F] "Chapter XI: Stromness"
[27-0F] "Chapter XII: The Firbolg Mines"
[28-0F] "Chapter XIII: The Island Tower"
[29-0F] "Chapter XIV: Dounby Tower"
[2A-0F] "Houton"
[2B-0F] "Neversdale Forest"
[2C-0F] "Kirkwall"
[2D-0F] "Highland Park"
[2E-0F] "The Forest Tower"
[2F-0F] "The Mountain Pass"
[30-0F] "The Mountain Tower"
[31-0F] "Finstown"
[32-0F] "Dounby"
[33-0F] "Greenlands"
[34-0F] "Stromness"
[35-0F] "The Firbolg Mines"
[36-0F] "The Isle Tower"
[37-0F] "Dounby Tower"
[38-0F] "Shimmering particles of light danced in the air. Shining there in the darkness they dampened and suppressed the Bard's magic. Knowing that he must now venture forth alone, without the help of his songs, our hero readied himself for action."
[39-0F] "Once again the Bard felt his magical powers dampened by the shimmering lights."
[3A-0F] "Swing a little harder!"
[3B-0F] "Use Capoferro!"
[3C-0F] "Are you sure you're using the proper hand?"
[3D-0F] "You are allowed to block you know."
[3E-0F] "Blame the swordsman, not the sword."
