[01-00] "Here lies Erik the Viking, He fights in Valhalla now, Much to his liking."
[34-01] "I know what it means to be hungry, and worse it is for a child.  So: a fair price for a fair piece of work, and it's a bargain."
[35-01] "Well thanks for nothing you crazy old bastard!"
[36-01] "Be careful, young sir! There is a ferocious Bugbear on the loose. Grrrr. I'd best leave be if I were you; I mean. I mean you'd best leave if you were you.  Oh, you know what I mean; you should leave Houton an' never come back!"
[37-01] "Don't worry old man; if I were you, then there'd be two rambling idiots in this Broch.  Wait, if I were you, there'd only be one rambling idiot in this...no no, wait... If I were, no... Oh never mind!  Either way, I'm not planning on moving in here... I'll be gone soon enough."
[38-01] "Ye've come looking for my boy Ogan, haven't you!?  Of course ye have.  But it's gone he is, for he's the one, the Chosen One, who'll free the fair Princess from cruel bondage.  And what do ye suppose that means to a poor old woman like me?  Why, everything, that's what.  For he's promised to come back, my Ogan, and take me away from this awful place and give me a proper house, with glass in the windows, floors of wood, and a larder so full we'll never know hunger again.  So when you see him, tell him his mother loves him."
[39-01] "Let me know when you've found my Ogan."
[3A-01] "Oh no... tell me it isn't true... killed. I hope you avenged my boy!"
[3B-01] "You avenged my Ogan!  Thank you. Now please leave a mother to grieve."
[3C-01] "You avenged my Ogan!  Thank you, thank you. I knew you were a good man. May your future journeys continue in good health. Here this was a charm Ogan gave me said it'd bring me luck, why don't you take it?"
[3D-01] "I've got some bad news, I'm afraid... I saw your boy Ogan, or what was left of him."
[3E-01] "I've got some bad news, I'm afraid... your boy was slain, murdered by a Trow."
[3F-01] "Of course. They were coming after me next and I had to defend myself."
[40-01] "I'm sorry to have to be the one to tell you.  But I want you to know, the ones that killed him, I cut them down where they stood!"
[41-01] "Well now, you must be the Bard that everyone's been talking about, the fellow with the spider made of lightning.  It's honored I am to have you in my shop, sir, and happy to facilitate all your arms and armament needs.  Swords, bows, or armor, everything here is first rate and for sale.  Terms are cash in advance, in full, all sales final, with no letters of credit, lay-aways or I.O.U.s.  We do have a buy-back policy, if you buy it, don't bring it back. So, look over what you want and I'll be happy to cover the finer points of any item I have in stock, but remember the golden rule: you break it, you buy it."
[42-01] "It's a fact: a warrior's only as tough as his weakest armor.  Plenty of folks have bought the cheap stuff, but none of them have been repeat customers... if you take my meaning."
[43-01] "My armor's some of the best; dire boar hide, butterfly skinned and double cured, with adjustable suede straps and cast iron buckles, tough enough to take a hit, but light enough to keep you fast.  I'd be willing to part with this item for a very reasonable price."
[44-01] "If it were me, I'd've gone for a little more oomph in me armor, but it's your skin, isn't it.  Like I said, it'll keep you fast, but there's no runnin' away from an arrow."
[45-01] "Now you're talkin' leather armor.  Reinforced with hammer-forged iron studding and all-weather bronze buckles cast by the sea-folk of the Western Shores.  Like all my leathers it's fully articulated for comfort and ease of movement and will keep you standing when others leave you bleeding, so it's well worth my one-time, profit-shaving price."
[46-01] "A smart man you are, and one who knows the true value of his own life. I've always said there is no reason to try and save money when it comes to armor, for you can't take it with you."
[47-01] "This is where we have our close combat weaponry.  When you're battling a foe up close and personal, you don't want to skimp on your instrument of battle.  In most cases not the best man, but the best weapon walks away to tell the tale."
[48-01] "Like to do some fancy dual weapon fighting? Then You've got to have a dirk.  This one comes straight from Finstown and features a fully fullered ricasso and a ring guard for precise blade control.  A thrust through the visor or chink in the armor and I guarantee your man is going down.  Now, that kind of weapon doesn't come cheap, but I'd be happy to sell you this particular item for a first rate price."
[49-01] "Very good, fine sir. I'm not a fighting man, but having an extra weapon to stick it to your foes can never be a bad thing, can it?"
[4A-01] "Ah, the mighty flail.  Six pounds of pain on a chain, with a quarter-sawn hexagonal hickory shaft and a jointed head of drop-forged iron that's been tempered in the ice-cold blood of captured fin-folk.  Tricky to wield, but score a hit and it will crush armor and break bones, and I'm willing to let you have it for a pittance."
[4B-01] "Very, very nice choice sir.  I pity the man who encounters this flail with you at the other end of it."
[4C-01] "Now here's a piece o' hurt that'll let you swagger down any street and never want for safety.  The Claymore, or as I like to call it, the Emporer of Evisceration.  It's three cubits long with three-quarter length parallel fullers, a barrel-cut two handed grip, and balanced at the hilt for better leverage in short cuts or long swings.  This weapon definitely covers a lot of ground and what it lacks in speed it more than makes up for in pure stopping power.  Now it just so happens that due to a slight accounting error I'm overstocked on this particular item so I'd be willing to let one go for a ridiculous price."
[4D-01] "Ah, the claymore, I must say I'm impressed.  To be honest I took you for a broadsword man, but it takes a fine warrior to handle such a fine weapon."
[4E-01] "If you ask me, there's no better place to battle a deadly foe than from a distance.  The more you spend on this ranged weaponry will not only put you further from your enemy, but also further from your own tombstone."
[4F-01] "You're looking to drop 'em from a distance? That's a longbow.  These are the finest kiln-dried white ash bows from the weapon shops of Kirkwall, the choice of Sylvan Assassins and until recently banned in four provinces.  Pull's preset to fifty pounds and guaranteed to put a four-ounce shaft through a two inch plank from fifty paces.  Believe me, these babies pack a punch that your enemies will not forget and they are definitely worth every last bit of the silver that I'm asking."
[50-01] "Excellent choice my friend for the longbow is often the key to a long life.  Use it in good health."
[51-01] "Peekin' at my map, are you?  I can tell you this much: it's as old as the hills an' chock-full of danger and delight.  The fellow I had it from said there's plenty of frights to make things hot, plenty of X's markin' the spot."
[52-01] "I'm filthy stinkin' rich I am! All that silver for a scrap of a map I had off a wizened old bugger for the price of a piece o' bread!  Well, so long and farewell, good sir.  I'm off to Dounby to spend me days drunk as a lord and ticklin' every lass I can lay hand to.  Ah, bless you, sir!  Bless you and goodbye!!"
[53-01] "Watch out for Sheriff Rucky, he's a dog without shame."
[54-01] "The world is coming to an end and you want to talk?"
[55-01] "Sorry."
[56-01] "Pardon Me."
[57-01] "Hey stranger... no time to talk now I'm late for a date with the widow Macrary!"
[58-01] "Excuse me Sir, I don't mean to cause a panic, but...  WE'RE ALL GONNA DIE!!!!"
[59-01] "Excuse me."
[5A-01] "Sorry."
[5B-01] "Top of the morning to ya."
[5C-01] "I can't talk to you right now.  I'm trying to find this guy I owe an apology to."
[5D-01] "Sorry."
[5E-01] "Pardon Me."
[5F-01] "Beware the Finfolk, some say they are sorcerors!"
[60-01] "Most of the village has been destroyed but at least the Drunken Rat is still open for business if ya know what I mean."
[61-01] "Pardon Me."
[62-01] "Sorry"
[63-01] "Don't go near Sheriff Rucky's Jail, it's been run over with Kunal Trow!"
[64-01] "Excuse me."
[65-01] "Sorry"
[66-01] "What you staring at? Never seen a Firbolg before?"
[67-01] "Sorry"
[68-01] "Excuse me."
[69-01] "Sorry! Oh hold on a bit... Sorry?  You been bumpin into folks all over the village!  Enough is enough!  I think you owe ME an apology!"
[6A-01] "You will become very familiar with this tone you aimless oaf, for I demand an apology... and I will get one!"
[6B-01] "Ok, apology accepted. Try to be more careful in the future!"
[6C-01] "There you are!  Remember me?  I'm the patient villager you owe an apology to."
[6D-01] "So we meet again.   I'm thinking you still owe me an apology."
[6E-01] "Look, you. I'll give you one more chance to apologize before I knock your teeth in!"
[6F-01] "Hey... you... I won't drop this... You'd better apologize."
[70-01] "Oh how kind of you.  Can we be buddies now?"
[71-01] "All I'll owe you is a face full of knuckles if you take that tone with me again."
[72-01] "Well excuse me, I'll be more careful in the future."
[73-01] "Ah yes. You know, I am sorry... sorry I didn't pummel you earlier."
[74-01] "You know, it's going to be hard to beg for an apology without a bleeding tongue!"
[75-01] "Yeah?  And I'll give you one last chance to get a life, while you're actually still living."
[76-01] "I suggest you drop it, before I drop you.  Right here, right now."
[77-01] "All right already!  I apologize! I apologize!  It's either that or kill you, and I just cleaned my sword."
[78-01] "Quit while you're ahead... and while you still have one."
[79-01] "Moooooo"
[7A-01] "BAAAAAAA"
[7B-01] "Oink Oink"
[7C-01] "Cluck Cluck Cluck"
[7D-01] "Moooooo"
[7E-01] "Baaaaaaa"
[7F-01] "Oink Oink"
[80-01] "Cluck Cluck Cluck"
[81-01] "What's the password?"
[82-01] "Go away!!!!"
[83-01] "Nope!"
[84-01] "Get Lost!"
[85-01] "That's not it!"
[86-01] "That's not a word!"
[87-01] "Is not."
[88-01] "What's it mean?"
[89-01] "Oooh.  I'm real scared."
[8A-01] "No."
[8B-01] "Clear off, you idiot!"
[8C-01] "You already tried that one! Now go away!"
[8D-01] "So Bannafeet must have... hey who are you? You aren't supposed to be here!"
[8E-01] "Fiddlesnarf!"
[8F-01] "Finkelrult."
[90-01] "Houton."
[91-01] "Open Sesame?"
[92-01] "Hootsnock?"
[93-01] "Is too."
[94-01] "Is too."
[95-01] "It means, open up this door before I break it down and beat you to death!"
[96-01] "I swear I'll do it.  I will! Look, are you going to let me in or aren't you?"
[97-01] "Please?"
[98-01] "Which one of you bloody heathens is Ketill Swart?  Bannafeet sent me here to set you free."
[99-01] "Already I've been reduced to flipping switches by order of criminals....great."
[9A-01] "Hey, who doesn't?"
[9B-01] "Yeah, I haven't had this much fun since I was almost barbequed by a giant rat."
[9C-01] "Yeah, sure next time, yeah."
[9D-01] "It's a long story.... maybe you'd like to have a seat while I tell you all about it... ...in the middle of a kunal trow infested jail. Let's get out of here before I regret what I've done... more than I already do."
[9E-01] "Yeah, sure. You draw me a picture, I'll draw your blood."
[9F-01] "Whoops!"
[A0-01] "I can't argue with that.  If I'm here trying to free the likes of you, I must be the village idiot."
[A1-01] "Hey, now that's a low blow."
[A2-01] "I'm Ketill Swart."
[A3-01] "To hell with them!  I'm Ketill."
[A4-01] "We'll never convince you which one of us are telling the truth, so just flip those switches in the order I tell you and it will open the doors."
[A5-01] "How long do you think we have! Flip those switches."
[A6-01] "Pull that one!!!!"
[A7-01] "No No No!"
[A8-01] "Pull that one!"
[A9-01] "No, not that one!"
[AA-01] "Pull that one!"
[AB-01] "No, not that one!"
[AC-01] "Yes, that is the one!"
[AD-01] "No! That won't help!"
[AE-01] "That's the one!"
[AF-01] "Oh no! Not that one!"
[B0-01] "I don't know why you did this, but I'm most thankful."
[B1-01] "Ahhhhh, what's wrong with you! We told you exactly what to do!  Do you want us to draw you a picture?"
[B2-01] "See how easy that was!"
[B3-01] "Great, I'm stuck in this hellhole and the only person that can free me is the village idiot."
[B4-01] "It's not like I'm asking you to solve the mystery of flight.  All brawn and no brain.  The Widow MacRary may date you after all."
[B5-01] "More to her than to you. Look, just try and listen to me this time."
[B6-01] "No he's not!  I'm Ketill Swart!"
[B7-01] "What's it matter which one of us is Ketill?  Set us all free!"
[B8-01] "But we've been watching closely and we know the order to flip them."
[B9-01] "Open the gate, you daft bugger, before I die of old age!"
[BA-01] "Pull that one!!!!"
[BB-01] "No no no. No!"
[BC-01] "Mmmmm, It might be that one!"
[BD-01] "Mmmmm, It might be that one!"
[BE-01] "No.... I think so, try switch 1."
[BF-01] "I think that's it!"
[C0-01] "Uhhhh, I think that's the one!"
[C1-01] "Uhhhh. It doesn't seem right."
[C2-01] "That's it!...oh no it isn't! Try another."
[C3-01] "That might be it!"
[C4-01] "See how easy that was! Thank you, thank you."
[C5-01] "Like hell!  I'm Ketill Swart."
[C6-01] "Yes, the Sheriff has these doors rigged with some bizarre 6 switch combination lock that only he is supposed to know."
[C7-01] "Come on already!  I've got a date with the Widow MacRary."
[C8-01] "Pull that one!!!!"
[C9-01] "No No No!"
[CA-01] "No, not that one!!"
[CB-01] "Pull that one!"
[CC-01] "Yes, yes.... Pull that one!"
[CD-01] "Bah!"
[CE-01] "No, that isn't it!"
[CF-01] "There you go, pull it and let us free!"
[D0-01] "No, the last one is lever 3."
[D1-01] "There you go, pull it and let us free!"
[D2-01] "One good turn deserves another; I'll pay you back when next we meet!"
[D3-01] "Good dog!"
[D4-01] "In Neversdale amongst the brush -With roots down deep and branches lush - A tall round trunk of wizened wood -    Divides bough from earth, as well it should. For it's not a bush, we must confess.          It's something else, we'll let you guess.      And when you see it, when you know,    Play a song and off you'll go.                      In safety and in perfect health,                  And with, perhaps, a bit more wealth."
[D5-01] "Ow!"
[D6-01] "Hey that hurt!"
[D7-01] "Ahhh!!!  Don't kill me!  Don't kill me!"
[D8-01] "Please, don't kill me. Please! I'm sorry. I didn't mean to hurt anyone.  Oh, I'm bleeding. I think you broke my arm. Ah! Is that a tooth!? I just spit out a tooth! Oh, not another tooth!"
[D9-01] "Oh, look at me! Look at me! No! Don't look at me! Oh, hell, do what you want! I don't care! Go ahead and look! I'm not a bugbear!  I'm just a dirty old bastard running about in a smelly old rug with a bucket for a head! Go ahead! Take all my silver! I don't need it anyway! I was saving it all up for a date with the Widow MacRary, until she found out I'm still living with my mother! Now she won't even speak to me! You know what else!? I'm forty-two and still a virgin! How pathetic is that!?  Ahhh, just kill me! Please! Just get it over with!"
[DA-01] "Oh, leave me alone!  Just take the silver and go!"
[DB-01] "You're just pathetic!"
[DC-01] "So, you're the fellow what's been chasin' through Houton with your rats an' lightnin' spiders, eh?"
[DD-01] "Now there's no cause to be tryin' that attitude with me. I'm for collecting the taxes and keepin' the peace. I have enough problems with the Kunal Trow around here; I don't need to be worrying about the likes of you."
[DE-01] "That's fine. My job is to be keepin' the peace, collectin' the taxes, and fending off the Kunal Trow. Respect that, and you're welcome to stay in Houton as long as you please. Otherwise you'll find yourself in my jail."
[DF-01] "Well now, you must be the daft idiot what's been chasin' through Houton with his rats an' lightnin' spiders!"
[E0-01] "Shut up! Ketill Swart's a back-stabbin', thieving rogue what took me half a year to catch, an' now you've up and set 'im free, and it's a good bet he's gone to ground in Neversdale forest!"
[E1-01] "Well, just you head outta town and get him back, and be quick about it! Go recapture the blackguard or you'll never be welcome in Houton again!"
[E2-01] "Hang you for a meddlin' fool!  It's one thing to be frightenin' the widows and killin' the rats, but you've up an' set loose that pig-stealin', back-stabbing Ketill Swart."
[E3-01] "Well, laddie, he's takin' to hiding in the Neversdale forest, and you're the one that's going after him."
[E4-01] "So, just you head outta town and bring him to me.  But don't come back here without him."
[E5-01] "I told you to bring me Ketill!  Now get off your arse and get after him!"
[E6-01] "So you swine!  Happy to see me?  Just you try runnin' again and it's fodder for the finfolk you'll be."
[E7-01] "Reward? You're lucky I don't throw you in jail."
[E8-01] "What?  You back again!  Go kill a rat, you rogue; it's all you're good for."
[E9-01] "You know, you keep comin' round here, and pretty soon I'll let you stay.  Permanent.  Now be off with you."
[EA-01] "Well now, fancy running into ye again."
[EB-01] "Welcome to the Kirk of Houton young man. We can lay our hands for a healing and blessing should you feel inclined to make a small donation."
[EC-01] "Care to make a donation my son?"
[BD-02] "Don't worry sheriff; they don't bite. Much."
[BE-02] "All I'm after is songs and silver, and I've no mind to break the laws in gettin' them."
[BF-02] "Look here, Sheriff..."
[C0-02] "Is there a prob...?"
[EA-02] "Interesting."
[32-05] "You've been hunting grouse I see. Well,  If you enjoy the hunt, you should stop by my hunting shack some time. I own some land that's ripe with Game. Feel free to come by any time, I'll mark it on your map."
[1A-07] "AAAAAAHHHHHHHHHH!!!!!"
