[01-00] "Qui Erik il Vichingo giace, a Valhalla ora combatte, così assai gli piace."
[12-06] "Salve, vecchio amico, come te la passi con questa giovane canaglia?"
[13-06] "Oh, care Dugan, fortunatus estò a védete! Esto probo iovine salvato mah del Nuckelavee liberato d'alcun estupidanti."
[14-06] "Ah, parla un raro dialetto. Ho dimenticato che la maggior parte della gente oggi non lo conosce. Fortunatamente, io sì."
[15-06] "Di che parla?"
[16-06] "Per ora dice solo che è grato per essere stato salvato da un mostro sguinzagliato da qualche idiota. Ma gli caverò altre informazioni."
[17-06] "Digame plus, quacosa verificossi?"
[18-06] "Estas'l vespero, quodi crepati de su' sepulcr' e occupiròn al castrell' meo. Fuimme de mostra defòrmita attaccàte...mas tenìame ca l'ascia custodit...."
[19-06] "Abominevole, senza dubbio."
[1A-06] "Dì amigottuo ca si m'aiudar a repequarmi al mi castrell', lu'brusca l'ascia."
[1B-06] "Ooooooh. Questa ti piacerà."
[1C-06] "Cosa?"
[1D-06] "Quacosa terrà facerti?"
[1E-06] "Me portara alas ruivinosas de mi castrell' e me l'indicoto la entrada. Est'esta na botula secretata quod conduxe a'bass' en cavernu, ma per'io la chiave c'ho."
[1F-06] "Furbo!"
[20-06] "Prego?"
[21-06] "M'estò certo che lu t'aiutara."
[22-06] "Si il beltomus supravviva a lo cavernu, potrìa decirte ca nustra princepsa se buscarìa su' eroes. Io pènsome ca nun scampariss', crédete ca està illo iusto?"
[23-06] "Me pensamm la estesa cosa, però estò abbastasis certoso."
[24-06] "Va bene, ora basta, basta. Cosa state complottando?"
[25-06] "Allora, ecco il patto. MacRath ti condurrà al suo castello...o meglio, alle rovine che ne rimangono."
[26-06] "Solo se prima mi paga la cena."
[27-06] "Dove ti aprirà una botola che conduce ad delle caverne sotterranee."
[28-06] "E cosa c'è dentro?"
[29-06] "L'Ascia dell'Ombra, come ti ho detto prima la stava convervando per te. Ha dovuto lasciarla nella caverna quando i problemi sono cominciati. Gli ho spiegato che ti ci deve condurre."
[2A-06] "Adesso ci capiamo. C'è altro?"
[2B-06] "Oh, solo qualche guerriero non-morto. Dunque, una volta che hai l'Ascia dell'Ombra, viaggerai verso sud lungo la costa..."
[2C-06] "Aspetta un attimo. Guerrieri non-morti? Quanti?"
[2D-06] "Un pò. Una ventina."
[2E-06] "A che gioco giochiamo? Un pò o una ventina? Guarda che c'è una bella differenza!"
[2F-06] "Una piccola ventina. E una volta che saranno tutti morti, ti dirigerai a sud verso la costa, la Terza Torre è collocata su una piccola isola appena al largo. Non dovresti avere problemi ad assicurarti un passaggio per la torre. Bene, me ne vado. Qui si fa sempre più pericoloso."
[30-06] "Beh? Hai niente da dire?"
[31-06] "Darì ate mi' ascia de Sombre, ma tu usàsselate bien, ve'?"
[32-06] "Chissà perché te l'ho chiesto."
[33-06] "Salve, cosa prendi, Bardo?"
[34-06] "Cos'hai?"
[35-06] "Beh, abbiamo il Mosto del Porco, la Cervogia Scura di Bodb, la Birra Leggera di Bugbear, o la Riserva Privata Molto Speciale dall'Unico Barile di Capitan Fargo."
[36-06] "Ah, la cervogia. Un inizio effervescente, con una sfumatura di quercia e una chiusura frizzante con retrogusto pepato. Scende facile ma brucia come l'inferno quando risale."
[38-06] "Il Mosto del Porco? Meglio lasciarlo perdere. In pratica si tratta di fango di palude e vomito fermentato di maiale. Più che berlo lo si usa per accoppare uno che vuoi vendere ai mercanti di schiavi."
[39-06] "La Riserva Privata di Capitan Fargo? Devi essere un buongustaio. E' fatta con le nostre migliori mele e il nostro miele, fermentati ed invecchiati in barili di vino di Porto, finché non diventa delicata al palato e corroborante per il cuore!"
[3A-06] "Ne vuoi un'altra?"
[3B-06] "Hai sentito? I Druidi stanno cercando una specie di criminale, stanno rivoltando la città!"
[3C-06] "Bleah! Sa di budella!"
[3D-06] "Devo avere incontrato una dozzina di Prescelti mentre venivo qui, e ognuno di loro era un pazzo pericoloso: stai alla larga da loro se puoi, amico!"
[3E-06] "Sapevo che avremmo dovuto fare i riti propiziatori quest'anno! Il nostro grano è rovinato."
[3F-06] "Alleluja, amico! Mio zio s'è impiccato e mi ha lasciato tutto, eccoti un po' di grana!"
[40-06] "Spostati, amico. Ho soldi da spendere."
[41-06] "Il Nuckelavee è stato visto vicino a Dounby. Dicono che qualche cretino lo ha liberato!"
[42-06] "Hai un animale davvero bello. Conosco un ristorante qui a Dounby che se lo comprerebbe in un minuto se ti andasse di venderlo."
[43-06] "Sali quassù e fagli vedere chi sei! Perché non partecipi alla nostra piccola gara e fai mostra delle tue capacità? Il premio vale la candela."
[44-06] "Ed ecco a voi, dalla lontana terra di Houton...il BARDO!!!"
[45-06] "E dicevate che i giocolieri facevano pena!"
[46-06] "Il bardo imparò rapidamente che puoi prendere in giro solo alcune persone per un piccolo lasso di tempo, ma che purtroppo non tutte sono stupide!"
[47-06] "Abbiamo un vincitore!!!!"
[48-06] "Ancora una volta, il Bardo provò senz'ombra di dubbio che aveva talento. Naturalmente, per qualcuno che stava cercando di non dare nell'occhio, partecipare ad una gara non era la più brillante delle iniziative."
[49-06] "Bene-bene, era davvero il Bardo in quella gara. Prendetelo fratelli!"
[4A-06] "Eeeeeek! Un topo! Un topo! Vai via! Vai via!"
[4B-06] "Non temere fanciulla, il ratto è defunto, abbattuto dalla mia magia!"
[4C-06] "Ooooh, beh, sei un tipo eroico, ti ringrazio per l'aiuto. Ecco, non è molto, ma mi hai fatto un bel servizio liberandomi di quel ratto."
[4D-06] "Se hai un crimine da denunciare, riempi il modulo. In triplice copia. Se si tratta di una persona scomparsa, dimenticatela. La gente viene a Dounby per perdersi, non per essere trovata. Di fatto non posso darti praticamente nessun aiuto. Quei Druidi sono la legge da queste parti."
[4E-06] "Non ho niente da denunciare, sto solo attraversando la città."
[4F-06] "Buona fortuna allora. Un sacco di persone hanno provato ad attraversarla e non in molti ci sono riusciti. Ehi, vuoi vedere una cosa da ridere?"
[50-06] "E perché no? Non mi dispiacerebbe farmi quattro risate."
[51-06] "Ehi! Chi è il Prescelto tra voi, penosa feccia?"
[52-06] "Sono io! Io sono il Prescelto!"
[53-06] "No! Sono io il Prescelto! Devo adempiere al mio destino!"
[54-06] "Non è vero! Io sono il Prescelto. Salverò il mondo!"
[55-06] "Ogni volta mi ammazzo dalle risate. Vengono in città, sparano cavolate, affrontano mostri che sono due volte loro. Mi facevano così pena che li ho dovuti rinchiudere per il loro bene. Dimmi, non sarai mica un Prescelto anche tu?"
[56-06] "Oh, no! Io no. Vado avanti a vino, donne e canzoni. Più o meno in quest'ordine. Anzi, facciamo donne, vino e canzoni."
[57-06] "Beh, in campana ragazzo. Stai lontano dai guai."
[58-06] "Se non hai nulla da denunciare devi andartene. Se invece ce l'hai...beh, comunque non ha importanza."
[59-06] "Ehi, prendi qualcosa?"
[5A-06] "Prendi qualcosa? Grandioso! Ora dimostrerò al mio vecchio che posso tenere la baracca. Voglio dire... non è colpa mia, ma io a capire le cose ci metto un pò. E' lui quello che mi dà le botte in testa."
[5B-06] "E' un pugnale, fatto d'argento. Che poi è una specie di oro, però più argenteo. Capito?"
[5C-06] "Uh, una buona scelta."
[5D-06] "Hmmm, non so. Mi pare che dovrebbe essere una roba veloce o una cosa così."
[5E-06] "Wow, spero che le piaccia."
[5F-06] "Un mazzafrusto. Mi piacciono questi aggeggi. Quello è fatto di uno speciale...uh, di cos'è che stavo parlando?"
[60-06] "Aw, ha comprato il mezzofusto? E ora con cosa gioco?"
[61-06] "Mi pare che sia un'ascia di Lochabuy, ha lo stesso nome del fornaio in fondo alla strada, che mi pare si chiama Lockerby."
[62-06] "Una buona scelta, signore. Se va per mare potrebbe persino usarla come ancora."
[63-06] "Aspetti...ce l'ho sulla punta della lingua...Un'arca. No, un arco. Un arco di Darkbarb. No, aspetti...un archetto di Blackcoso...no, un arco. Ecco, sì! Un arco."
[64-06] "Ehi, stia attento a dove punta."
[65-06] "E' un...ehm...un grande arco. Si chiama così, credo. Suppongo sia grande, ma mi hanno detto di non giocare con le armi."
[66-06] "Sa, se pizzica la corda nel modo giusto, può suonare una canzone."
[67-06] "Credo che sia un arco di Elderwood. Sì...almeno penso...ho ragione?"
[68-06] "Lo sa che c'è uno rimborso di fabbrica su quello? Uno scalpo di filborg e una prova d'acquisto e le manderanno due pezzi di argento!"
[69-06] "Armatura di pelle. Le armature di pelle hanno un buon profumo."
[6A-06] "Se la provi, c'è un camerino sul retro."
[6B-06] "Armatura di pelle borchiata. Una volta ho visto mia madre che la indossava, ma preferisco non parlarne."
[6C-06] "Una buona scelta. Ma naturalmente la mamma si arrabbierà."
[6D-06] "Non so perché la chiamino \"cotta\" di ferro. Ho chiesto a un mio amico cuoco di Kirkwall come si doveva cuocere, ma mi ha detto che non lo sapeva."
[6E-06] "Ottima scelta! E la cosa migliore sa qual è? Se salta su e giù molto veloce tintinna!"
[6F-06] "Cotta di squame! Mi ricorda i pesci. Il mio vecchio mi ha detto che se mi va posso mettermela quando voglio e farci una nuotata!"
[70-06] "Ehi, senta che idea. Ora mi metto l'altro vestito e ci andiamo a fare qualche tuffo al lago!"
[71-06] "Uno scudo tondo. Se lo mette per terra al contrario può girare velocissimo! Naturalmente poi magari le verrà da vomitare. A me è successo."
[72-06] "Sa, se si annoia lo può sempre usare per il tiro a segno."
[73-06] "Uno scudo! L'ho tirato per dieci miglia e non sono mai riuscito a farlo volare!"
[74-06] "Quando lo vorrà usare, si ricordi che il vento deve soffiare forte, ma proprio forte!"
[75-06] "Ehi tu! Cosa cerchi? Ma sei lui! Sei il Bardo! Il Bardo è al cancello! Chiama i fratelli!"
[76-06] "Al Bardo non rimase che prendere atto dell'avvertimento che era davanti a lui. La magia qui non funzionava, quindi sarebbe dovuto sopravvivere solo usando la sua furbizia. Riposi in pace."
[77-06] "In guardia amico, e fa' attenzione a bestie pelose, trappole e suggestione. Nella camera che dopo la curva sta, attende una prova che uccider ti potrà. Se troppo a lungo prima di agire indugerai o male sceglierai, tanto sangue scorrer vedrai. Ma lontana dalla destra la tua scelta sarà quando vicino sarai alla trinità."
[78-06] "Non sei felice che io non parli in rima e non dica cretinate? Sarebbe stremante, non credi?"
[79-06] "Ah, bonjour. Che bello rivederti! Sei venuto a pagarci ciò che ci devi, vero?"
[7A-06] "Oui, oui. Dev'essere venuto proprio per quello. Jean, sei così intelligente! Sei - come si dice - il nostro sasso nella manica!"
[7B-06] "Forse volevi dire asso nella manica, no? E visto che non vi ho mai incontrato, l'unica cosa che vi devo è un panorama del mio culo quando girerò i tacchi."
[7C-06] "Forse volevi dire asso nella manica, no? E visto che non vi ho mai incontrato prima, è alquanto impossibile che vi debba alcunché."
[7D-06] "Aspetta, aspetta! Stiamo calmi. Forse è possibile che ci siamo sbagliati..."
[7E-06] "Forse devi qualcosa a qualcuno che ci deve qualcosa, no?"
[7F-06] "No, c'è un equivoco, voi due mi state facendo perder tempo."
[80-06] "Devo solo un assaggio del mio acciaio a questi Druidi e sono sicuro che a voi non interessa."
[81-06] "Le tue maniere sono quelle di un bifolco! Ma visto che sono di buon umore, ti perdonerò per il tuo insulto e ti proporrò invece...un affare."
[82-06] "Oh, Jean! Jean! Ancora una volta mi fai capire che siamo i fratelli più furbi! Siamo o non siamo i più furbi? Siamo o non siamo - come dici tu - scaltri come polpi?"
[83-06] "Oui! Vogliamo darti una piacevole canzoncina che evocherà la più sexy delle bestie che ti affiancherà in battaglia. Se ci farai un piccolissimo favore te la daremo, tout de suit."
[84-06] "Aspetta, aspetta! Sono sicuro che tu sei sicuro nella tua sicurezza. Perciò concedimi l'onore di porgerti le mie scuse e di proporti, come si suol dire, un affare."
[85-06] "Oh, Jean! E' proprio la cosa che ci serve per ripristinare il nostro onore perduto. Sei così furbo! Così saggio! Così zozzo! Oh, come mi piacerebbe essere te!"
[86-06] "Oui! Vogliamo darti una piacevole melodiuccia che evocherà la più sexy delle bestie che ti affiancherà in battaglia. Se ci farai un piccolissimo favore te la daremo, tout de suit."
[87-06] "Fatti un favore: fatti curare. Tout de suit. Io me ne vado."
[88-06] "Un solo piccolo favore, te lo garantisco: solo uno. Che sarà mai?"
[89-06] "Sapevo che non ci sarebbe servito a niente. Ma, come i peli del mio didietro, RITORNERA'!"
[8A-06] "Tres magnifique! Tutto ciò che devi fare per noi è trovare Donnan e ritirare da lui le 50 monete che ci deve."
[8B-06] "Oui, oui! Dacci i soldi e noi ti daremo la melodia!"
[8C-06] "Trova Donnan, prendi le 50 monete. Bene."
[8D-06] "Ah, hai visto! Sei tornato."
[8E-06] "Sei pronto per farci quel favore?"
[8F-06] "No, ho fatto una capata solo per vedere se magari mi davate la melodia gratis."
[90-06] "Va bene, va bene. Un solo favore, solo uno, d'accordo? Che cosa mai sarà?"
[91-06] "Guarda che non siamo mica nati domani!"
[92-06] "Ha ragione! Siamo intelligenti! Ora vattene e non tornare finché non ci hai fatto questo favore!"
[93-06] "Sentite, miscredenti maleodoranti! Donnan non vi deve un tubo!"
[94-06] "E allora è un bugiardo!"
[95-06] "Senti che ti dico. Vuoi la melodia? Avevamo una rana d'argento che ci è stata presa da Caitir, che la tiene nascosta sotto il letto! Portacela e ti daremo la tua melodia."
[96-06] "Oui, oui! La rana! Trovaci la rana!"
[97-06] "Prendetevela da voi, non farò un altro ballo dell'orso per voi due!"
[98-06] "Non facciamo scherzi..."
[99-06] "E chi ha mai parlato di orsi, scemo! Stiamo parlando di una rana!"
[9A-06] "Giustappunto! Una rana piccola e luccicante. E poi tenera, carina...oh Jean, la voglio! Mi hai promesso che me l'avresti presa e LA VOGLIO!"
[9B-06] "Non cascherò nei vostri trabocchetti un'altra volta, ragazzi."
[9C-06] "Adesso non imbrogliare..."
[9D-06] "Oh, buon signore! Non c'è nessun imbroglio! Lo prometto! E poi naturalmente sai che ti puoi fidare di me!"
[9E-06] "Allora? Ce la prendi o no?"
[9F-06] "No!"
[A0-06] "Va bene, ma questo è tutto. Basta blaterare."
[A1-06] "Oui! Naturalmente! Basta con le blatte. Attenderemo il tuo ritorno!"
[A2-06] "Bene, bene, mon frere. Quest'uomo crudele non andrà a prenderti il tuo bel ranocchio!"
[A3-06] "Sentite, schifosi imbecilli. Allungatemi la melodia o farò di voi purè!"
[A4-06] "Ah! Non ti daremo nulla!"
[A5-06] "Oui! Ah! Ora vattene e non farci perdere altro tempo!"
[A6-06] "Va bene, allora vi farò perdere la vita!"
[A7-06] "En garde!"
[A8-06] "En garde!"
[A9-06] "E' tempo di morire!"
[AA-06] "Okay, okay, ci arrendiamo...questo combattimento è troppo per noi..."
[AB-06] "Prenditela! Prenditela e vattene! Oh, Jean, penso che sverrò!"
[AC-06] "Frere Jacques, frere Jacques..."
[AD-06] "Questa è casa mia! Cosa vuoi?"
[AE-06] "Dipende da te. T'avanza qualche figlia?"
[AF-06] "Proprio niente, mio caro signore, passavo soltanto."
[B0-06] "Non ho nè figlie nè soldi per quelli come te."
[B1-06] "Bene, allora. Buona fortuna."
[B2-06] "Ti ho detto d'andartene. E attento a non trovarti la maniglia nel culo mentre esci."
[B3-06] "Sei sordo? Sparisci!"
[B4-06] "Questa è casa mia! Cosa vuoi?"
[B5-06] "Da bere, se ne hai. E i 50 denari che devi ai fratelli Fox."
[B6-06] "Mi mandano i fratelli Fox. E credo che tu sappia perché."
[B7-06] "Cosa? Sono loro che devono qualcosa a me! E ben più di 50! Diciamo pure 500!"
[B8-06] "Hai per caso i 500 che mi devono?"
[B9-06] "Paga i 50 e taglia corto, vecchio. Non so niente di questi 500."
[BA-06] "500! Hanno detto che gli dovevi 50!"
[BB-06] "Allora o sono bugiardi loro o sei scemo tu. Quale delle due?"
[BC-06] "Aspetta un maledetto minuto. Tu non gli devi niente?"
[BD-06] "Loro devono qualcosa a te? Ma che assurdità è questa?"
[BE-06] "Temo che sia così. Aspetta un momento. Non è che per caso ti hanno promesso qualcosa? Una mancia, magari, o qualcosa degna del tuo tempo?"
[BF-06] "Senti: se fossi in te tornerei indietro e me la vedrei con loro, ok?"
[C0-06] "Smamma, giovane."
[C1-06] "Faresti meglio ad andare prima che cerchino di filare via dalla città."
[C2-06] "Sono contento che ci siamo chiariti su questo pasticcio."
[C3-06] "Salve, signore, le piacciono le antichità? Ne ho collezionate per anni."
[C4-06] "Sei tu l'unica cosa che mi piace."
[C5-06] "No grazie, sto solo dando un'occhiata."
[C6-06] "Ah, ho capito che tipo sei. Io non sono quel genere di donna. Tanti saluti."
[C7-06] "Bene, allora ci si vede."
[C8-06] "Insistere non ti porterà da nessuna parte. Lasciami in pace!"
[C9-06] "Spero che la visita a Dounby le stia piacendo."
[CA-06] "Tu...di nuovo? Se non la smetti di importunarmi chiamo lo sceriffo."
[CB-06] "Quindi ti interessano le mie antichità, vero?"
[CC-06] "Senti, l'unica cosa che voglio è la rana d'argento che hai rubato ai fratelli Fox. Consegnamela subito!"
[CD-06] "Sono solo qui per riprendere la rana d'argento."
[CE-06] "E' questo che ti hanno detto? Hanno provato a comprarla da me, ma non ho voluto separarmene. E ora ti hanno mandato a prenderla."
[CF-06] "E ti pareva! Hanno cercato di comprarla da me, ma non gliel'ho venduta, nè per 50 denari nè per 1000! E adesso hanno mandato te."
[D0-06] "Quei bastardi! E' la seconda volta che me la fanno. Stento a credere che non ti sia successo prima!"
[D1-06] "Dannazione! Son già due volte che mi fregano!"
[D2-06] "Assestagli per me un bel calcio nelle gonadi quando li vedi."
[D3-06] "Da adesso in poi, ti conviene sceglierti meglio gli amici."
[D4-06] "Benvenuto a Dounby. Sono tempi bui, pochi ci fanno visita. Nonostante questo, offriamo cure e benedizioni per coloro che volessero donare qualcosa."
[D5-06] "Ha evitato le nostre trappole?"
[D6-06] "E' più forte del previsto, maestro."
[D7-06] "Voi andate alla torre. Una volta che è dentro, sigillate l'entrata. Anche se dovesse sconfiggere Mannanan, quella torre diventerà la sua tomba."
[D8-06] "Sì, mio signore."
[D9-06] "Mackay, ho un compito speciale per te. Questo Bardo sembra tener testa ai miei uomini."
[DA-06] "In effetti sì, maestro, comunque forse se ci deste un'altra possibilità magari..."
[DB-06] "Le possibilità stanno finendo, devi affrontarlo. Intercettalo prima che raggiunga la torre... portati dietro il mio cucciolo, tanto per essere sicuri che non sopravviva."
[DC-06] "Non ha più alcuna possibilità."
[15-07] "Per salvarti la vita ora ti dico, un avvertimento ascolta attento: dal profondo del cuor tuo ardito accogli il coraggio senza un lamento. Qualsiasi sia il nemico che t'attende, o qualsiasi sia la creatura immonda, la tua spada soltanto tesserà il tuo fato, perché la magia in quest'area usar non potrai."
[16-07] "Uh...l'ultima parte non era nemmeno in rima. O sì? No. Non faceva rima, no?"
[17-07] "Cosa pretendi? Improvviso. Perché non ci provi tu a startene appeso per secoli su uno stramaledetto muro?"
[18-07] "Va bene, adesso non dare aria ai denti."
[62-07] "Cathbad se la sta cavando maluccio. Questo...Bardo è già sopravvissuto ad una delle nostre trappole ed ha raggiunto vivo la torre sulla montagna. Lugh dovrebbe essere in grado di prendersene cura, ma porta con te qualche fratello e assicurati che non lasci vivo la torre."
[63-07] "Sì, mio signore."
[64-07] "Bada, non fallire. Usa ogni mezzo necessario per fermarlo. Sai cosa c'è in ballo."
[65-07] "Faremo come lei comanda."
[CA-08] "A mano a mano che il Bardo si approssimava alla Torre nella foresta, una scena che l'avrebbe molto preoccupato si svolgeva in cima ad un'altra torre, a molte leghe di distanza..."
[CB-08] "Cathbad, riunisci i fratelli. Qualcuno si sta avvicinando alla prima torre."
[CC-08] "Immediatamente, signore."
[CD-08] "Mackay... sveglia il mio... cucciolo."
[CE-08] "Sì, mio signore Fionnaoch."
[F6-08] "Hai fatto un errore a venire qui, Bardo. Non hai possibilità di superarmi, alza i tacchi e vattene."
[F8-08] "Questa volta mi prenderò io cura di te, Bardo."
[FF-08] "Oh mio eroe, finalmente posso mirare il tuo volto."
[00-09] "Di persona siete ancora più bella, milady. Un attimo soltanto e vi libererò dalla vostra prigione."
[01-09] "Sei proprio un folle, Bardo."
[02-09] "Potrei conoscere il nome di chi mi crede un folle?"
[03-09] "Non ascoltarlo, è lui quello che sta cercando di ucciderti!"
[04-09] "Sì, l'avevo notato."
[05-09] "Il mio compito è quello di fermare ogni uomo che minacci di liberare il male sulle nostre terre, e quell'uomo sei tu."
[06-09] "Ho combattuto tutta questa malvagità per liberare la principessa, affinché possa rimandare te e tutti i tuoi amici demonietti all'inferno, da dove siete venuti!"
[07-09] "Un luogo che di sicuro le è molto famigliare, visto che lei viene da lì. E' la sovrana di queste bestie di cui parla, viene dalle stesse viscere dell'inferno!"
[08-09] "Lo so che è un pò prepotente, ma non c'è bisogno d'essere maleducati."
[09-09] "Mente! Uccidi quel bastardo!"
[0A-09] "Non stai aiutando la tua causa. Vorresti insinuare che la principessa ha qualcosa a che fare con tutto quello che va storto al mondo?"
[0B-09] "La tua promessa sposa qui presente ne è la causa diretta!"
[0C-09] "Questo è troppo. Non è la mia promessa sposa!"
[0D-09] "Amor mio, non vedi cosa sta facendo? Questo è il suo ultimo disperato tentativo per impedirti di liberarmi. Gli scagnozzi che ti ha mandato hanno fallito, e ora ricorre a disperate bugie. Non lasciare che ti confonda, c'è lui dietro a tutto il male che affligge la terra."
[0E-09] "Combatterò con te, se devo, ma il nemico è lei, non io. Ti ha plagiato."
[0F-09] "Non sono uno stupido. Non è possibile che questa donna sia la fonte di tutti i mali. Voglio dire, guarda quant'è sexy, per Dio!"
[10-09] "Hai occhi, eppur non vedi. Hai orecchie, eppur non senti. Hai un cervello, eppur t'è finito nel..."
[11-09] "Arriva al punto, per favore."
[12-09] "Caleigh è stata tenuta prigioniera qui dall'ultima volta che ha tentato di far sprofondare il mondo nelle tenebre, mille anni fa. C'è voluto il potere di quattro potenti maghi per sconfiggerla ed intrappolarla, assicurando la fine del suo regno di terrore. Per tutto questo tempo ha cercato un uomo, diciamo un \"Prescelto\", perché la liberasse e potesse così tornare al potere. Temo che tu sia stato solo una pedina per lei...di cui si disfarrà quando l'avrai liberata."
[13-09] "Ecco perché odio gli appuntamenti."
[14-09] "Mio caro, dice mezze verità. Sono stata imprigionata qui, ma non da maghi, bensì da quattro demoniaci signori della guerra. Ne hai incontrati alcuni e te ne sei liberato. Sono stata io a sconfiggere le loro armate, anche se ne sono uscita indebolita. Dopo la battaglia mi hanno imprigionata qui mentre ricostituivano le loro file. Domineranno questa terra per sempre, a meno che tu non l'uccida, liberandomi."
[15-09] "Ascolta...forse ho bisogno di dormirci su."
