[01-00] "Qui Erik il Vichingo giace, a Valhalla ora combatte, così assai gli piace."
[03-09] "Non ascoltarlo, è l'uomo che ha tentato di uccidervi."
[04-09] "Sì, lo avevo capito."
[05-09] "Il mio dovere consiste nel fermare tutti coloro che minacciano di liberare il male in questa terra, e voi siete uno di loro."
[06-09] "Sto combattendo questo male per dare alla principessa la libertà di mandare voi e tutti i vostri piccoli amici demoni indietro all'inferno da dove venite."
[07-09] "Un posto che conosce molto bene visto che lei proviene da lì. È lei la regina dei demoni di cui parli, lei stessa è l'incarnazione dell'inferno!"
[08-09] "Lo so che è un po' prepotente, ma non c'è bisogno d'essere maleducati."
[09-09] "Mente!  Uccidete il bastardo!"
[0A-09] "Non peggiorate la vostra posizione. State insinuando che la principessa ha qualcosa a che fare con tutto quello che sta accadendo nel mondo?"
[0B-09] "La vostra fidanzata è la causa diretta di tutto!"
[0C-09] "State esagerando.  Lei non è la mia fidanzata!"
[0D-09] "Amore mio, non vedete ciò che sta facendo?  Questo è il suo ultimo disperato tentativo per impedirvi di liberarmi. I servi che vi ha inviato contro hanno fallito, così sta ricorrendo a raccontarvi delle disperate menzogne. Per favore, non lasciare che vi confonda, è lui che sta dietro agli attacchi maligni nel mondo."
[0E-09] "Vi combatterò se è necessario, ma lei è il nemico, non io.  Lei vi sta soggiocando, imbecille."
[0F-09] "Non sono stupido. Questa donna non può essere la radice di tutto il male. Al diavolo accidenti, guardatela com'è splendida."
[10-09] "Avete gli occhi, ma non vedete. Avete le orecchie, ma non sentite.  Avete un cervello, ma è situato nel vostro..."
[11-09] "Andiamo al punto, per favore."
[12-09] "Caleigh è stata tenuta prigioniera qui dall'ultima volta che ha tentato di far sprofondare il mondo nelle tenebre, mille anni fa. C'è voluto il potere di quattro potenti maghi per sconfiggerla ed intrappolarla, assicurando la fine del suo regno di terrore. Per tutto questo tempo ha cercato un uomo, un "Prescelto" se preferite, capèace di liberarla per poter tornare al potere. Temo che tu sia stato solo una pedina per lei... di cui si disfarrà una volta liberata."
[13-09] "Ecco perché odio legarmi."
[14-09] "Mio caro, lui parla a mezze verità. Fui imprigionata qui, non dai maghi, ma da quattro signori demoniaci. Hai visto alcuni di loro e li hai sconfitti tu stesso. Fui io a sconfiggere le sue armate sebbene questo mi abbia indebolita. Dopo la battaglia mi rinchiusero qui mentre riorganizzarono le loro forze. Governeranno queste terre per sempre se non lo uccidi e non mi liberi."
[15-09] "Ascoltate... Penso che su questo ho bisogno di riflettere."
[16-09] "Dovete decidere in fretta amico mio, il tempo sta finendo."
[17-09] "Guardate nel vostro cuore amore mio. Liberatemi."
[18-09] "È arrivata l'ora. Il Bardo era costretto a scegliere, e sapeva che doveva farlo con saggezza."
[19-09] "Se tu stessi per chiedermi la mia opinione, e saresti molto saggio a farlo visto che sono un'eccellente intenditore delle persone. Per me qui è chiaro chi è la vittima debole e indifesa e chi è il mascalzone desideroso di imprigionarla. Trucidare quel vile furfante e salvare la bella damigella, sono sicuro che è la direzione corretta da seguire."
[1A-09] "Sì, in realtà, se guardo profondamente nel mio cuore, posso solo arrivare ad una logica conclusione."
[1B-09] "Qual è amore mio?"
[1C-09] "Mai fidarsi di una donna."
[1D-09] "Cosa?"
[1E-09] "Non lo sapete già? C'è sempre un rovescio della medaglia, no? Dammi denaro... ara i campi... tirami fuori dalla mia prigione magica per schiavizzare tutta l'umanità! Ed io ci casco... di nuovo!"
[1F-09] "Succede nelle migliori famiglie."
[20-09] "Ma noi due, si suppone che siamo..."
[21-09] "Oh lasciate stare! Mi avete solo usato fin dal principio."
[22-09] "E voi siete stato regalmente coraggioso."
[23-09] "Non più. Sai, questa bellissima donna appare in una nuvola di fumo e un lampo di luce, ma poi improvvisamente si trasforma in una specie di diabolica creatura! Perché perdo sempre i piccoli dettagli? Bè, lasciami che ti dica questa cosa, è finita!"
[24-09] "C'è qualcosa che possa farvi cambiare opinione?"
[25-09] "Non c'è niente che possa farmi cambiare opinione."
[26-09] "Neanche un bacio?"
[27-09] "Cosa?"
[28-09] "Lo sapete, un bacio. Un semplice bacio. È il solo modo per dimostrarvi quello che sento veramente."
[29-09] "Oh... beh. Ahh..."
[2A-09] "Stai attento Bardo."
[2B-09] "E che diavolo... ho fatto tutta questa strada.  Voglio dire... un bacio non ha mai ucciso nessuno, giusto?"
[2C-09] "Stupido mortale, hai avuto la possibilità di regnare al mio fianco e di vivere eternamente... ma ora morirai... come quel cane che sei!"
[2D-09] "Ho cercato d'avvisarvi."
[2E-09] "Sono io, oppure è ancora focosa?"
[2F-09] "Preparati per un'esperienza atroce che durerà per l'eternità."
[30-09] "Ve l'ho già detto... questa relazione è finita."
[31-09] "Devo dire che era piuttosto impressionante."
[32-09] "Hai bisogno di mostrargli chi comanda o ti calpesteranno per tutta la vita."
[33-09] "Ora che lei è andata, le cose ritorneranno alla normalità. I raccolti cresceranno e i morti rimarranno nelle loro tombe. Hai quasi distrutto la vita così come la conosciamo, ma ti sei redento."
[34-09] "Mostratemi soltanto la via d'uscita da questa dannata torre."
[35-09] "Bene amico mio, siamo di nuovo in affari."
[36-09] "La promessa di amore e ricchezze, perduti. La vicina distruzione del mondo come lo conosciamo. Morte, miseria e caos. Sotto il peso di tali sofferenze molti uomini possono uscirne cambiati, alcuni per il meglio, altri per il peggio..."
[37-09] "Il cuore è solo un muscolo... Né più, né meno."
[38-09] "Forse vi ho sottovalutato."
[39-09] "Quelli che sono abbastanza stupidi per pensare che il cuore è in qualche modo connesso con l'amore, qualunque cosa sia, stanno vivendo in un mondo fantastico, amico mio."
[3A-09] "D'altra parte, dopo tutto può essere che avevi ragione."
[3B-09] "Il cuore è solo una pompa che fa circolare il sangue dove è necessario, questo è quello che mi interessa... se capisci quello che voglio dire."
[3C-09] "Forse ho avuto sempre ragione."
[3D-09] "E dopo aver visto Caleigh e aver sentito la vostra storia..."
[3E-09] "Volete dire la verità..."
[3F-09] "Bè, devo dire che sono tormentato. Normalmente in una situazione così, lancio una moneta in aria."
[40-09] "Ho una moneta proprio qui."
[41-09] "Ma, dal momento che lei è splendida e tu no, e visto che lei ha tutti i soldi di cui potrei mai aver bisogno, perché perdere altro tempo? Mi dispiace ma la tua storia non sta in piedi. Lei avrebbe mille anni? Ma per favore!"
[42-09] "Sapevo che potevo contare su di voi amore mio."
[43-09] "Se quel vostro cuore pompasse del sangue nell'altra testa, capireste quale scelta catastrofica avete fatto."
[44-09] "Cosa, siete cieco?  Guardatela!"
[45-09] "Se vi schierate con Caleigh, questa terra sprofonderà per sempre nelle tenebre."
[46-09] "I miei miglior lavori li faccio nell'oscurità."
[47-09] "Siete davvero un idiota. La vostra stupidità si arresterà qui... Preparatevi a morire."
[48-09] "Molto bene. Aspetta principessa, sarò di ritorno in un minuto... Beh, facciamo due."
[49-09] "Il mio sangue ribolliva per voi mentre combattevate. L'avete fatto, mi avete liberata."
[4A-09] "Basta con le parole principessa."
[4B-09] "Prima che ci abbracciamo, devo assumere la mia vera forma."
[4C-09] "Pensavo che questo non accadesse prima di dieci anni di matrimonio."
[4D-09] "Oh, questo vi piacerà."
[4E-09] "Oh merda! Quel tipo cadavere aveva ragione! Siete la Regina dell'Oscurità!"
[4F-09] "Certamente, ma che importanza ha?"
[50-09] "Che effetto fa essere al fianco della sovrana degli inferi?"
[51-09] "Tutte le donne con cui sono stato legato si sono dimostrate donne infernali. Adesso che è una cosa vera, potrebbe anche essere divertente."
[52-09] "Fu così che il Bardo ottenne tutto quello che il suo cuore aveva desiderato... naturalmente al costo del resto del mondo. Così si conclude il Racconto del Bardo. Finalmente la fine... Pensavo che mai mi sarei liberato di lui... non chiedetemi di leggere di nuovo questo racconto deficente."
[53-09] "Molto bene... ho preso la mia decisione."
[54-09] "Dannazione, è già ora."
[55-09] "Non emozionatevi tanto, non vi ho scelto."
[56-09] "Scegliete Caleigh?"
[57-09] "Non ho detto neanche quello."
[58-09] "Ditemi, o mio campione, che cosa avete deciso?"
[59-09] "Una scelta molto logica... Me."
[5A-09] "Avete scelto voi?"
[5B-09] "Esattamente."
[5C-09] "Che diavolo significa questo?  Che razza di scelta è questa?"
[5D-09] "Per quanto mi riguarda... Un'ottima scelta."
[5E-09] "Ma per quanto riguarda il nostro futuro?"
[5F-09] "Bene lasciate che guardi nella nostra palla di cristallo... se combatto con chiunque di voi, potrei morire. Se uccido uno di voi, ed è quello sbagliato, in embrambi i casi finirebbe o con l'inferno sulla terra oppure con una relazione infernale... letteralmente. Quindi combattere non mi sembra una gran bella idea."
[60-09] "Anche se combattere può salvare la vita così come la conosciamo?"
[61-09] "Lascerò a voi due il compito di venirne a capo. Nel frattempo, questi zombie non sono così terribili."
[62-09] "Questo è inaccettabile, miserabile piccolo sorcio. Voi mi libererete, e lo farete adesso!"
[63-09] "Io governerò questa terra e voi sarete al mio fianco!"
[64-09] "C'è uno sviluppo.  Sono tentato... e stranamente eccitato.. Tuttavia preferisco ancora andar via.  Buona fortuna, e oh... non dimenticate di scrivere!"
[65-09] "Ritornate qui codardo infedele, e inchinatevi davanti alla regina!"
[66-09] "Ritornate qui stupido deficente, e uccidete la regina!"
[67-09] "Voi due avete seri problemi di auto-controllo, lo sapete, vero?"
[68-09] "Chi ha detto che gli zombie non sanno divertirsi?"
[69-09] "Dunque.. morite spesso qui?"
[6A-09] "Così il Bardo decise di prendere il sentiero breve e stretto, altrimenti conosciuto come la strada facile, verso il bar più vicino. Con la sorte del mondo ovviamente lontana dalla sua testa, che a detta di tutti, è occupata solo da soldi e da scollature, il Bardo si fece qualche bicchiere con i suoi nuovi amici, finchè... bè questa è un'altra storia."
[BE-0B] "...eccetto il Bardo, perché le cose del Bardo finirono allo stesso modo in cui incominciarono."
[BF-0B] "Bene amico mio, siamo nuovamente in affari.."
[C1-0B] "Si mio signore, abbiamo tenuto sotto sorveglianza il passo al nord come avete ordinato. Presto entrerà in città."
[3F-0D] "Perfino adesso trovate il modo di contattare il vostri servi. Questo vostro nuovo pretendente non farà meglio degli altri."
[40-0D] "Svegliati, Herne."
[41-0D] "Fionnaoch. Perchè distrurbi la mia veglia?"
[42-0D] "La donna è riuscita di nuovo a inviare un messaggio ad un suo spasimante. Uno di loro si avvicina alla tua torre sperando di liberarla."
[43-0D] "Dopo tutto questo tempo lei è ancora forte."
[44-0D] "Occupati di questo intruso. Sto inviando i miei uomi per aiutarti. Non c'è bisogno di ricordarti che conseguenze avrebbe un tuo fallimento."
[45-0D] "Lo fermerò."
[46-0D] "I fratelli si stanno radunando mio Signore. Aspettiamo istruzioni."
[47-0D] "Portate gli uomini alla torre di Herne, gli ho promesso il nostro aiuto. Una volta fatto, partite per le montagne. Se dovessero fallire occorrerà fermarlo là."
[48-0D] "Sarà un piacere, maestro."
[49-0D] "Mentre il Bardo tentava di compiere la sua missione e salvare la Principessa, cresceva la disperazione del nemico per mettere fine ai sui sforzi."
[4A-0D] "Lugh."
[4B-0D] "Herne ha fallito."
[4C-0D] "Per nessuna altra ragione disturberei la vostra veglia."
[4D-0D] "Ho sempre pensato che fosse un debole. Quindi l'uomo che ha sconfitto Herne, sta venendo per rendermi visita?"
[4E-0D] "È quasi arrivato."
[4F-0D] "È passato tanto tempo dalla mia ultima sfida, dovrebbe essere divertente."
[50-0D] "Non sottovalutare quest'uomo Lugh. È... formidabile."
[51-0D] "Formidabile come me? Lo dubito."
[52-0D] "Per quanto remota sia la possibilità che riesca, vi consiglio ancora una volta di usare cautela. Vi sto inviando alcuni dei miei servi per aiutarvi nel caso..."
[53-0D] "Non offendetemi. Mi prenderò cura di questo problema e lo farò senza il vostro aiuto. Ci risentiamo di nuovo quando è morto."
[54-0D] "Che uomo insopportabile."
[55-0D] "Tuttavia, anche tali uomini servono a qualcosa, vero Fionnaoch?"
[56-0D] "Mi chiedevo quando avresti ripreso conoscenza. Speravo di poter fare a meno della tua compagnia per un altro po'."
[57-0D] "Non siete cambiato molto, non avete mai fatto niente di garbato. Il mio campione sta venendo a liberarmi Fionnaoch, ho finalmente trovato l'uomo giusto."
[58-0D] "Resta da vedere."
[59-0D] "Se è troppo per i vostri uomini, forse dovreste andare personalmente ad affrontarlo."
[5A-0D] "Silenzio."
[5B-0D] "O è forse per mantenervi nelle vicinanze di questa prigione in cui mi avete rinchiusa? Non state usando troppi dei vostri poteri per tenermi imprigionata? Avete abbastanza poteri per sconfiggere il Bardo quando vi raggiungerà? Mi chiedo..."
[5C-0D] "Basta!"
[5D-0D] "Ho poteri a sufficienza per potermi occupare di entrambi, "principessa".  Fareste meglio a ricordarvelo."
[5E-0D] "Cosa sta cercando di fare questo vostro Bardo, donna? Perché viene nella mia città? Non può sperare di liberarvi, la torre dell'isola resiste ancora."
[5F-0D] "Non credo di capire di cosa stiate parlando, "lord" Fionnaoch."
[60-0D] "Lui fallirà, Caleigh, e allora rafforzerò mille volte di più la resistenza delle vostre catene. Non sarete mai libera."
[61-0D] "Con la Torre dell'Isola ormai prossima, il lungo viaggio del Bardo stava volgendo al termine. A miglia di distanza e all'insaputa del nostro eroe, si stava svolgendo una scena alquanto familiare."
[62-0D] "Ogni volta ostacola i miei piani! Prima Cathbad e poi la mia Mascotte! Che tipo di mostro avete arruolato contro di me Caleigh? Chi è questo Bardo? Dove lo avete trovato?"
[63-0D] "Non è nessuno, Fionnaoch. Un vagabondo, un semplice uomo arruolato in una nobile causa, per combattere e sconfiggere un tiranno. Una storia familiare, non trovate?"
[64-0D] "Non prendetemi in giro. Un uomo comune, dite? Non penso. Ha lasciato dietro di sè una scia di caos e distruzione, nessun uomo comune avrebbe potuto battere Herne e poi Lugh. Tuttavia, mi fornite uno spunto interessante."
[65-0D] "Sarebbe?"
[66-0D] "Lo scoprirete quando sarà qui. Comincio a sospettare che possa arrivare fin qui."
[67-0D] "Ammettete la sconfitta? Questo non è da voi."
[68-0D] "Ammetto soltanto la possibilità che possa raggiungere questa torre vivo. Naturalmente allora dovrò occuparmene."
[69-0D] "Mannanan."
[6A-0D] "Sento dei cambiamenti nel vento, Fionnaoch. Che cosa sta succedendo?"
[6B-0D] "Herne e Lugh hanno fallito. Soltanto noi siamo rimasti tra Caleigh e la sua libertà."
[6C-0D] "Allora dobbiamo resistere."
[6D-0D] "Come dicevate. Mannanan, quest'uomo che si avvicina alla vostra torre, è potente."
[6E-0D] "Un singolo uomo è riuscito ad annientare Herne e Lugh?"
[6F-0D] "Esatto. Molto dipende dalla vostra abilità nel fermarlo."
[70-0D] "Se dovessi fallire mi vendicherete."
[71-0D] "Lo farò."
[72-0D] "È emozione oltre a rabbia quello che sento nella vostra voce Fionnaoch?"
[73-0D] "Vi sorprenderebbe cosa gli anni possono fare ad un uomo."
[31-12] "Bè, andrei via con la ragazza, sicuramente. Intendo, non tutti i giorni si incontra una dama con i suoi... ummm attributi."
[32-12] "Non avete visto abbastanza per sapere che vi sta usando? Pensate a tutti gli altri che lei ha ingannato per liberarla, erano tutti Eletti. E anche, tutti morti."
[33-12] "Me penso la graziosa dama è piacevole. Uomo è molto brutto e cattivo che ha tentato di far male ad amici. Io schiaccio lui se dite cosi amico Bardo."
[34-12] "Capisco quando le apparenze possano ingannare e qui d'inganno ne sta avvenendo uno bello grosso. Non tutti i conti tornano, Bardo. Penso che il Druido stia dicendo la verità."
[35-12] "Questo Druido ha di certo un aspetto maligno. Per quanto ne sappia è l'unico che ha provato ad uccidervi, penso che la scelta sia scontata."
[36-12] "Una Dama di nobili natali non si abbasserebbe all'inganno. Questo Druido, da parte sua, è un plebeo senza onore, come voi. Temo che non ci si possa fidare."
[37-12] "Beh, ecco una scelta difficile... da un lato questo Druido che ha provato ad uccidervi ma d'altro canto la Dama che sembra troppo bella per essere vera. Non so, ma sono sicuro che sappiate fare la scelta giusta!"
[38-12] "Normalmente non mi metterei dalla parte del ragazzone, ma quello che dice ha senso. Non posso immaginarmi, in ogni caso, nessun motivo perché una principessa vera dovrebbe provare interesse per voi."
[39-12] ""
[3A-12] "Ehm.. Molto bene, allora."
[3B-12] "Credo di ricordare, nei miei giovani e più tangibili giorni, qualcosa su una regina malvagia incatenata. Questa Caleigh potrebbe essere la stessa Dama. Io starei attento con lei se fossi voi."
[3C-12] "Una scelta difficile eh, maestro? Ascoltate quello che vi dice il cuore e non sbaglierete. Personalmente, non vedo il fascino nella principessa... Ma questo Druido alto, scuro e misterioso... mi deciderei a favore di lui."
[B8-14] ""
[BE-14] ""
[1D-15] "Fionnaoch"
[27-15] ""
[04-16] "Oh, è una sfortuna esser te. Un prescelto fra molti cosa nuova non è.  Quando pensi di esser fortunato Una mazzata nelle palle riceverai.  Oh, che sfortuna esser te.  E' tempo d'affrontar la propria realtà.  C'è una cosa che possiam dirti con certezza.  Ecco tu che sei stato scelto, anche se ti sei opposto.   Immagino che eri il solo canditato.  Oh, che sfortuna esser te.  Mai si avvererà la profezia.  In salamoia sarai cotto, tipico di chi ha paura di uno schiocco.  Oh, che sfortuna esser te.  Stiam arrivando alla fine della nostra storia.  Stiam cantando molto e bevendo la birra tutta in un sorso.  Sei un imbroglion molto grazioso, e per questo che ti applaudiam.  Benchè noi tutti speriam che tu fallisca.  Oh, che sfortuna esser te.  Non pensar neanche un secondo che non sian vero.  Quando pazzo omicida diventerai vedrai che bastardo sarai.  Oh, Che gran sfortuna esser te, davvero una sfortuna e nessuno può dir il contrario, dannatamente garantito sei, che sfortuna esser te!  Sì, è così."
