[01-00] "Qui Erik il Vichingo giace, a Valhalla ora combatte, così assai gli piace."
[0B-02] "Ancora là?"
[0C-02] "Verificavo se eri ancora in vita. Se qualcuno entra e mi trova che sto parlando da solo, sarebbe troppo imbarazzante."
[0D-02] "Verificavo che tu fossi ancora in buona salute."
[0E-02] "Questa sembra proprio la cosa che mi ci vuole per attraversare quelle porte con i grandi Corvi davanti. E questa cos'è? Una mappa, eh? Vediamo... qui sono stato, e qui... ah, Dounby... questo sembra interessante."
[0F-02] "Vediamo, hmm... Un vichingo morto che tiene la pietra di cui ho bisogno. Hmm... Sei sicuro che non ti sveglierai proprio adesso che ci sono io?"
[10-02] "Ciao? Che fai, ti sveglierai?"
[11-02] "Oh andiamo, sappiamo entrambi che ti sveglierai quando meno me lo aspetto. Tanto vale farla finita e farlo adesso."
[12-02] "Lo sapevo, lo sapevo, lo sapevo. Voi nordici sembra che non sappiate quando rimanervene morti!"
[13-02] "Forse non nel Valhalla, ma nella tua tomba ti rivedrò molto presto."
[14-02] "Sono solo io? Oppure ha incominciato a fare improvvisamente caldo, qui dentro?"
[15-02] "Prendi me, altrimenti."
[16-02] "ooh si è fatto un po' più freddo."
[17-02] "Cos'è successo?"
[18-02] "Hahahahahahaha! Una cosa del genere non ha prezzo! Cosa avrei dato per esserci anch'io. Hahahahaha."
[19-02] "È un peccato essere intrappolati in questa tomba, certo, ma quello che non ha senso è essere bloccati entrambi qui. Perché non mi presti la pietra così che io possa uscire da qui?"
[1A-02] "Devi scusarmi, non credo di essermi spiegato bene. Dammi la pietra o ti sbudello!"
[1B-02] "Per piacere, mi daresti la pietra?"
[1C-02] "Forse non sarò in grado di batterti, ma ti renderò insopportabile quel poco che ti resta da vivere!"
[1D-02] "E tu ti definisci un vichingo? Starai lì seduto a piagnucolare sul tuo sgabello o farai qualcosa per risolvere il problema?"
[1E-02] "Scommetto che non riusceresti a fare male ad un trow. Berserker? Non farmi ridere."
[1F-02] "Fortuna del principiante!"
[20-02] "Vuoi dire sciogliersi."
[21-02] "Mah, mi sorprende che tu riesca a contare così tanto."
[22-02] "Hehe robetta da nulla, ma dato che tiri fuori i numeri, credo che tu sia rimasto indietro."
[23-02] "Non è ora che tu ti infilzi con la tua stessa spada?"
[24-02] "Posso schiacciare un pisolino mentre cerchi di raggiungermi?"
[25-02] "Mantenere il passo è un termine relativo."
[26-02] "Stavo per chiederti la stessa cosa!"
[27-02] "Aspetta un minuto. Io ho sconfitto un mucchio di nemici. Non mi vuoi riprendere?"
[28-02] "Oh dai, non possiamo risolvere la cosa a parole? Voglio dire: potremmo andare laggiù, in una di quelle stanze e discuterne privatamente."
[29-02] "Che cosa? Ma come farò ad uscire di qua?"
[2A-02] "Ah sapevo che avrest..."
[2B-02] "Cavolo, mi aspettavo qualcuno un po' più... umano, direi."
[2C-02] "E quello cos'è?"
[2D-02] "Darò un'occhiata, molte grazie."
[2E-02] "Sì, infatti."
[2F-02] "Preferirei una ricompensa più concreta, se non ti dispiace."
[30-02] "Ehi, non sto scherzando!  Farai meglio ad avere qualcosa per me altrimenti ti trascino qui e ti ficco nel ghiaccio!"
[31-02] "Hmm questa parete non mi sembra in ottima forma, suppongo non costruiscano le belle tombe gelide d'un tempo piene di zombie assetati di vendetta."
[32-02] "Non hai idea di quanto mi si scaldi il cuore nel sentirtelo dire.  Dammi un momento: voglio scriverlo nel mio diario."
[33-02] "Ancora tu? Vediamo di finirla."
[34-02] "Parole da duro per uno con un piccolo esercito alle spalle. Mi temi così tanto?"
[35-02] "Sempre meglio che battersi come un trow!"
[36-02] "Tenterò la fortuna!"
[37-02] "Solo una domanda.  Chi vuole morire per primo?"
[38-02] "E' stato molto sgradevole.  E l'ultima volta che accetto consigli per le vacanze da parte di un Trow."
[39-02] "Parli del diavolo..."
[3A-02] "Non arrabbiarti, un accordo è un accordo.  Ecco la tua preziosa spada.  Adesso tocca a te mantenere la tua parte."
[3B-02] "Ah, la spada. Concordo, fa parte dei tuoi averi. Lascia che ti ringrazi per l'ospitalità di prima. Ecco, prendi."
[3C-02] "Riflessi scarsi amico mio.   Beh, sai come si dice? Vivi e impara, o nel tuo caso..."
[3D-02] "Qual è il problema, signore?"
[3E-02] "Davvero? Non sai che il freddo è solo una questione mentale?"
[3F-02] "Mio cugino una volta mi disse che quasi tutto il caldo scappa per la testa. Quindi, se hai i piedi freddi, mettiti un cappello."
[40-02] "Lo farò."
[41-02] "Quindi sei tu quello che ci sta causando tanti problemi. A dire la verità sono un po' sorpreso, ti credevo più... temibile."
[42-02] "Dato che controllo il tuo destino, non penso che tu abbia nulla da chiedermi. Non trovi?"
[43-02] "Se stai parlando al tuo creatore, potresti dirgli che lo vedrai molto presto. Addio."
[44-02] "A dire la verità non mi aspettavo di vederti qui, mi congratulo con te per essere arrivato così lontano, forse hai dei talenti che sfuggono a prima vista."
[45-02] "Sempre spiritoso, eh?  Adesso le tue battute non ti serviranno."
[46-02] "Quanta spacconeria. Mi domando... se puoi davvero permettertela."
[47-02] "Se avrò paura è tutto da vedere. Lasciate il Bardo a me! Preparati!"
[48-02] "Ovviamente... Uccidetelo!"
[49-02] "Prendetelo!"
[4A-02] "Ti ucciderò con le mie mani, allora!"
[4B-02] "Oh mio Dio! È possibile? Sento il mio soccorritore?"
[4C-02] "E poi dicono che la cavalleria è morta.  Ascolta, o valoroso, ho esplorato questa tomba per settimane e tutto era tranquillo fino a qualche giorno fa. Poi questi Draugr zombie hanno cominciato a risorgere. Sono rimasto bloccato da una frana mentre provavo ad uscire da questo luogo maledetto. Puoi tirarmi fuori da qui?"
[4D-02] "Ah, qui c'è qualcuno; temevo di aver perso la testa. Ho esplorato questa tomba per settimane e tutto era tranquillo fino a qualche giorno fa. Poi questi Draugr zombie hanno cominciato a risorgere. Sono rimasto bloccato da una frana mentre provavo ad uscire da questo luogo maledetto. Puoi tirarmi fuori da qui?"
[4E-02] "Anche privo degli occhi, è facile vedere come lavora la tua mente. Malgrado io non abbia ciò che desideri, potrei essere in grado di offrirti qualcosa che potrebbe servirti in questo posto orribile."
[4F-02] "Vista la mia situazione, non posso certo fare lo schizzinoso, per quanto riguarda i miei salvatori. Fammi uscire e saprò ricompensarti."
[50-02] "Ti ringrazio, straniero. Non ho molto, ma se riuscirai a farmi uscire, avrò una ricompensa per te."
[51-02] "Oh bene, mio eroe."
[52-02] "Ascolta, forse siamo partiti con il piede sbagliato. Permettimi di dire umilmente... AIUTAMI!"
[53-02] "Sei ancora là? Hai trovato un modo per aiutarmi?"
[54-02] "Scusami, hai detto qualcosa?  Ho la cattiva abitudine di ignorare le stupidaggini incomprensibili.  Hai trovato il modo di farmi uscire?"
[55-02] "Hai trovato il modo di farmi uscire?"
[56-02] "Sì: non vorresti mai essere dove sono io.  Spero possa servirti."
[57-02] "Ho trovato una strana pietra che potrebbe esserti utile. C'è su scolpito un corvo. Credo che sia un sorta di chiave.  Se vai verso nord dovresti inciamparci sopra. Oppure... aspetta... è a nord che c'è il pozzo senza fondo?  Non ricordo. Beh, vai verso nord, sono certo che almeno a uno di noi due farà piacere."
[58-02] "Avevo una strana pietra che ho trovato qui. C'era su scolpito un corvo; un oggetto davvero pregevole. Penso sia una qualche sorta di chiave. L'ho lasciata al mio campo; dovevo scappare dai Draugr. Potrebbe esserti utile."
[59-02] "Silenzio là fuori. Sto pregando perché tu ti rompa una gamba."
[5A-02] "Ok. Ascolta; sei il mio salvatore o il mio torturatore? Scendi da quel maledetto recinto!"
[5B-02] "Grazie al cielo sei tornato."
[5C-02] "No, penso che sia tu."
[5D-02] "Per favore, aiutami. Non penso di poter resistere ancora a lungo."
[5E-02] "Certo. Vedi questa grande roccia sopra di te?  Tutto quello che bisogna fare è starci sotto, quindi gridare il più forte possibile."
[5F-02] "Quando sarò uscito da qui, tu ed io dovremo fare una lunga chiacchierata a proposito delle buone maniere."
[60-02] "Ho un'altra di quelle strane chiavi di pietra con me, l'ho trovata nella frana. Però la forma è differente rispetto all'altra: su di essa c'è scolpito un albero."
[61-02] "Prego e imploro, eppure ancor vive."
[62-02] "Non hai qualcun altro a cui dare false speranze?"
[63-02] "Sia lodata la tua anima per la tua valorosa tenacia."
[64-02] "E' a te che lo devo, amico mio. Vivo soltanto per deluderti."
[65-02] "Non credo che mi muoverò da qui a breve. Di certo non fisicamente."
[66-02] "Se mi trovi agonizzante, ti chiedo solo un favore. C'è una pillola di veleno nella mia tasca sinistra. Se vuoi metter fine alla mia sofferenza, prendila, e poi inghiottila!"
[67-02] "Ma che razza di bardo sei?"
[68-02] "Per adesso sto bene, ma, di grazia, vedi di sbrigarti."
[69-02] "Buona fortuna nell'uscire da qui, odioso idiota."
[6A-02] "Grazie per avermi liberato, amico. Sapevo che ce l'avresti fatta! Ho qui una pietra che ci permetterà di attraversare alcune di queste porte; portami fino ad esse e, se potrò, le aprirò."
[6B-02] "Bah, voi umani date molta importanza all'aspetto; noi firbolg sappiamo cos'è importante nella vita."
[6C-02] "Scavare le profondità della terra, scoprire ricche vene d'oro, la soddisfazione di un duro giorno di lavoro."
[6D-02] "Prima, almeno, sono uscito da quel posto..."
[6E-02] "Non pensavo che sarei uscito vivo da lì; ti sono debitore."
[6F-02] "Buona Fortuna, amico mio. Se mai capitassi a Stromness, cercami. Ti devo un favore."
[70-02] "Ah, spiritosone! Addio."
[71-02] "Benvenuto nel mio modesto accampamento, egregio signore. Potrebbe interessarti una spada?  Questa particolare spada fu usata dal grande eroe Peredur per..."
[72-02] "Ah, vedo che sei un uomo dotato di spirito di osservazione."
[73-02] "Questo miscuglio permette a me e al mio culo di ignorare gli effetti del freddo."
[74-02] "Puoi provare, magari anche riuscirci, ma odierei vedere le ultime gocce di questo prezioso miscuglio spagersi sulla terra che seppellirà il tuo culo gelato per l'eternità."
[75-02] "Ma saresti amico mio se non avessi qualcosa di cui tu hai tanto bisogno?"
[76-02] "Non bisogna che sprechi la tua energia, mio rude farabutto, ma dovrai sborsare un po' d'argento per questo caldo miscuglio."
[77-02] "Farò finta che sia il freddo a renderti scorbutico, e dividerò il mio miscuglio ad un giusto e scontatissimo prezzo."
[78-02] "Molto bene, sembri un tipo dall'animo buono.  Ecco, bevi un gran sorso del mio magico miscuglio; offre la casa."
[79-02] "Ah, e non dimentichiamo che è potenzialmente letale."
[7A-02] "Sono Gower e sei caduto nella mia trappola! Ora parliamo del vero prezzo di questo miscuglio."
[7B-02] "Adesso che hai bevuto dal mio boccale, ti ho in mio potere. Finché la maledizione non sarà rotta, rimarrai imprigionato in questa montagna desolata per l'eternità."
[7C-02] "Nella montagna si trova la spada Casgair, una spada destinata ad essere la mia rovina. Mi porterai questa spada, e solo allora la maledizione sarà estinta e tu sarai libero. In parole povere, portamela o morirai su questa montagna."
[7D-02] "Le disgrazie ancora non sono finite, ragazzo mio. Vedo che hai la mia spada, ora dammela."
[7E-02] "Sì sono io e ti ricordo di una certa maledizione... ma come promesso ti sarà tolta quando mi darai quella spada!"
[7F-02] "Finalmente! È davvero bella, non credi? Grazie, amico mio. Mi dispiace per il modo in cui ti ho trattato, ma sembrava l'unico possibile. Riguardo alla mia parte dell'accordo, non solo la maledizione è cessata, ma qui c'è un altro pegno della mia stima. Ah, ed avrai bisogno di una spada per difenderti."
[80-02] "Bah, rovini la sorpresa di Hrafn! Ma non ruberai la chiave di pietra di Hrafn, piccolo uomo."
[81-02] "Occorrerà qualcosa di meglio di te per spedire Hrafn nel Valhalla."
[82-02] "Una Valkyria!  Siete finalmente venuta per portare Hrafn al Valhalla?"
[83-02] "Ma non fu colpa di Hrafn! Sarebbe potuto succedere a chiunque."
[84-02] "Hrafn si è sbudellato con la propria spada."
[85-02] "Mi sono stancato di te..."
[86-02] "Bah, se Hrafn non esce da qui, di certo neanche tu lo farai."
[87-02] "Una minaccia funziona solo se puoi mantenerla; non puoi battere Hrafn, piccolo uomo."
[88-02] "No."
[89-02] "Vattene, piccolo uomo. Dai noia a Hrafn."
[8A-02] "Non fare arrabbiare Hrafn, Bardo. Tu lo sai che Hrafn è un berserker."
[8B-02] "Cosa??!!!? Hrafn ti mostrerà cosa può fare! Mostra ad Hrafn dei nemici, Hrafn li ucciderà tutti."
[8C-02] "Hah! Uno in meno, Bardo; hai mai visto una testa volare così lontano?"
[8D-02] "Hrafn sta solo iniziando a scaldarsi!"
[8E-02] "Hai visto?"
[8F-02] "Di chi è questa tomba?  E' la tomba di Hrafn!"
[90-02] "Batti questo!"
[91-02] "Adesso Hrafn fa quello che Hrafn fa meglio!"
[92-02] "Chi ne vuole ancora? Stai tenendo il passo con Hrafn, Bardo?"
[93-02] "Ecco, Bardo! Ora sai che Hrafn non è un debole. Adesso Hrafn ritornerà alla stanza del trono di Hrafn... a meditare."
[94-02] "Lode a Woden; si parte per il Valhalla, un combattimento al giorno ed un festino ogni notte fino all'arrivo del Ragnarok."
[95-02] "Addio Bardo. Eri un nemico valoroso ed un amico sincero, puoi avere la pietra di Hrafn."
[96-02] "Spero che tu non ti offenda se dico che sono impressionato dalla maledizione che grava su di te.  Mortale direi, e molto potente. Se fossi in te, prenderei la spada di cui lui parla o farei testamento. Wow... impressionante. Davvero un bel lavoro."
[97-02] "Prendilo, Cathbad!"
[98-02] "Fagli vedere!"
[99-02] "Ooooh scommetto che fa male!"
[9A-02] "Combatti come una vecchietta!"
[9B-02] "Do il Bardo perdente 4 a 1, chi scommette?"
[9C-02] "Uccidilo!"
[9D-02] "Schiaccialo!"
[9E-02] "E così il Bardo si avventurò nelle montagne insidiose, non sapendo quali orrori lo aspettavano tra le scoscese vette..."
[9F-02] "Una tempesta di neve infuriava tra le montagne fermando l'avanzare del Bardo che non aveva modo di proteggersi dal freddo pungente."
[A0-02] "Il nostro stimato eroe era un po' lento nel capire che non avrebbe fatto progressi davanti alla fredda tempesta."
[A1-02] "In nome del cielo, non puoi andare in quella direzione fino a quando non troverai il modo di ripararti dal freddo, stupido che non sei altro!"
[A2-02] "Per una volta, con la sorpresa e l'approvazione di tutti, il Bardo rimase senza parole."
[A3-02] "Il nostro eroe era sotto un potente incantesimo, e doveva ubbidire agli ordini del Trow per non morire in maniera terribile."
[A4-02] "La magia del Trow era invero potente."
[A5-02] "Per quanto mi piaccia vederti soffrire, ti suggerisco di prendere la spada."
[A6-02] "E siamo in due."
[A7-02] "Ricordando la maledizione del Trow, il Bardo si mosse per tirare la spada fuori dal suo luogo di dimora fra i ghiacci."
[A8-02] "Come dicevo... ricordando la maledizione del Trow, il Bardo si mosse per tirare fuori la spada dal suo luogo di dimora fra i ghiacci."
[A9-02] "Oh tira fuori quella maledetta cosa!"
[AA-02] "Guardate la favolosa spada Casgair liberata dai secoli di prigionia nel ghiaccio dalle mani del nostro impavido eroe."
[AB-02] "Ah... la mia parte preferita della nostra favola."
[AC-02] "Il Bardo si svegliò in una strana stanza buia, non capendo dove si trovasse o come ci fosse finito dentro.  Se solo avessi avuto un pezzo d'argento per tutte le volte che è successo."
[AD-02] "Come si può vedere, il Bardo era noioso anche per i cadaveri."
[AE-02] "Così come il nostro gagliardo eroe aveva avuto successo con le donne mortali, si trovò senza fortuna con le dee guerriere nordiche."
[AF-02] "Il Bardo, che si era avventurato nella Tomba degli zombie Jarl, riemerse ancora un volta alla luce."
[B0-02] "E così, avendo rotto la maledizione, il nostro eroe continuò per la sua strada verso la torre della montagna."
[B1-02] "E così, avendo rotto la maledizione e con una nuova (o meglio poco usata) spada nelle mani, il nostro eroe continuò per la sua strada verso la torre della montagna."
[B2-02] "Se vuoi la mia opinione, la costruzione è alquanto scadente.  Perché ai miei tempi, se qualcuno avesse costruito una tomba come questa, sarebbe stato lui il primo ad esserci seppelito dentro."
[B3-02] "Non è incredibile? Al giorno d'oggi chiunque sia capace di girare la sua testa vuota da una parte all'altra si considera un esploratore. Ai miei tempi, questo tipo non sarebbe stato adatto a esplorare un buco di tre piedi nel terreno."
[B4-02] "Ooooh quello sembrava doloroso e io ne so qualcosa riguardo al dolore."
[B5-02] "No, Hrafn. Non ti sei guadagnato la via verso il Valhalla."
[B6-02] "In vita fu un guerriero abile e intrepido, destinato a raggiungere la gloria. I suoi fratelli stavano organizzando un'incursione sulla costa e celebravano con una festa la loro imminente vittoria. Lui era così ubriaco che inciampò e..."
[B7-02] "C'è davvero poco da ridere, perché Hrafn adesso non può entrare nel Valhalla. Fino a che non avrà provato il suo valore in combattimento, non potrà lasciare questa tomba."
[B8-02] "E' giunta l'ora di andare, Hrafn. Hai dimostrato quello che vali."
[B9-02] "Neanche per sogno."
[BA-02] "Neanche quando ero mortale. Ad ogni modo hai ancora molto da fare in questo mondo, prima che tu vada all'altro, addio."
[BB-02] "Lascia che ti dica qualcosa che potrebbe aiutarti a fuggire da questo posto."
[BC-02] "Non rovinare il momento. Ok Hrafn, andiamo, prossima tappa: il Valhalla."
[1A-0B] "Non avrai mai la pietra, Bardo... l'unico modo per averla da Hrafn è che Hrafn giunga nel Valhalla e questo non succederà mai..."
[1B-0B] "Sono contento che sia finita... riguardo alla pietra..."
[B4-0E] "Salve...cosa abbiamo qui? Uno scrigno nel bel mezzo del nulla. Sicuramente una trappola. Sai che non casco dentro ad un trucco così evidente!"
[B5-0E] "Oh... al diavolo."
[B6-0E] "Sin troppo facile."
[B7-0E] "Dannazione, ci casco ogni volta. Sapevo che era una trappola!"
[A9-12] "Uccisioni di Hrafn."
[6C-13] "Premi [7D-00] per lanciare la zattera."
[7E-13] "Apparentemente, il Bardo aveva fatto arrabbiare a tal punto il Firbolg intrappolato da fargli compiere un'azione sconsiderata che portò ad uno sfortunato incidente."
[7F-13] "Sfortunatamente per lui... Ma molto fortunatamente per me. Posso usare alcune di queste cose."
[80-13] "Il Firbolg riconoscente consegnò la chiave di pietra che aveva trovato nella sua precedente esplorazione delle Tombe."
[81-13] "Aaaaargh..."
[87-14] "Il Bardo sapeva che non era molto intelligente avventurarsi nelle profondità delle Tombe con questo nuovo compagno che lo rallentava. Bisognava scortare questo sfortunato Firbolg fino alla superficie."
[88-14] "Tuttavia la chiave di pietra rotta non fu di aiuto al Bardo."
[89-14] "Il Bardo doveva trovare un modo per sbarazzarsi del suo compagno zombie prima di lasciare la zona."
[8A-14] "Premi [7D-00] per esaminare lo zombie vichingo."
[B5-14] "Premi [7D-00] per esaminare il campo abbandonato."
[B6-14] "Il Bardo trovò un campo abbandonato piuttosto di recente e come era sua abitudine incominciò a saccheggiarlo."
[C7-14] ""
[D6-14] ""
[D7-14] "Pietra del Corvo"
[D8-14] "Pietra Reale"
[D9-14] "Pietra dell'Albero"
[DA-14] "Pietra dell'Albero Rotta"
[DC-14] "Il Bardo giunse ad una porta che recava l'immagine di un corvo."
[DD-14] "Il Bardo giunse ad una porta che recava varie immagini di regalità vichinga."
[DE-14] "Il Bardo giunse ad una porta che recava l'immagine di Yggdrasil, l'Albero del Mondo."
[48-15] ""
[96-15] "Era un peccato che il Bardo non avesse alcun modo per sciogliere i muri di ghiaccio sul suo cammino. Oh, un attimo: un modo di farlo ce l'ha, non è vero?"
[97-15] "Si dice che fuoco e acqua non si mischiano, forse c'è un motivo per cui al Bardo fu dato quell'Elementare di Fuoco."
[33-17] "AAAAHHHHHHHHHHH"
[92-17] "Premi [7D-00] per lanciare la zattera."
[98-17] "Premi [7D-00] per esaminare lo zombie vichingo."
[99-17] "Premi [7D-00] per esaminare il campo abbandonato."
