[01-00] "Qui Erik il Vichingo giace, a Valhalla ora combatte, così assai gli piace."
[DE-00] "Sarei davvero felice di esservi utile in qualsiasi modo vogliate..."
[DF-00] "Ratti ha detto? Nella cantina... oh che clichè, tesoro, ma ti perdono questa volta."
[E0-00] "Oh, la mia "spada" è grande abbastanza per occuparsi di qualsiasi "preoccupazione" tu abbia."
[E1-00] "Consideralo un consiglio."
[E2-00] "Missione Finalmente Finita (test 2)!"
[E3-00] "Fareste meglio a sperare che mi calmi prima di tornare o siete voi i prossimi!"
[E4-00] "Sarà meglio che sia più di un bacio per rimediare a tutto questo!"
[E5-00] "Chi diavolo sei tu? Come sei arrivato quaggiù?"
[E6-00] "Levati dai piedi, non sei di nessun aiuto."
[E7-00] "Ottimo, così ora il ratto ci guadagna la cena e anche uno spettacolo? Se questa magia è così potente, perché non te ne occupi tu e mi risparmiami la fatica?"
[E8-00] "Affare fatto. Mostrami quello che hai."
[E9-00] "Dannazione!"
[EA-00] "Perchè non ti limiti a raccontare la storia, evitando commenti sarcastici su di me?"
[EB-00] "No. Il ratto è quello senza fegato, visto che il suo è sparso sui muri della cantina. Mi piacerebbe davvero trascinarlo quassù per farvelo vedere....potrebbe quasi migliorare l'atmosfera di questo posto."
[EC-00] "Ho fegato da vendere, milady, ed è per questo che non devi più preoccuparti di quel ratto."
[ED-00] "Risparmia queste parole per gli idioti; il meglio che puoi fare per me è stare zitta. Sapevi cosa c'era laggiù, tu e la tua massa di imbecilli in kilt. Meno chiacchiere e più cibo. E sbrigati!"
[EE-00] "Era il minimo che potessi fare per una donzella in pericolo. Ora...per quel pasto?"
[EF-00] "Ascolta, ragazzo, non darti preoccupazioni. Sono qui per aiutarti a risolvere il tuo problema con il ratto. Qualsiasi bruto può maneggiare una spada. Se vuoi davvero far fuori quella bestia pelosa, prova a suonare questa melodia sul liuto che hai li con te."
[F0-00] "Non sono qui per accompagnarti, ragazzo. Ti sto offrendo solo un po' di musica magica che ti permetterà di tornare tutto intero."
[F1-00] "Lo farei se potessi. Ma non sono un uomo di azione come te. Non fare tanti complimenti, ragazzo, e accetta la carità quando ti viene offerta."
[F2-00] "Hah hahah ahaha hahaha"
[F3-00] "Hah hahah ahaha hahaha"
[F4-00] "Ehi, capisco la tua esitazione, straniero. Io stesso non andrei laggiù neanche per tutta la birra che c'è in città. E poi non sono mai stato un tipo coraggioso."
[F5-00] "Non è solo ben cotto...è proprio fumante!"
[F6-00] "Consolati, ragazzo. Io ho un ratto ben più grosso a casa mia. Diavolo, l'ho sposato!"
[F7-00] "Ehi, sai leggere? Gli animali non possono entrare."
[F8-00] "Impressionante, giovanotto. Vorrei avere il fegato di affrontare mia moglie come tu hai affrontato quel ratto. Ma bisogna dire che lei è molto più pericolosa."
[F9-00] "Avrai senz'altro visto le cose orribili che succedono là fuori. Sicuramente la fine è vicina, ma almeno ho finalmente una buona scusa per non tornare a casa da mia moglie."
[FA-00] "Sei un uomo o un topo? Fai quello che devi fare e magari Mary ci proverà con te. Non vorrai mica essere l'unico uomo nella città con cui Mary non è andata, vero?"
[FB-00] "Che dici figliuolo? Non ti sento! Il ratto ti ha rubato la lingua?"
[FC-00] "Portatelo fuori! Una sola scintilla e ci ritroviamo tutti sulla luna!"
[FD-00] "Già, già, già... così hai ucciso un ratto... ora cosa vuoi, una medaglia?"
[FE-00] "Faresti meglio a rimanere qui ad ubriacarti con noi. L'intera città sta sprofondando all'inferno, quindi che diavolo ci importa di un fegato sano?"
[FF-00] "Quel ratto non si ucciderà da solo! Scendi in cantina e guadagnati un pasto una volta tanto!"
[00-01] "Ehi, non così vicino ragazzo, stai ancora fumando e questa bevanda è infiammabile!"
[01-01] "Pazzesco, pazzesco. Assolutamente pazzesco!"
[02-01] "L'hai ucciso? L'hai ucciso? Il Ratto dall'Alito di Fuoco nella Cantina era il miglio passatempo che avevamo! E ora come ci divertiremo?"
[03-01] "Beh la parte migliore del ritorno dei morti viventi è che ora il nostro Ratto Gigante è pronto ad affrontare il prossimo forestiero che si presenta in città."
[04-01] "Stringa Dummosa :)"
[05-01] "Che vuoi che ti dica, ragazzo? L'hai acchiappato e cucinato!"
[06-01] "Non c'è di che, ragazzo. E se vuoi trovarne altre della stessa stoffa, cerca i Trow nella foresta di Fairyhaunt. Ma stai molto attento: sono furbi come il diavolo, i Trow, conoscono la magia come le loro tasche e non hanno un briciolo di onestà."
[07-01] "Andiamo, ragazzo, che cos'è il pericolo in confronto al potere? Quel piccolo trucco che ti ho mostrato non ti ha per caso aiutato ad ingraziarti la vedova Macrary? Se tieni così tanto alla pelle, ho qui un piccolo ciondolo che ti può proteggere dai pericoli."
[08-01] "Andiamo, ragazzo, che cos'è il pericolo in confronto al potere? Se avessi avuto un po' più di potere la vedova Macrary non sarebbe stata forse più gentile con te? Se tieni così tanto alla pelle, ho qui un piccolo ciondolo che ti può proteggere dai pericoli."
[09-01] "Grazie per quella canzone."
[0A-01] "Ti sembro l'idiota del villaggio? Ne ho abbastanza di orde barbariche, maghi malvagi, città isolate da un inverno eterno e di qualsiasi altro tipo di avventura tu mi voglia proporre. C'è troppo pericolo e non abbastanza guadagno."
[0B-01] "Mmm, sembra un po' troppo pericolosa per me, questa storia dei Trow. Io passo."
[0C-01] "Lei è veramente bella, certo, ma ho scoperto che gli sconosciuti misteriosi che offrono doni di solito portano anche guai. Non vorrai mica qualcosa da me, vero? Per caso hai secondi fini?"
[0D-01] "Avrai sicuramente sentito parlare di me, quindi saprai che non sono uno con cui scherzare. Sono qui per imparare un po' di magia, e non accetterò un no come risposta."
[0E-01] "Tu devi essere Bannafeet. Mi hanno consigliato di venire da te per una melodia che saresti disposto a cedere."
[0F-01] "Stai scherzando vero?"
[10-01] "Quelli come te mettono alla prova la mia pazienza. Ok, lo farò."
[11-01] "Potresti avermi convinto."
[12-01] "Ok, lo farò, ma sarà meglio che tu tenga fede alla promessa."
[13-01] "Va bene, sentiamo questo favore allora."
[14-01] "Affare fatto. Ma tieni pronta quella melodia per quando torno. Non sono il fattorino di nessuno."
[15-01] "Bene bene, chi abbiamo qui? Tu devi essere quel tipo che vaga per il villaggio, e che ruba i soldi agli abitanti con quella orribile bestia."
[16-01] "Oh, non farmi del male, amico, e ti dirò dove trovare una canzone che vale la pena di conoscere."
[17-01] "Torna al centro del villaggio e dirigiti verso il pozzo. Calati fino in fondo al pozzo e lì troverai quello che meriti."
[18-01] "Non è uno scherzo, quello che cerchi è sul fondo di quel pozzo."
[19-01] "Beh, avevo una mezza idea di sventrarti come un pesce, ma mi sei simpatico. Se non lo fossi, ti avrei mandato giù nel pozzo e sarebbe finita lì. Ma... casualmente conosco davvero un po' di magia, e sono disposto ad insegnartela se fai qualcosa per me in cambio."
[1A-01] "C'è un uomo di nome Ketill Swart nella prigione della foresta. Liberalo per me e avrai la tua canzone. Non ti preoccupare delle guardie alla prigione, sono state cacciate dai Kunal Trow. Non posso aiutarti con le pattuglie, ma puoi entrare nella prigione solo con una parola segreta. Basta dire \"fiddlesnarf\" al Trow che sorveglia l'entrata e questi ti farà entrare senza far domande. Quando avrai liberato Ketill, torna qui e ti insegnerò un po' di magia, d'accordo?"
[1B-01] "Casualmente conosco davvero una piccola canzone, e se mi fai un favore sono disposto a insegnartela."
[1C-01] "Un mio amico di nome Ketill Swart è rinchiuso nella prigione della foresta. Liberalo per me e avrai la tua canzone. Non ti preoccupare delle guardie alla prigione, sono state cacciate dai Kunal Trow. Non posso aiutarti ad evitare la loro perlustrazione, ma puoi entrare nella prigione solo con una parola segreta. Dovrai dire "fiddlesnarf" al Kunal Trow che sorveglia l'entrata per entrare."
[1D-01] "Una volta che l'hai liberato torna qui, e io ti insegnerò un po' di magia. D'accordo?"
[1E-01] "Bene bene, guarda chi c'è! Trovato nulla di interessante nel pozzo?"
[1F-01] "Forse ora avrai più rispetto per gli altri, eh?"
[20-01] "Ascolta, calmati un attimo. Ti stavo soltanto prendendo un po' in giro, non c'è bisogno di arrabbiarsi così."
[21-01] "E tu dici di essere un cane? Ho visto ratti più grandi di te! Sparisci!"
[22-01] "Bene bene, quanta energia. Potrei aver bisogno di compagnia. Ti va di unirti a me?"
[23-01] "Hai finito di lamentarti? Ne ho abbastanza di ratti troppo cresciuti! Ora sparisci dalla mia vista, nanerottolo!"
[24-01] "Mi spiace, ragazzo, ma ho visto un ratto ben più grosso di te. Era il doppio di me, e mi ha quasi cotto a puntino. Ascolta: vieni con me e ne cerchiamo un altro. Che ne dici?"
[25-01] "Non c'è niente qui, signore. Ed è meglio che se ne vada in fretta prima che chiami lo Sceriffo."
[26-01] "AAAAAHHHHAHAHAHAHAHAHAH!!!!"
[27-01] "Cosa cercate? Se siete un ladro, non avrete niente da me; io ho solo le mie vecchie ossa e il mio cuore pesante."
[28-01] "So benissimo come puoi procurarti del denaro, furfante dei miei stivali! C'è un orribile mostro che impedisce ai contadini di seguire i loro rituali al Tumulo di Houton. Senza rituali le piante non crescono e il pascolo soffre la fame."
[29-01] "Certo che lo sei, giovanotto. E io so giusto come procurartene. C'è un terribile mostro che impedisce ai contadini di seguire i loro rituali. E noi contadini abbiamo bisogno di adempire i nostri rituali al Tumulo di Cairn, perché altrimenti le piante non crescono e il pascolo soffre la fame."
[2A-01] "Sei un giovane senza pietà, senza dubbio, e dovresti essere più gentile con chi è più vecchio di te. Quanto al mostro, lo trovi nel tumulo. Torna qui quando l'avrai ucciso e ti pagheremo con quello che abbiamo."
[2B-01] "Ah, che tu sia benedetto, ragazzo; sapevo che eri un tipo coraggioso fin dal primo momento in cui ti ho visto. Quanto al mostro, lo trovi nel tumulo. Torna qui quando l'avrai ucciso e ti pagheremo con quello che abbiamo."
[2C-01] "Ascolta, ragazzo, mi piacerebbe davvero sedermi intorno a un fuoco a cantare, ma non hai per caso un mostro da uccidere?"
[2D-01] "Che la nostra benedizione vi accompagni, giovanotto. Dovevamo capirlo subito che c'era il vecchio Vinters dietro a tutto questo. Abbiamo fatto una colletta raccogliendo tutto l'argento che potevamo offrire; ecco un po' di monete per il vostro disturbo. Prendetele e fate un buon viaggio."
[2E-01] "Beh, avevo dei dubbi quando ci siamo incontrati, ma in fin dei conti sei un bravo ragazzo. Dovevamo capirlo subito che c'era il vecchio Vinters dietro a tutto questo. Qui c'è qualche moneta d'argento per riempirti le tasche. Mi spiace che siano così poche, ma abbiamo molte bocche da sfamare, e pochi soldi per farlo."
[2F-01] "Guarda chi c'è. Devi essere fiero come un pavone, scommetto, e come sempre meschino con chi è più vecchio di te. Ma un patto è un patto, quindi ecco il tuo dannato denaro, prendilo e vai al diavolo!"
[30-01] "Grazie ancora, giovanotto!"
[31-01] "E il dono della parola, vecchio. Dimmi dove posso trovare un po' di argento e non mi faccio più vedere. Cioè, se ci vedi ancora."
[32-01] "Scusa, nonno. Non pensavo di trovarti qui, e ancora meno volevo spaventarti. Sto solo cercando qualche moneta d'argento per riempirmi le tasche."
[33-01] "Allora vuoi che uccida qualcuno, eh? D'accordo, ma ti avverto, la mia spada non ti costerà poco."
[34-01] "So cosa vuol dire essere affamati, e per dei cuccioli come quelli è ancora peggio. Se c'è una giusta ricompensa per un giusto lavoro l'affare fatto."
[35-01] "Beh, grazie per non avermi dato nulla, vecchi pazzi!"
[36-01] "Fai attenzione, giovanotto! C'è un mostro feroce nei paraggi. Grrrr. Io scapperei se fossi in te. Cioè, voglio dire, tu scapperesti se fossi in te. Oh, hai capito cosa voglio dire; devi andartene da Houton e non far più ritorno!"
[37-01] "Non preoccuparti, vecchio; se io fossi in te, ci sarebbero due idioti in questo villaggio. No, aspetta, se io fossi in te ce ne sarebbe uno solo di idiota in questo...no no, aspetta... Se io fossi, no... Oh, non importa! In tutti i casi, non ho intenzione di andarmene da qui... lo farò quando mi andrà."
[38-01] "Sei venuto qui per cercare mio figlio Ogan, non è vero? Sicuro che lo sei! Ma lui è partito, perché lui è l'unico, il Prescelto, colui che libererà la bella Principessa dalla crudele schiavitù. E cosa credi che significhi questo per una povera vecchia come me? Te lo dico io: tutto. Perchè mi ha promesso che tornerà, il mio Ogan, che mi porterà via da questo brutto posto e mi comprerà una vera casa, con vetri alle finestre, pavimenti di legno e una dispensa talmente piena che non ricorderemo più cos'è la fame. Se lo vedi, digli che sua madre gli vuole tanto bene."
[39-01] "Fammi sapere se hai trovato il mio Ogan."
[3A-01] "Oh no... non voglio crederci... ucciso. Spero tu lo abbia vendicato!"
[3B-01] "Hai vendicato il mio Ogan! Grazie. Ora lasciami sola con il mio dolore."
[3C-01] "Hai vendicato il mio Ogan! Grazie, grazie. Sapevo che eri un brav'uomo. Possa la tua via essere sempre sicura. Qui c'è un ciondolo che Ogan mi ha dato perchè mi portasse fortuna. Perché non lo prendi?"
[3D-01] "Ho paura di avere delle brutte notizie... ho visto tuo figlio Ogan, o quello che ne rimaneva."
[3E-01] "Ho paura di avere delle brutte notizie... tuo figlio è stato ucciso da un Trow."
[3F-01] "Certo. Mi inseguivano e mi sono dovuto difendere."
[40-01] "Mi spiace essere io a darti la brutta notizia. Ma voglio che tu sappia che quelli che l'hanno ucciso hanno fatto la sua stessa fine!"
[41-01] "Oh bene. Tu devi essere il Bardo di cui tutti parlano, quello con il ragno fatto di fulmini. E' un onore averti nel mio negozio, signore, e sarò felice di soddisfare qualsiasi tua necessita di armi e armamenti. Spade, archi, o armature, qui tutto è di prima qualità e in vendita. Può pagare in anticipo, per esteso, senza lettere di credito, rate o dichiarazioni di debito. Abbiamo una politica del "soddisfatto o rimborsato": se lo compri, siamo soddisfatti e non ti rimborsiamo. Allora, dai un'occhiata a quello che ti interessa: sarò lieto di mostrarti le migliori caratteristiche di qualsiasi oggetto in vendita. Ma ricordati la regola più importante: chi rompe paga."
[42-01] "E' un dato di fatto: la resistenza del guerriero si misura dallo spessore dell'armatura. Molti hanno voluto risparmiare, ma nessuno di loro è tornato qui più di una volta.... se capisci quello che voglio dire."
[43-01] "Questa armatura è una delle migliori che possiedo: pelle di cinghiale resistente, conciata e trattata due volte, con cinghie scamosciate regolabili e fibbie di ferro rinforzato, robusta a sufficenza per resistere ai colpi, ma anche leggera a sufficenza da non rallentarti. Sarei disposto a venderla per un prezzo estremamente ragionevole."
[44-01] "Se fosse per me, io avrei scelto un'armatura più resistente, ma alla fine è la tua pelle, no? Come ho già detto, non ti rallenterà, ma di sicuro non puoi correre più veloce di una freccia."
[45-01] "Questa è quello che c'è di meglio in materia di armature di cuoio. Rinforzata con borchie di ferro battuto e fibbie di bronzo inossidabile forgiato dai lupi di mare della Costa Occidentale. Come tutti i miei articoli in cuoio, è conciata per garantire la massima comodità e facilità di movimento, e con questa armatura puoi rimanere in piedi dove gli altri cadono sanguinanti. Per questo ti conviene approfittare di questa opportunità irripetibile."
[46-01] "Sapevo che eri un tipo sveglio, che conosce il vero valore della propria vita. Ho sempre detto che non c'è ragione di risparmiare quando si tratta di armature : i cimiteri traboccano di morti con le tasche piene."
[47-01] "Ecco il mio arsenale di armi per il corpo a corpo. Quando stai combattendo faccia a faccia con qualcuno, è meglio non lesinare sugli strumenti di lotta. Il più delle volte non è l'uomo più forte, ma è quello più equipaggiato a sopravvivere per riuscire a raccontarlo."
[48-01] "Ti piacerebbe provare a combattere con due armi, eh? Allora devi per forza avere un pugnale. Questo viene direttamente da Finstown: lama affilata ed impugnatura rinforzata sono garanzia di efficienza. Basta una pugnalata attraverso la visiera o nelle fessure dell'armatura e ti assicuro che il tuo nemico è finito. Ora, questo tipo di arma non è per niente economico, ma ti venderò questo oggetto a un prezzo davvero speciale."
[49-01] "Benissimo, gentile signore. Io non sono un guerriero, ma avere un'arma in più per infilzare il nemico non può essere male, non è vero?"
[4A-01] "Ah, il temibile mazzafrusto. Sei libbre di dolore in una catena, con un'impugnatura di legno di noce a intagliatura esagonale e una testa articolata di acciaio forgiato a goccia che è stato temprato nel sangue gelido di un uomo pesce. Difficile da maneggiare, ma basta un colpo a segno e frantumerà armature e ossa in un sol colpo. Sono disposto a vendertelo per un'inezia."
[4B-01] "Davvero una scelta eccellente. Provo pietà per chi incontrerà la testa di questo mazzafrusto con te dall'altro capo."
[4C-01] "Ecco qui un'arma che ti consentirà di fare lo spaccone per le strade senza rischiare la vita. La spada a doppio taglio, o come mi piace chiamarla, la Regina dell'Eviscerazione. E' lunga tre cubiti con una doppia lama ben affilata, un'impugnatura ad intagliatura intrecciata adatta all'uso con due mani, e bilanciata all'elsa per avere sempre il controllo dell'arma sia con i colpi ravvicinati che per quelli da lontano. Quest'arma falcia una superfice enorme, e la sua relativa lentezza è largamente compensata dalla potenza nel colpire. Inoltre, per un piccolo errore nell'ordinazione dispongo di un gran numero di armi di questo tipo, e sono disposto a cedertene una per un prezzo ridicolo."
[4D-01] "Ah, la spada a doppio taglio, che impressione. Per essere onesto ti credevo più un uomo da spadone, ma ci vuole un guerriero esperto per un'arma così potente."
[4E-01] "Se vuoi un consiglio, un nemico temibile è meglio combatterlo da lontano. Più spendi per un'arma da distanza, più potrai tenerti ad una distanza rispettabile dal nemico, ma soprattutto dalla tua tomba."
[4F-01] "Cerchi un'arma per risolvere problemi da lontano? Allora cerchi un arco lungo. Questi sono i migliori archi di legno bianco di cenere essiccato dei negozi di armi di Kirkwall, l'arma prediletta degli Assassini Silvestri, e solo di recente probiti nelle quattro provincie. La forza è regolata a cinquanta libbre e con con una freccia da quattro once puoi centrare da cinquanta passi un'asse largo due pollici. Credimi, questi gioielli dispongono di una potenza che i tuoi nemici non scorderanno, e valgono ogni singola moneta d'argento che chiedo."
[50-01] "Ottima scelta, amico mio! L'arco lungo è la chiave per vivere a lungo. Fanne buon uso."
[51-01] "Ti interessa la mia mappa, vero? Ecco quel poco che so: è vecchia come il cucco e trabocca di pericoli e delizie. L'uomo che me l'ha data mi ha assicurato che tutte le "X" valgono la pena di essere visitate."
[52-01] "Sono ricco, ricco! Tutto quell'argento per uno straccio di mappa che ho avuto da un vecchio diavolo in cambio di un tozzo di pane! Beh, addio a te, gentile signore. Parto per Dounby, vado a ubriacarmi e a sollazzarmi con le ragazze per il resto dei miei giorni. Che Dio ti benedica, signore, addio!!"
[53-01] "Attento allo Sceriffo Rucky, è un cane miserabile."
[54-01] "Il mondo sta per finire e tu vuoi chiaccherare?"
[55-01] "Scusa."
[56-01] "Le mie scuse."
[57-01] "Ehi straniero... non ho tempo per parlare, sono in ritardo ad un appuntamento con la vedova Macrary!"
[58-01] "Scusi signore, non voglio spaventare nessuno, ma... STIAMO PER MORIRE TUTTI!"
[59-01] "Scusami."
[5A-01] "Scusa."
[5B-01] "Buongiorno a voi."
[5C-01] "Ora non posso parlare con te. Sto cercando questo ragazzo a cui devo delle scuse."
[5D-01] "Scusa."
[5E-01] "Le mie scuse."
[5F-01] "Guardati dagli uomini-pesce, si dice che siano maghi!"
[60-01] "Il villaggio è quasi stato distrutto, ma almeno il Ratto Ubriaco è ancora aperto, se capisci quel che voglio dire."
[61-01] "Le mie scuse."
[62-01] "Scusa"
[63-01] "Non avvicinarti alla prigione dello sceriffo Rucky, è stata distrutta dai Kunal Trow!"
[64-01] "Scusami."
[65-01] "Scusa"
[66-01] "Che hai da guardare? Non hai mai visto un Firbolg?"
[67-01] "Scusa."
[68-01] "Scusami."
[69-01] "Scusa, Ehi, aspetta un attimo... cosa dico? Ti sei praticamente scontrato con tutti gli abitanti del nostro villaggio! Ora basta! Sei TU che mi devi delle scuse!"
[6A-01] "Ti dovrai abituare a questo tono, razza di idiota, perché esigo delle scuse... e le avrò!"
[6B-01] "Va bene, scuse accettate. Cerca di stare più attento in futuro!"
[6C-01] "Eccoti qui! Ti ricordi di me? Io sono il paziente paesano a cui tu devi delle scuse."
[6D-01] "Ci incontriamo di nuovo, tu ed io. Credo che tu mi debba ancora delle scuse."
[6E-01] "Tu, ascolta. Ti dò un'altra opportunità per scusarti prima che ti spacchi i denti!"
[6F-01] "Ehi... tu... non ci ho rinunciato... faresti meglio a scusarti."
[70-01] "Oh, quanto sei gentile. Siamo amici, ora?"
[71-01] "Quello che ti devo è un pugno in faccia, se riprovi a parlare con me con quel tono."
[72-01] "Beh, scusami, starò più attento in futuro."
[73-01] "Ah si. Lo sai che mi dispiace... mi dispiace di non averti pestato prima!"
[74-01] "Lo sai, sarà difficile implorare perdono senza una lingua!"
[75-01] "Ah si? E io ti dò l'ultima occasione di restare vivo, e ti conviene approfittarne."
[76-01] "Ti suggerisco di rinunciarci, prima di rinunciare alla tua vita. Qui, ora."
[77-01] "D'accordo! Scusa, scusa! O faccio questo o ti uccido...e ho appena lucidato la mia spada."
[78-01] "Rinuncia prima di perdere la testa... letteralmente."
[79-01] "Muuuuuu"
[7A-01] "BAAAAAAA"
[7B-01] "Oink Oink"
[7C-01] "Co-co-cocodè"
[7D-01] "Muuuuuu"
[7E-01] "Baaaaaaa"
[7F-01] "Oink Oink"
[80-01] "Co-co-cocodè"
[81-01] "Parola segreta?"
[82-01] "Vattene!!!!"
[83-01] "Noo!"
[84-01] "Levati dai piedi!"
[85-01] "Non è quella!"
[86-01] "Quella non è una parola!"
[87-01] "Sbagliato."
[88-01] "Ma che vuol dire?"
[89-01] "Oooh. Sto tremando."
[8A-01] "No."
[8B-01] "Sparisci, idiota!"
[8C-01] "Questa l'hai già provata! Ora vattene!"
[8D-01] "Allora Bannafeet deve aver... ehi, e tu chi sei? Non dovresti essere qui!"
[8E-01] "Fiddlesnarf!"
[8F-01] "Finkelrult."
[90-01] "Houton."
[91-01] "Apriti Sesamo?"
[92-01] "Hootsnock?"
[93-01] "Ma si."
[94-01] "Ma si."
[95-01] "Vuol dire "apri questa porta prima che io la butti giù e ti uccida!" "
[96-01] "Giuro che lo faccio. Sul serio! Allora, mi fai entrare si o no?"
[97-01] "Per favore?"
[98-01] "Chi fra voi selvaggi è Ketill Swart? Bannafeet mi ha mandato qui per liberarlo."
[99-01] "Eccomi qui, ridotto a muovere leve su ordine di criminali....grandioso."
[9A-01] "Ehi, chi non lo fa?"
[9B-01] "Vero, non mi sono mai divertito così tanto da quando un ratto gigante mi ha quasi cotto a puntino."
[9C-01] "Si, certo, la prossima volta."
[9D-01] "E' una lunga storia.... sedetevi mentre vi racconto tutto... nel bel mezzo di una prigione infestata dai Kunal Trow. Usciamo di qui prima che mi penta di quello che ho fatto... più di quanto non abbia già fatto."
[9E-01] "Certo, sicuro. Tu fai un disegnino a me, io ne faccio uno col tuo sangue per te."
[9F-01] "Ooops!"
[A0-01] "Non sarò certo io ad oppormi. Se sono qui a cercare di liberare quelli come voi, devo essere proprio lo scemo del villaggio."
[A1-01] "Ehi, questo è un colpo basso."
