[01-00] "Qui Erik il Vichingo giace, a Valhalla ora combatte, così assai gli piace."
[6B-07] "Prima di iniziare a combattere, ci sono alcune formalità che dobbiamo osservare. Per prima cosa, vuoi ritirarti?"
[6C-07] "Ritirarmi? Neanche per sogno! Non dopo tutto ciò che ho passato. Ritirarmi non è una opzione, amico mio."
[6D-07] "Speravo di sentirtelo dire."
[6E-07] "Ammira la mia arena! Non è impressionante? Fa venire voglia di combattere, il sangue ti si carica di adrenalina."
[6F-07] "Ci sono solo due cose che davvero mi fanno aumentare il flusso del sangue. La prima tu non puoi permettertela, l'altra non sarebbe ben vista socialmente. Allora come la mettiamo?"
[70-07] "Oh, non è così facile amico mio, ricordi le formalità di cui parlavo? Dovrai dimostrarti degno prima di avere l'onore di affrontarmi."
[71-07] "Non potremmo saltare la parte della dimostrazione d'onore e..."
[72-07] "Cominciamo con qualcosa di facile. Un vero uomo dovrebbe essere capace di superare i miei lacchè prima che il tempo scada."
[73-07] "Questo era patetico. Certamente puoi fare di meglio."
[74-07] "Ottimo, ma la mia sorellina avrebbe fatto di certo di meglio. Adesso, rendiamo le cose più interessanti..."
[75-07] "Dovresti saper fare di meglio. Provaci di nuovo, questa volta con un po' più di impegno, per favore."
[76-07] "Inizio a capire come hai sconfitto Herne. Vediamo quanto vali veramente."
[77-07] "Non riesci a cavartela quando le cose si fanno dure... Ti darò un'altra possibilità."
[78-07] "Ben fatto, veramente ben fatto, non è proprio il massimo, ma adeguato. Mi chiedo, come affronterai un attacco più serio?"
[79-07] "Ahahaha! Un tentativo coraggioso, mi diverto vedendoti fallire, per questo ti darò un'altra possibilità."
[7A-07] "Vedo che sei davvero pericoloso. Forse si deve fare un altro tipo di prova."
[7B-07] "Cosa? Il cronometro si è fermato? I tuoi giochi sono già finiti? Stavo appena iniziando a divertirmi."
[7C-07] "Oh mi resta un gioco, ti piacerà. Lo scopo è semplice; dovrai raggiungere la cima della torre... vivo."
[7D-07] "Ci vedremo là."
[7E-07] "Lo spero. Mi piacerebbe affrontarti, ma dubito che tu abbia la stoffa per farcela."
[7F-07] "Il Bardo diede uno sguardo nel suo possibile futuro. Sapeva di dover mantenere i suoi sensi affilati così come la sua spada per evitare di fare la fine dei resti dello scheletro che stava ai suoi piedi."
[80-07] "Adoro sentirti parlare di ovvietà."
[81-07] "Ne farò un uso migliore di quello che ne hai fatto tu, amico mio."
[82-07] "Aspettate il Bardo dei vostri sogni, Signore?"
[83-07] "Senza dubbio, stavamo aspettando te, in attesa di tenerti lontano da questa leva."
[84-07] "Ho davvero esagerato nel chiamarvi "signore". Le vostre lingue sono pungenti ma se ci fossero quelle sbarre scommetto che cambiereste tono di voce!"
[85-07] "Vi prego donzelle, come potete notare non intendo farvi alcun male, piuttosto è vero l'opposto."
[86-07] "Da noi non sentirete nulla se non disprezzo e risate. Siamo al sicuro dietro queste sbarre e non abbiamo paura di nulla..."
[87-07] "Ma Maeve... Per quanto riguarda... chi sai tu?"
[88-07] "Non voglio ascoltare i tuoi ridicoli discorsi. Non sono rimasti diavoli squittanti qui intorno."
[89-07] "Oh, non penso che tu sia in grado. In ogni caso non fa nessuna differenza perché non usciremo da dietro queste sbarre."
[8A-07] "Voi fanciulle parlate da dure ma se non vi nascondeste dietro queste sbarre scommetto che cambiereste tono."
[8B-07] "Non c'è nessun modo per risolvere questa cosa?"
[8C-07] "Da noi non sentirete nulla se non disprezzo e risate. Siamo al sicuro dietro queste sbarre e non abbiamo paura di nulla..."
[8D-07] "Ma Maeve....per quanto riguarda... chi sai tu?"
[8E-07] "Non voglio ascoltare i tuoi ridicoli discorsi. Non sono rimasti diavoli squittanti qui intorno."
[8F-07] "Proprio da uomo che non capisce quando è viene battuto. Ora vattene!"
[90-07] "Proprio da uomo che non sà quando è stato battuto. Ora vattene!"
[91-07] "Ahhh, è un ratto! Non sopporto quei piccoli bastardi squittanti, tirami fuori di qui!"
[92-07] "Sii coraggiosa, ragazza. Quel piccoletto non può farti male."
[93-07] "Maledico te e i tuoi parassiti alleati!"
[94-07] "Ancora una volta il Bardo riuscì a superare i suoi avversari in modo così valoroso!"
[95-07] "E' un dono."
[96-07] "Il nostro bravo eroe trovò la strada per la cima della torre, e davanti a lui vide la fiamma che era destinato a spegnere. Sfortunatamente tra i due vi era Lugh, che non si sarebbe mai arreso senza combattere."
[97-07] "Ci sei riuscito, vedo."
[98-07] "Nessuna provocazione? Dov'è tutto quello spirito di cui hai dato prova nell'arena?"
[99-07] "Ho imparato a rispettare i tuoi talenti di combattente, e mi rattrista molto doverti uccidere."
[9A-07] "Vorrei poter dire che il sentimento è reciproco, ma a dire la verità mi aspetto di divertirmi nel farlo."
[9B-07] "Questo è lo spirito giusto!"
[9C-07] "Mio campione, sei qui! Contavo le ore che ci..."
[9D-07] "Dacci un taglio, signora. Cos'è questa storia dei morti che non vogliono rimanere morti?"
[9E-07] "Sì, temevo che sarebbe successo."
[9F-07] "Apprezzerei se discutessimo di tutti questi timori in anticipo, d'ora in poi. Non vado matto per le sorprese."
[A0-07] "Molto bene. Devo dirti che gli abitanti del sottosuolo si sono risvegliati, per tentare di porre fine alla tua missione."
[A1-07] "Che hanno contro di me?"
[A2-07] "Sanno che hai sconfitto Herne. Da questo hanno dedotto che stai provando a liberarmi. Il loro capo è un uomo spietato che non si fermerà davanti a niente per impedirti di liberarmi."
[A3-07] "Ecco di nuovo qualcosa che avrei voluto conoscere in anticipo!"
[A4-07] "Io sono la sola persona che possa fermarli. Finché non sono libera, l'oscurità guadagnerà terreno. Devi sbrigarti. Più ritarderai, più i poteri del male si rafforzeranno, e presto non sarò in grado di trattenerli."
[A5-07] "Avrei dovuto accontentarmi della figlia del contadino."
[A6-07] "Devi raggiungere velocemente la Torre dell'Isola, c'è poco tempo. Prima dirigiti verso Dounby dove troverai un uomo di nome Dugan. Si trova in una taverna chiamata il Tamburo Aiken. Egli avrà ulteriori istruzioni per te."
[A7-07] "Oh che gioia, un altro viaggio. Perché non mi dici subito dove devo andare?"
[A8-07] "Dugan ha localizzato un oggetto per te, qualcosa di grande potere! Ti servirà per entrare nella terza torre. Il destino del mondo intero è nelle tue mani, amore mio."
[A9-07] "E' bello che non mi fai pesare la cosa..."
[AA-07] "...E altre pressioni erano in agguato. All'insaputa del Bardo, i servi del misterioso Fionnaoch erano pronti a fermare il Bardo con qualsiasi mezzo."
[AB-07] "Lasciando sempre più macerie dietro di sé, il Bardo proseguì per Dounby. La domanda è... Arriverà in tempo per salvare non solo la sua principessa... ma anche il mondo intero?"
[AC-07] "Sono sicuro che stava solo esagerando... Già... Era solo ansiosa di vedermi. Chi non lo sarebbe?"
[CC-08] "Immediatamente, signore!"
[4D-0B] "I tuoi tentativi sono inutili! Sorveglio questa leva che controlla i cancelli dai quali non potrai passare!"
[4E-0B] "Non ci sono chiavi, solo leve! E la leva è qui perché... Ehm.. Prendimi per scemo, ma hai ragione!"
[4F-0B] "Perché diavolo mettete sempre la leva di fronte alla zona che state provando a proteggere? Dovrebbe stare dietro il cancello! Di questo passo mi racconterai che le chiavi che aprono le porte sono nascoste in qualche cassa a caso tra quelle sparse per la torre!"
[51-0B] "Senza il Flauto Prezioso che si trovava nelle Tombe Vichinghe, il Bardo non riusciva ad entrare nella torre."
[AC-0B] "Il mondo è condannato."
[AD-0B] "Non essere così duro con te stesso. Ho già visto qualcosa del genere, è un errore abbastanza comune... Lascia che metta fine alle tue sofferenze."
[DF-0B] "Lode a Fionnaoch! Un'altra possibilità per liquidarti! Questa volta sei un uomo morto!"
[E1-0B] "Muori!"
[E5-0B] "Ma... Signore... i Redcap..."
[E8-0B] "Sto pensando..."
[46-0D] "I fratelli si stanno radunando, mio Signore. Aspettiamo vostre istruzioni."
[48-0D] "Sarà un piacere, maestro."
[B6-0E] "Tutto troppo semplice."
[D5-0E] "Eccolo! E' lui che ha ucciso Fnarf! Prendetelo!"
[AE-11] "Mostrami quanto vali, Bardo!"
[AF-11] "Prendi questo!"
[B0-11] ""
[B1-11] "Draoi Spraidh!"
[B2-11] ""
[B3-11] "Perdonami maestro..."
[B4-11] "Non vali niente per me, Bardo!"
[B5-11] "Patetico!"
[70-14] "Le ragazze che stanno impedendo al Bardo di raggiungere la leva sembravano estremamente spaventate dai roditori."
[71-14] "Una vero peccato che non ci fossero ratti nella zona. All'infuori del Bardo, naturalmente."
[D6-14] ""
[1E-15] "Lugh"
[48-15] ""
[4B-15] ""
[4C-15] ""
[51-15] ""
